#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 38.4868070 0.0000000 0.0000000
0.0010233 38.8729694 0.0006022 0.0008955
0.0010471 39.2636470 0.0012123 0.0012709
0.0010715 39.6586908 0.0018304 0.0015619
0.0010965 40.0579555 0.0024566 0.0018098
0.0011220 40.4613293 0.0030910 0.0020305
0.0011482 40.8687154 0.0037337 0.0022321
0.0011749 41.2800505 0.0043848 0.0024194
0.0012023 41.6953271 0.0050444 0.0025955
0.0012303 42.1146047 0.0057127 0.0027626
0.0012589 42.5379729 0.0063897 0.0029223
0.0012882 42.9656626 0.0070756 0.0030757
0.0013183 43.3979830 0.0077705 0.0032238
0.0013490 43.8353848 0.0084745 0.0033673
0.0013804 44.2761955 0.0091878 0.0035067
0.0014125 44.7213536 0.0099103 0.0036426
0.0014454 45.1713139 0.0106423 0.0037754
0.0014791 45.6259235 0.0113840 0.0039053
0.0015136 46.0851191 0.0121353 0.0040328
0.0015488 46.5488559 0.0128965 0.0041580
0.0015849 47.0171415 0.0136676 0.0042811
0.0016218 47.4900765 0.0144489 0.0044024
0.0016596 47.9678135 0.0152404 0.0045220
0.0016982 48.4506357 0.0160422 0.0046400
0.0017378 48.9389007 0.0168545 0.0047567
0.0017783 49.4305708 0.0176775 0.0048720
0.0018197 49.9277843 0.0185113 0.0049862
0.0018621 50.4303885 0.0193560 0.0050993
0.0019055 50.9382344 0.0202118 0.0052113
0.0019498 51.4512176 0.0210787 0.0053225
0.0019953 51.9692674 0.0219570 0.0054328
0.0020417 52.4923763 0.0228469 0.0055423
0.0020893 53.0206077 0.0237483 0.0056510
0.0021380 53.5541180 0.0246616 0.0057591
0.0021878 54.0931717 0.0255868 0.0058666
0.0022387 54.6381824 0.0265242 0.0059735
0.0022909 55.1887850 0.0274738 0.0060798
0.0023442 55.7441896 0.0284358 0.0061857
0.0023988 56.3056107 0.0294105 0.0062911
0.0024547 56.8729069 0.0303978 0.0063961
0.0025119 57.4459961 0.0313982 0.0065007
0.0025704 58.0248150 0.0324116 0.0066050
0.0026303 58.6093897 0.0334382 0.0067089
0.0026915 59.1998617 0.0344783 0.0068126
0.0027542 59.7964061 0.0355320 0.0069159
0.0028184 60.3994365 0.0365995 0.0070191
0.0028840 61.0084127 0.0376810 0.0071220
0.0029512 61.6229770 0.0387766 0.0072246
0.0030200 62.2443179 0.0398865 0.0073271
0.0030903 62.8722639 0.0410110 0.0074295
0.0031623 63.5066885 0.0421501 0.0075317
0.0032359 64.1474761 0.0433041 0.0076337
0.0033113 64.7946341 0.0444733 0.0077356
0.0033884 65.4481999 0.0456577 0.0078375
0.0034674 66.1083671 0.0468576 0.0079392
0.0035481 66.7754263 0.0480731 0.0080409
0.0036308 67.4498694 0.0493046 0.0081425
0.0037154 68.1311448 0.0505521 0.0082441
0.0038019 68.8187535 0.0518160 0.0083456
0.0038905 69.5137907 0.0530963 0.0084471
0.0039811 70.2161520 0.0543934 0.0085486
0.0040738 70.9256811 0.0557074 0.0086500
0.0041687 71.6423928 0.0570386 0.0087515
0.0042658 72.3663318 0.0583871 0.0088530
0.0043652 73.0976918 0.0597533 0.0089545
0.0044668 73.8368007 0.0611372 0.0090560
0.0045709 74.5843217 0.0625393 0.0091576
