#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 2058.8497474 0.0000000 0.0000000
0.0010233 2062.3419165 0.0001583 0.0000193
0.0010471 2065.8736665 0.0003199 0.0000276
0.0010715 2069.4454741 0.0004851 0.0000341
0.0010965 2073.0580546 0.0006538 0.0000398
0.0011220 2076.7126004 0.0008261 0.0000450
0.0011482 2080.4105419 0.0010021 0.0000498
0.0011749 2084.1528330 0.0011819 0.0000543
0.0012023 2087.9413811 0.0013656 0.0000587
0.0012303 2091.7785706 0.0015532 0.0000629
0.0012589 2095.6665476 0.0017448 0.0000670
0.0012882 2099.6081732 0.0019405 0.0000711
0.0013183 2103.6065471 0.0021404 0.0000750
0.0013490 2107.6657229 0.0023446 0.0000789
0.0013804 2111.7902307 0.0025531 0.0000828
0.0014125 2115.9850779 0.0027661 0.0000867
0.0014454 2120.2555101 0.0029835 0.0000905
0.0014791 2124.5741069 0.0032056 0.0000943
0.0015136 2128.9744880 0.0034324 0.0000981
0.0015488 2133.4521231 0.0036640 0.0001019
0.0015849 2138.0082046 0.0039005 0.0001057
0.0016218 2142.6448782 0.0041420 0.0001096
0.0016596 2147.3645283 0.0043885 0.0001134
0.0016982 2152.1690626 0.0046403 0.0001173
0.0017378 2157.0608653 0.0048973 0.0001211
0.0017783 2162.0435131 0.0051597 0.0001250
0.0018197 2167.1191518 0.0054276 0.0001290
0.0018621 2172.2913581 0.0057011 0.0001329
0.0019055 2177.5610857 0.0059803 0.0001369
0.0019498 2182.9297653 0.0062653 0.0001410
0.0019953 2188.4014502 0.0065562 0.0001450
0.0020417 2193.9785250 0.0068532 0.0001491
0.0020893 2199.6636123 0.0071563 0.0001533
0.0021380 2205.4571892 0.0074656 0.0001575
0.0021878 2211.3635474 0.0077813 0.0001617
0.0022387 2217.3836407 0.0081035 0.0001660
0.0022909 2223.5208073 0.0084322 0.0001703
0.0023442 2229.7771932 0.0087678 0.0001747
0.0023988 2236.1537519 0.0091101 0.0001791
0.0024547 2242.6540603 0.0094594 0.0001836
0.0025119 2249.2795488 0.0098158 0.0001881
0.0025704 2256.0326018 0.0101795 0.0001927
0.0026303 2262.9156038 0.0105504 0.0001973
0.0026915 2269.9304623 0.0109289 0.0002020
0.0027542 2277.0798000 0.0113150 0.0002068
0.0028184 2284.3655245 0.0117088 0.0002116
0.0028840 2291.7866820 0.0121104 0.0002165
0.0029512 2299.3487566 0.0125201 0.0002214
0.0030200 2307.0536559 0.0129380 0.0002264
0.0030903 2314.9030488 0.0133641 0.0002315
0.0031623 2322.8983661 0.0137987 0.0002366
0.0032359 2331.0419920 0.0142419 0.0002418
0.0033113 2339.3351188 0.0146938 0.0002470
0.0033884 2347.7801310 0.0151545 0.0002524
0.0034674 2356.3784590 0.0156243 0.0002578
0.0035481 2365.1320104 0.0161033 0.0002632
0.0036308 2374.0431697 0.0165916 0.0002688
0.0037154 2383.1124136 0.0170894 0.0002744
0.0038019 2392.3433187 0.0175968 0.0002801
0.0038905 2401.7370773 0.0181140 0.0002858
0.0039811 2411.2958353 0.0186412 0.0002917
0.0040738 2421.0203080 0.0191785 0.0002976
0.0041687 2430.9107339 0.0197261 0.0003035
0.0042658 2440.9714048 0.0202842 0.0003096
0.0043652 2451.2030360 0.0208529 0.0003157
0.0044668 2461.6077735 0.0214324 0.0003219
0.0045709 2472.1863327 0.0220228 0.0003282
0.0046774 2482.9410978 0.0226245 0.0003346
0.0047863 2493.8727842 0.0232374 0.0003411
0.0048978 2504.9830611 0.0238619 0.0003476
0.0050119 2516.2740742 0.0244981 0.0003542
0.0051286 2527.7477312 0.0251461 0.0003609
0.0052481 2539.4059395 0.0258062 0.0003677
0.0053703 2551.2441688 0.0264786 0.0003745
0.0054954 2563.2721952 0.0271634 0.0003815
0.0056234 2575.4881110 0.0278609 0.0003885
0.0057544 2587.8940622 0.0285712 0.0003956
0.0058884 2600.4893335 0.0292946 0.0004028
0.0060256 2613.2765478 0.0300312 0.0004101
0.0061660 2626.2568972 0.0307812 0.0004175
0.0063096 2639.4320507 0.0315449 0.0004250
0.0064565 2652.8032007 0.0323225 0.0004325
0.0066069 2666.3758311 0.0331142 0.0004402
0.0067608 2680.1439811 0.0339201 0.0004479
0.0069183 2694.1124193 0.0347406 0.0004557
0.0070795 2708.2820995 0.0355758 0.0004636
0.0072444 2722.6546909 0.0364260 0.0004716
0.0074131 2737.2311471 0.0372913 0.0004797
0.0075858 2752.0138525 0.0381721 0.0004879
0.0077625 2767.0073375 0.0390686 0.0004962
0.0079433 2782.2023030 0.0399809 0.0005046
0.0081283 2797.6082865 0.0409093 0.0005131
0.0083176 2813.2250495 0.0418542 0.0005216
0.0085114 2829.0533075 0.0428156 0.0005303
0.0087096 2845.0942525 0.0437939 0.0005391
0.0089125 2861.3490767 0.0447894 0.0005479
0.0091201 2877.8199262 0.0458022 0.0005569
0.0093325 2894.5118081 0.0468327 0.0005659
0.0095499 2911.4163771 0.0478810 0.0005751
