#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 6877.8242663 0.0000000 0.0000000
0.0010233 6881.3768275 0.0000542 0.0000050
0.0010471 6885.0957884 0.0001096 0.0000071
0.0010715 6888.9887775 0.0001662 0.0000088
0.0010965 6893.0619932 0.0002242 0.0000103
0.0011220 6897.3259249 0.0002835 0.0000117
0.0011482 6901.7872475 0.0003441 0.0000129
0.0011749 6906.4545434 0.0004060 0.0000141
0.0012023 6911.3344875 0.0004694 0.0000153
0.0012303 6916.4394765 0.0005342 0.0000164
0.0012589 6921.7771389 0.0006005 0.0000175
0.0012882 6927.3560570 0.0006683 0.0000185
0.0013183 6933.1891040 0.0007375 0.0000196
0.0013490 6939.2843855 0.0008084 0.0000206
0.0013804 6945.6538211 0.0008808 0.0000217
0.0014125 6952.3064700 0.0009548 0.0000227
0.0014454 6959.2580660 0.0010305 0.0000237
0.0014791 6966.5171915 0.0011079 0.0000248
0.0015136 6974.0967198 0.0011869 0.0000258
0.0015488 6982.0104778 0.0012678 0.0000268
0.0015849 6990.2703852 0.0013504 0.0000279
0.0016218 6998.8921761 0.0014349 0.0000289
0.0016596 7007.8863399 0.0015212 0.0000299
0.0016982 7017.2705178 0.0016094 0.0000310
0.0017378 7027.0566295 0.0016995 0.0000320
0.0017783 7037.2632699 0.0017916 0.0000331
0.0018197 7047.9042658 0.0018857 0.0000342
0.0018621 7058.9948746 0.0019818 0.0000353
0.0019055 7070.5527374 0.0020801 0.0000364
0.0019498 7082.5950187 0.0021804 0.0000375
0.0019953 7095.1384061 0.0022829 0.0000386
0.0020417 7108.2000642 0.0023876 0.0000397
0.0020893 7121.7966804 0.0024946 0.0000409
0.0021380 7135.9487568 0.0026038 0.0000420
0.0021878 7150.6739346 0.0027154 0.0000432
0.0022387 7165.9898551 0.0028293 0.0000444
0.0022909 7181.6357141 0.0029456 0.0000456
0.0023442 7198.0725675 0.0030643 0.0000468
0.0023988 7215.0920580 0.0031856 0.0000480
0.0024547 7232.7075359 0.0033093 0.0000493
0.0025119 7250.9404567 0.0034356 0.0000505
0.0025704 7269.8046472 0.0035646 0.0000518
0.0026303 7289.3196559 0.0036962 0.0000531
0.0026915 7309.4983560 0.0038305 0.0000544
0.0027542 7330.3593425 0.0039675 0.0000557
0.0028184 7351.9169189 0.0041073 0.0000570
0.0028840 7374.1863425 0.0042500 0.0000584
0.0029512 7397.1814403 0.0043955 0.0000598
0.0030200 7420.9136553 0.0045440 0.0000612
0.0030903 7445.3977678 0.0046954 0.0000626
0.0031623 7470.6385458 0.0048498 0.0000640
0.0032359 7496.6493394 0.0050073 0.0000654
0.0033113 7523.4334862 0.0051679 0.0000669
0.0033884 7550.9976612 0.0053316 0.0000684
0.0034674 7579.3375732 0.0054985 0.0000699
0.0035481 7608.1313892 0.0056687 0.0000714
0.0036308 7638.3879965 0.0058422 0.0000729
0.0037154 7669.4293998 0.0060190 0.0000745
0.0038019 7701.2770548 0.0061991 0.0000760
0.0038905 7733.9490795 0.0063827 0.0000776
0.0039811 7767.4654990 0.0065698 0.0000792
0.0040738 7801.8434777 0.0067604 0.0000809
0.0041687 7837.0997034 0.0069546 0.0000825
0.0042658 7873.2575387 0.0071523 0.0000842
0.0043652 7910.3336712 0.0073538 0.0000859
0.0044668 7948.3452654 0.0075590 0.0000876
0.0045709 7987.3099626 0.0077679 0.0000893
0.0046774 8027.2463574 0.0079806 0.0000910
0.0047863 8068.1701841 0.0081973 0.0000928
0.0048978 8110.0952694 0.0084178 0.0000945
0.0050119 8153.0378243 0.0086422 0.0000963
0.0051286 8197.0092916 0.0088707 0.0000981
0.0052481 8242.0230216 0.0091033 0.0001000
0.0053703 8288.0866429 0.0093399 0.0001018
0.0054954 8335.2087376 0.0095807 0.0001037
0.0056234 8383.3931201 0.0098257 0.0001056
0.0057544 8432.6445584 0.0100750 0.0001075
0.0058884 8482.9592379 0.0103286 0.0001094
0.0060256 8534.3333446 0.0105865 0.0001113
0.0061660 8586.7573425 0.0108488 0.0001133
0.0063096 8640.2188351 0.0111156 0.0001152
0.0064565 8694.6977972 0.0113869 0.0001172
0.0066069 8750.8254987 0.0116628 0.0001192
0.0067608 8807.8381221 0.0119432 0.0001213
0.0069183 8866.0131592 0.0122284 0.0001233
0.0070795 8925.3601458 0.0125182 0.0001254
0.0072444 8985.8962462 0.0128128 0.0001274
0.0074131 9047.6290892 0.0131122 0.0001295
0.0075858 9110.5739320 0.0134165 0.0001316
0.0077625 9174.7431711 0.0137258 0.0001338
0.0079433 9240.1434816 0.0140400 0.0001359
0.0081283 9306.7910744 0.0143592 0.0001380
0.0083176 9374.6973924 0.0146835 0.0001402
0.0085114 9443.8748321 0.0150130 0.0001424
0.0087096 9514.3310222 0.0153476 0.0001446
0.0089125 9586.0840808 0.0156875 0.0001468
0.0091201 9659.1435435 0.0160327 0.0001490
0.0093325 9733.5284820 0.0163832 0.0001513
0.0095499 9809.2245926 0.0167392 0.0001535
0.0097724 9886.2709720 0.0171006 0.0001558
0.0100000 9964.6781097 0.0174675 0.0001581
0.0102329 10044.4564951 0.0178400 0.0001604
0.0104713 10125.6156638 0.0182182 0.0001627
0.0107152 10208.1699196 0.0186020 0.0001650
0.0109648 10292.1326127 0.0189916 0.0001674
0.0112202 10377.5228146 0.0193870 0.0001697
0.0114815 10469.2056890 0.0197884 0.0001721
0.0117490 10559.5840663 0.0201953 0.0001745
0.0120226 10631.3294962 0.0206085 0.0001769
0.0123027 10692.3757618 0.0210287 0.0001793
0.0125893 10752.5399661 0.0214564 0.0001817
0.0128825 10823.6665228 0.0218913 0.0001842
0.0131826 10902.1222930 0.0223332 0.0001867
0.0134896 10978.2942399 0.0227823 0.0001892
0.0138038 11056.3056420 0.0232386 0.0001918
0.0141254 11136.2003641 0.0237022 0.0001943
0.0144544 11218.0146421 0.0241732 0.0001970
0.0147911 11301.7894800 0.0246516 0.0001996
0.0151356 11387.5696959 0.0251375 0.0002022
0.0154882 11475.3934332 0.0256310 0.0002049
0.0158489 11565.3074173 0.0261320 0.0002076
0.0162181 11657.3660020 0.0266407 0.0002103
0.0165959 11751.6054236 0.0271572 0.0002130
0.0169824 11848.0771752 0.0276813 0.0002158
0.0173780 11946.8270288 0.0282133 0.0002186
0.0177828 12047.9055240 0.0287531 0.0002213
0.0181970 12151.3622470 0.0293009 0.0002241
0.0186209 12257.2563197 0.0298566 0.0002269
0.0190546 12366.4907821 0.0304203 0.0002298
0.0194984 12477.5046243 0.0309920 0.0002326
0.0199526 12588.7463720 0.0315718 0.0002355
0.0204174 12701.4490038 0.0321598 0.0002383
0.0208930 12817.1449223 0.0327562 0.0002412
0.0213796 12937.7136331 0.0333609 0.0002441
0.0218776 13065.4256095 0.0339738 0.0002470
0.0223872 13191.2161227 0.0345949 0.0002499
0.0229087 13321.6496156 0.0352243 0.0002529
0.0234423 13455.0783023 0.0358620 0.0002558
0.0239883 13591.5641656 0.0365080 0.0002587
0.0245471 13731.1691880 0.0371624 0.0002616
0.0251189 13873.9629810 0.0378252 0.0002646
0.0257040 14078.5935572 0.0384949 0.0002675
0.0263027 14277.0382618 0.0391706 0.0002704
0.0269153 14479.3001460 0.0398524 0.0002733
0.0275423 14685.4116314 0.0405403 0.0002761
0.0281838 14895.4127685 0.0412343 0.0002789
0.0288403 15109.3083251 0.0419345 0.0002817
0.0295121 15327.1669589 0.0426408 0.0002845
0.0301995 15548.9962986 0.0433532 0.0002872
0.0309030 15774.8020657 0.0440718 0.0002899
0.0316228 16004.7005969 0.0447967 0.0002926
0.0323594 16238.3848396 0.0455277 0.0002953
0.0331131 16476.2038038 0.0462650 0.0002979
0.0338844 16718.0964605 0.0470086 0.0003005
0.0346737 16964.0132236 0.0477584 0.0003031
0.0354813 17213.9235785 0.0485146 0.0003056
0.0363078 17467.8065465 0.0492772 0.0003082
0.0371535 17725.6754776 0.0500462 0.0003107
0.0380189 17987.5799580 0.0508216 0.0003132
0.0389045 18253.5123591 0.0516035 0.0003157
0.0398107 18523.2094929 0.0523921 0.0003181
0.0407380 18796.8716111 0.0531872 0.0003205
0.0416869 19074.3880985 0.0539890 0.0003229
0.0426580 19355.6635971 0.0547975 0.0003253
0.0436516 19640.6332634 0.0556129 0.0003277
0.0446684 19929.2646758 0.0564352 0.0003300
0.0457088 20221.5826274 0.0572644 0.0003323
0.0467735 20517.2876941 0.0581007 0.0003346
0.0478630 20816.3550828 0.0589442 0.0003369
0.0489779 21118.8706157 0.0597949 0.0003392
0.0501187 21424.6168767 0.0606530 0.0003414
0.0512861 21733.3917068 0.0615186 0.0003437
0.0524807 22045.0234617 0.0623918 0.0003459
0.0537032 22359.3805474 0.0632728 0.0003481
0.0549541 22676.3752346 0.0641616 0.0003503
0.0562341 22996.0132448 0.0650585 0.0003525
0.0575440 23318.0428328 0.0659635 0.0003547
0.0588844 23641.8956652 0.0668769 0.0003568
0.0602560 23967.8387443 0.0677988 0.0003590
0.0616595 24295.5345030 0.0687293 0.0003611
0.0630957 24624.6892386 0.0696688 0.0003632
0.0645654 24955.0321345 0.0706174 0.0003653
0.0660693 25286.3762890 0.0715753 0.0003674
0.0676083 25618.5824797 0.0725427 0.0003695
0.0691831 25951.3856112 0.0735199 0.0003716
0.0707946 26284.0094698 0.0745070 0.0003737
0.0724436 26616.8202299 0.0755045 0.0003758
0.0741310 26949.3525448 0.0765126 0.0003779
0.0758578 27281.1677678 0.0775315 0.0003800
0.0776247 27611.8806526 0.0785615 0.0003821
0.0794328 27941.1688894 0.0796030 0.0003842
0.0812831 28268.8036189 0.0806563 0.0003862
0.0831764 28594.6551544 0.0817218 0.0003883
0.0851138 28918.0178468 0.0827997 0.0003904
0.0870964 29238.5274288 0.0838906 0.0003925
0.0891251 29556.0866352 0.0849947 0.0003946
0.0912011 29870.1729043 0.0861126 0.0003967
0.0933254 30180.3418679 0.0872446 0.0003989
0.0954993 30486.2197229 0.0883912 0.0004010
0.0977237 30787.5337454 0.0895529 0.0004031
0.1000000 31084.2229063 0.0907302 0.0004053
0.1023293 31374.9083294 0.0919235 0.0004075
0.1047129 31660.1774198 0.0931335 0.0004097
0.1071519 31939.4542153 0.0943607 0.0004119
0.1096478 32212.2123400 0.0956056 0.0004141
0.1122018 32478.0017041 0.0968690 0.0004164
0.1148154 32736.4942764 0.0981514 0.0004186
0.1174898 32987.4650119 0.0994535 0.0004210
0.1202264 33230.8299957 0.1007759 0.0004233
0.1230269 33465.6814199 0.1021195 0.0004257
0.1258925 33692.1184567 0.1034849 0.0004281
0.1288250 33909.8359608 0.1048730 0.0004305
0.1318257 34118.4181712 0.1062844 0.0004330
0.1348963 34317.5637569 0.1077202 0.0004355
0.1380384 34507.0705590 0.1091811 0.0004381
0.1412538 34686.9080628 0.1106680 0.0004407
0.1445440 34856.5460781 0.1121819 0.0004434
