#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 1289.5107723 0.0000000 0.0000000
0.0010233 1290.7333781 0.0002528 0.0000390
0.0010471 1291.9863823 0.0005112 0.0000557
0.0010715 1293.2704999 0.0007753 0.0000690
0.0010965 1294.5872808 0.0010454 0.0000805
0.0011220 1295.9370825 0.0013214 0.0000910
0.0011482 1297.3220508 0.0016036 0.0001008
0.0011749 1298.7425434 0.0018921 0.0001101
0.0012023 1300.2008252 0.0021869 0.0001190
0.0012303 1301.6978498 0.0024883 0.0001277
0.0012589 1303.2354054 0.0027963 0.0001361
0.0012882 1304.8148034 0.0031111 0.0001443
0.0013183 1306.4380702 0.0034329 0.0001525
0.0013490 1308.1071132 0.0037617 0.0001605
0.0013804 1309.8237205 0.0040978 0.0001685
0.0014125 1311.5903955 0.0044412 0.0001764
0.0014454 1313.4091648 0.0047922 0.0001843
0.0014791 1315.2824126 0.0051508 0.0001922
0.0015136 1317.2129998 0.0055173 0.0002001
0.0015488 1319.2039066 0.0058917 0.0002080
0.0015849 1321.2577558 0.0062743 0.0002159
0.0016218 1323.3781235 0.0066651 0.0002239
0.0016596 1325.5684667 0.0070644 0.0002319
0.0016982 1327.8322426 0.0074724 0.0002399
0.0017378 1330.1741003 0.0078891 0.0002480
0.0017783 1332.5980929 0.0083147 0.0002561
0.0018197 1335.1089888 0.0087495 0.0002643
0.0018621 1337.7117946 0.0091935 0.0002726
0.0019055 1340.3681252 0.0096470 0.0002810
0.0019498 1343.1266178 0.0101101 0.0002894
0.0019953 1345.9751131 0.0105830 0.0002979
0.0020417 1348.9161144 0.0110659 0.0003065
0.0020893 1351.9518868 0.0115589 0.0003152
0.0021380 1355.0860065 0.0120623 0.0003240
0.0021878 1358.3203808 0.0125762 0.0003329
0.0022387 1361.6579899 0.0131008 0.0003418
0.0022909 1365.1019334 0.0136363 0.0003509
0.0023442 1368.6542377 0.0141828 0.0003601
0.0023988 1372.3178830 0.0147406 0.0003694
0.0024547 1376.0952536 0.0153098 0.0003788
0.0025119 1379.9889720 0.0158907 0.0003883
0.0025704 1384.0014224 0.0164834 0.0003979
0.0026303 1388.1347506 0.0170882 0.0004076
0.0026915 1392.3913407 0.0177052 0.0004175
0.0027542 1396.7726232 0.0183345 0.0004275
0.0028184 1401.2666774 0.0189765 0.0004376
0.0028840 1405.9224979 0.0196313 0.0004478
0.0029512 1410.7075408 0.0202991 0.0004581
0.0030200 1415.6246671 0.0209802 0.0004686
0.0030903 1420.6776915 0.0216746 0.0004792
0.0031623 1425.8692366 0.0223826 0.0004899
0.0032359 1431.2027594 0.0231045 0.0005008
0.0033113 1436.6815978 0.0238404 0.0005117
0.0033884 1442.3086127 0.0245906 0.0005229
0.0034674 1448.0867845 0.0253552 0.0005341
0.0035481 1454.0189741 0.0261344 0.0005455
0.0036308 1460.1082809 0.0269285 0.0005570
0.0037154 1466.3572084 0.0277377 0.0005686
0.0038019 1472.7681407 0.0285621 0.0005804
0.0038905 1479.3432236 0.0294021 0.0005923
0.0039811 1486.0842452 0.0302577 0.0006043
0.0040738 1492.9927552 0.0311293 0.0006165
0.0041687 1500.0705418 0.0320170 0.0006288
0.0042658 1507.3183202 0.0329211 0.0006412
0.0043652 1514.7356135 0.0338417 0.0006538
0.0044668 1522.3226603 0.0347791 0.0006665
0.0045709 1530.1078321 0.0357335 0.0006794
0.0046774 1538.0709828 0.0367052 0.0006923
0.0047863 1546.2162845 0.0376942 0.0007055
0.0048978 1554.5465984 0.0387010 0.0007187
