#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 685.0136495 0.0000000 0.0000000
0.0010233 686.1288281 0.0003058 0.0000661
0.0010471 687.2804761 0.0006182 0.0000945
0.0010715 688.4697258 0.0009373 0.0001169
0.0010965 689.6978881 0.0012633 0.0001364
0.0011220 690.9661549 0.0015963 0.0001541
0.0011482 692.2758372 0.0019364 0.0001705
0.0011749 693.6281863 0.0022837 0.0001861
0.0012023 695.0244538 0.0026384 0.0002010
0.0012303 696.4660696 0.0030007 0.0002154
0.0012589 697.9544641 0.0033706 0.0002295
0.0012882 699.4910078 0.0037483 0.0002432
0.0013183 701.0769521 0.0041340 0.0002567
0.0013490 702.7138464 0.0045277 0.0002700
0.0013804 704.4030613 0.0049297 0.0002832
0.0014125 706.1461460 0.0053400 0.0002962
0.0014454 707.9442329 0.0057588 0.0003092
0.0014791 709.7991096 0.0061862 0.0003221
0.0015136 711.7119679 0.0066225 0.0003349
0.0015488 713.6842977 0.0070677 0.0003478
0.0015849 715.7174099 0.0075220 0.0003606
0.0016218 717.8127347 0.0079856 0.0003735
0.0016596 719.9714043 0.0084585 0.0003863
0.0016982 722.1946701 0.0089410 0.0003992
0.0017378 724.4837240 0.0094332 0.0004122
0.0017783 726.8395193 0.0099352 0.0004252
0.0018197 729.2631287 0.0104472 0.0004382
0.0018621 731.7550886 0.0109695 0.0004513
0.0019055 734.3162331 0.0115020 0.0004645
0.0019498 736.9468603 0.0120450 0.0004778
0.0019953 739.6473277 0.0125986 0.0004911
0.0020417 742.4305664 0.0131631 0.0005045
0.0020893 745.2932990 0.0137385 0.0005181
0.0021380 748.2309965 0.0143250 0.0005317
0.0021878 751.2458043 0.0149228 0.0005454
0.0022387 754.3389738 0.0155321 0.0005592
0.0022909 757.5123522 0.0161529 0.0005731
0.0023442 760.7674293 0.0167856 0.0005871
0.0023988 764.1059928 0.0174301 0.0006013
0.0024547 767.5292346 0.0180868 0.0006155
0.0025119 771.0387636 0.0187557 0.0006299
0.0025704 774.6360100 0.0194371 0.0006444
0.0026303 778.3221655 0.0201311 0.0006589
0.0026915 782.0982433 0.0208378 0.0006737
0.0027542 785.9654350 0.0215575 0.0006885
0.0028184 789.9243964 0.0222902 0.0007034
0.0028840 793.9757231 0.0230363 0.0007185
0.0029512 798.1200112 0.0237958 0.0007337
0.0030200 802.3572011 0.0245689 0.0007490
0.0030903 806.6888420 0.0253559 0.0007644
0.0031623 811.1298317 0.0261567 0.0007800
0.0032359 815.6680733 0.0269717 0.0007957
0.0033113 820.3051757 0.0278011 0.0008115
0.0033884 825.0425095 0.0286449 0.0008274
0.0034674 829.8818028 0.0295033 0.0008435
0.0035481 834.8244858 0.0303766 0.0008597
0.0036308 839.8718694 0.0312649 0.0008760
0.0037154 845.0254436 0.0321684 0.0008924
0.0038019 850.2866384 0.0330873 0.0009090
0.0038905 855.6567052 0.0340217 0.0009256
0.0039811 861.1368954 0.0349718 0.0009424
0.0040738 866.7287584 0.0359378 0.0009593
0.0041687 872.4331881 0.0369199 0.0009764
0.0042658 878.2516146 0.0379183 0.0009935
0.0043652 884.1849318 0.0389331 0.0010108
0.0044668 890.2343911 0.0399646 0.0010282
0.0045709 896.4009459 0.0410128 0.0010457
0.0046774 902.6857285 0.0420780 0.0010633
0.0047863 909.0895730 0.0431605 0.0010811
0.0048978 915.6137907 0.0442602 0.0010989
0.0050119 922.2589176 0.0453776 0.0011169
0.0051286 929.0260265 0.0465126 0.0011350
0.0052481 935.9250094 0.0476657 0.0011532
0.0053703 942.9404920 0.0488368 0.0011715
0.0054954 950.0847498 0.0500262 0.0011899
0.0056234 957.3586172 0.0512342 0.0012084
0.0057544 964.7632860 0.0524608 0.0012270
0.0058884 972.2990541 0.0537063 0.0012457
0.0060256 979.9666962 0.0549710 0.0012645
0.0061660 987.7672253 0.0562549 0.0012835
0.0063096 995.7012970 0.0575582 0.0013025
0.0064565 1003.7705798 0.0588813 0.0013216
0.0066069 1011.9759675 0.0602243 0.0013409
0.0067608 1020.3192479 0.0615873 0.0013602
0.0069183 1028.8024470 0.0629707 0.0013796
0.0070795 1037.4279484 0.0643745 0.0013991
0.0072444 1046.1989701 0.0657991 0.0014187
0.0074131 1055.1130093 0.0672445 0.0014384
0.0075858 1064.1649411 0.0687111 0.0014582
0.0077625 1073.3664453 0.0701991 0.0014780
0.0079433 1082.7175220 0.0717086 0.0014980
0.0081283 1092.2187670 0.0732398 0.0015180
0.0083176 1101.8701802 0.0747931 0.0015381
0.0085114 1111.6725961 0.0763686 0.0015583
0.0087096 1121.6273256 0.0779665 0.0015786
0.0089125 1131.7359180 0.0795870 0.0015990
0.0091201 1142.0007569 0.0812305 0.0016194
0.0093325 1152.4250603 0.0828971 0.0016399
0.0095499 1163.0132379 0.0845870 0.0016605
0.0097724 1173.7502728 0.0863004 0.0016812
0.0100000 1184.6215058 0.0880378 0.0017019
0.0102329 1195.7116746 0.0897992 0.0017227
0.0104713 1206.9928909 0.0915849 0.0017436
0.0107152 1218.4311880 0.0933950 0.0017645
0.0109648 1229.9841374 0.0952299 0.0017855
0.0112202 1241.6016831 0.0970899 0.0018066
0.0114815 1253.2238768 0.0989755 0.0018278
0.0117490 1264.7800441 0.1008873 0.0018490
0.0120226 1279.2516221 0.1028235 0.0018702
0.0123027 1293.3928298 0.1047830 0.0018914
0.0125893 1307.8200724 0.1067660 0.0019126
0.0128825 1322.5383555 0.1087727 0.0019338
0.0131826 1337.4084755 0.1108032 0.0019549
0.0134896 1352.9733027 0.1128575 0.0019760
0.0138038 1368.1895249 0.1149359 0.0019970
0.0141254 1383.6584112 0.1170391 0.0020180
0.0144544 1400.1366432 0.1191667 0.0020390
0.0147911 1416.6532515 0.1213183 0.0020600
0.0151356 1433.6175045 0.1234941 0.0020808
0.0154882 1450.9302432 0.1256942 0.0021016
0.0158489 1468.5975461 0.1279184 0.0021223
0.0162181 1486.6276366 0.1301670 0.0021430
0.0165959 1505.0296916 0.1324400 0.0021636
0.0169824 1523.8184896 0.1347373 0.0021841
0.0173780 1542.9872374 0.1370591 0.0022045
0.0177828 1562.5581025 0.1394053 0.0022249
0.0181970 1582.5381167 0.1417759 0.0022451
0.0186209 1602.9352651 0.1441710 0.0022653
0.0190546 1623.7595589 0.1465906 0.0022853
0.0194984 1645.0187450 0.1490347 0.0023052
0.0199526 1666.7246223 0.1515033 0.0023251
0.0204174 1688.8929226 0.1539964 0.0023448
0.0208930 1711.5305585 0.1565139 0.0023644
0.0213796 1734.6475412 0.1590558 0.0023839
0.0218776 1758.2540012 0.1616222 0.0024033
0.0223872 1782.3634058 0.1642129 0.0024225
0.0229087 1806.9924405 0.1668280 0.0024417
0.0234423 1832.3676687 0.1694677 0.0024606
0.0239883 1858.5940891 0.1721305 0.0024795
0.0245471 1883.3762717 0.1748181 0.0024982
0.0251189 1906.5716756 0.1775334 0.0025168
0.0257040 1928.0593321 0.1802797 0.0025354
0.0263027 1947.7449687 0.1830600 0.0025540
0.0269153 1965.5676839 0.1858778 0.0025728
0.0275423 1986.2334667 0.1887328 0.0025917
0.0281838 2006.3097793 0.1916252 0.0026106
0.0288403 2026.7136019 0.1945552 0.0026296
0.0295121 2047.4458879 0.1975232 0.0026488
0.0301995 2068.5187937 0.2005294 0.0026679
0.0309030 2089.9182561 0.2035743 0.0026872
0.0316228 2111.6588151 0.2066581 0.0027065
0.0323594 2133.7421392 0.2097811 0.0027259
0.0331131 2156.1603625 0.2129438 0.0027453
0.0338844 2178.9223044 0.2161464 0.0027648
0.0346737 2202.0360692 0.2193892 0.0027843
0.0354813 2225.4990350 0.2226727 0.0028039
0.0363078 2249.3088181 0.2259972 0.0028235
0.0371535 2273.4649418 0.2293631 0.0028432
0.0380189 2297.9676444 0.2327707 0.0028630
0.0389045 2322.8197863 0.2362204 0.0028827
0.0398107 2348.0261348 0.2397126 0.0029025
0.0407380 2373.5947941 0.2432477 0.0029224
0.0416869 2399.4861961 0.2468262 0.0029422
0.0426580 2425.7401474 0.2504485 0.0029621
0.0436516 2452.3442530 0.2541150 0.0029820
0.0446684 2479.2920773 0.2578261 0.0030020
0.0457088 2506.5802831 0.2615824 0.0030220
0.0467735 2534.2048182 0.2653843 0.0030420
0.0478630 2562.1661594 0.2692324 0.0030620
0.0489779 2590.4683589 0.2731269 0.0030820
0.0501187 2619.0971149 0.2770687 0.0031021
0.0512861 2648.0400325 0.2810583 0.0031222
0.0524807 2677.3128438 0.2850961 0.0031423
0.0537032 2706.9014852 0.2891829 0.0031624
0.0549541 2736.7947538 0.2933191 0.0031826
0.0562341 2766.9812081 0.2975054 0.0032028
0.0575440 2797.4527439 0.3017426 0.0032229
0.0588844 2828.2048323 0.3060313 0.0032431
0.0602560 2859.2360431 0.3103721 0.0032634
0.0616595 2890.5504284 0.3147660 0.0032836
0.0630957 2922.0824385 0.3192136 0.0033039
0.0645654 2953.8637758 0.3237157 0.0033242
0.0660693 2985.8760862 0.3282732 0.0033445
0.0676083 3018.1005392 0.3328870 0.0033649
0.0691831 3050.5173507 0.3375580 0.0033852
0.0707946 3083.1122189 0.3422870 0.0034056
0.0724436 3115.8744175 0.3470753 0.0034261
0.0741310 3148.7984641 0.3519236 0.0034466
0.0758578 3181.8395467 0.3568333 0.0034671
0.0776247 3214.9876541 0.3618052 0.0034877
0.0794328 3248.2358736 0.3668408 0.0035083
0.0812831 3281.5525032 0.3719411 0.0035290
0.0831764 3314.9077475 0.3771074 0.0035497
0.0851138 3348.2772935 0.3823411 0.0035705
0.0870964 3381.6392119 0.3876436 0.0035914
0.0891251 3414.9784859 0.3930165 0.0036123
0.0912011 3448.2882030 0.3984609 0.0036333
0.0933254 3481.4661056 0.4039788 0.0036544
0.0954993 3514.5498551 0.4095718 0.0036756
0.0977237 3547.4951160 0.4152415 0.0036969
0.1000000 3580.2620819 0.4209899 0.0037183
0.1023293 3612.8164284 0.4268185 0.0037398
0.1047129 3645.1283604 0.4327298 0.0037614
0.1071519 3677.1742800 0.4387255 0.0037832
0.1096478 3708.9134271 0.4448079 0.0038051
0.1122018 3740.2862112 0.4509793 0.0038271
0.1148154 3771.2959693 0.4572420 0.0038493
0.1174898 3801.8926454 0.4635983 0.0038717
0.1202264 3832.0283285 0.4700510 0.0038943
0.1230269 3861.6620205 0.4766027 0.0039170
0.1258925 3890.7558215 0.4832563 0.0039400
0.1288250 3919.2847037 0.4900145 0.0039632
0.1318257 3947.2300746 0.4968805 0.0039866
0.1348963 3974.4794273 0.5038575 0.0040103
0.1380384 4001.0608885 0.5109489 0.0040342
0.1412538 4026.9174897 0.5181580 0.0040585
0.1445440 4052.0041802 0.5254884 0.0040830
0.1479108 4076.2780549 0.5329442 0.0041078
0.1513561 4099.7095568 0.5405291 0.0041330
0.1548817 4122.2767566 0.5482471 0.0041585
0.1584893 4143.8747749 0.5561028 0.0041844
0.1621810 4164.5446099 0.5641005 0.0042107
0.1659587 4184.2352521 0.5722450 0.0042375
0.1698244 4202.8985523 0.5805410 0.0042646
0.1737801 4220.4968493 0.5889938 0.0042923
0.1778279 4236.9986792 0.5976086 0.0043204
0.1819701 4252.3849729 0.6063909 0.0043491
0.1862087 4266.6457194 0.6153465 0.0043783
0.1905461 4279.7351529 0.6244814 0.0044081
0.1949845 4291.6179960 0.6338019 0.0044386
0.1995262 4302.2904346 0.6433143 0.0044697
0.2041738 4311.7243422 0.6530257 0.0045014
0.2089296 4319.9020799 0.6629430 0.0045339
0.2137962 4326.8145899 0.6730735 0.0045672
0.2187762 4332.4656860 0.6834251 0.0046012
0.2238721 4336.8219974 0.6940054 0.0046361
0.2290868 4339.8840010 0.7048231 0.0046719
0.2344229 4341.6588475 0.7158865 0.0047087
0.2398833 4342.1341422 0.7272047 0.0047464
0.2454709 4341.3103617 0.7387871 0.0047852
0.2511886 4339.1941802 0.7506431 0.0048251
0.2570396 4335.8070503 0.7627831 0.0048661
0.2630268 4331.1599367 0.7752174 0.0049083
0.2691535 4325.2394910 0.7879569 0.0049518
0.2754229 4318.0905255 0.8010129 0.0049966
0.2818383 4309.7216212 0.8143970 0.0050429
0.2884032 4300.1480333 0.8281213 0.0050906
0.2951209 4289.3988419 0.8421987 0.0051399
0.3019952 4277.5088480 0.8566420 0.0051908
0.3090295 4264.0823700 0.8714669 0.0052434
0.3162278 4254.0754392 0.8866777 0.0052977
0.3235937 4243.8611330 0.9022799 0.0053538
0.3311311 4233.2034728 0.9182846 0.0054115
0.3388442 4221.8383530 0.9347048 0.0054711
0.3467369 4209.4721110 0.9515546 0.0055325
0.3548134 4195.7810507 0.9688503 0.0055959
0.3630781 4180.4095354 0.9866100 0.0056614
0.3715352 4164.2690630 1.0048529 0.0057290
0.3801894 4146.9758699 1.0235952 0.0057990
0.3890451 4128.6534279 1.0428569 0.0058713
0.3981072 4109.3413052 1.0626572 0.0059462
0.4073803 4089.0862208 1.0830165 0.0060237
0.4168694 4067.9425213 1.1039559 0.0061040
0.4265795 4045.9750413 1.1254968 0.0061871
0.4365158 4023.2095240 1.1476620 0.0062732
0.4466836 3999.7074668 1.1704739 0.0063625
0.4570882 3975.5098680 1.1939569 0.0064551
0.4677351 3950.6648770 1.2181359 0.0065510
0.4786301 3925.2244566 1.2430359 0.0066505
0.4897788 3899.1023198 1.2686832 0.0067537
0.5011872 3871.0051120 1.2951118 0.0068608
