#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 1042.9426607 0.0000000 0.0000000
0.0010233 1044.0679922 0.0002679 0.0000470
0.0010471 1045.2245564 0.0005417 0.0000672
0.0010715 1046.4134261 0.0008215 0.0000831
0.0010965 1047.6355552 0.0011076 0.0000970
0.0011220 1048.8923740 0.0014000 0.0001097
0.0011482 1050.1848363 0.0016988 0.0001214
0.0011749 1051.5142533 0.0020042 0.0001326
0.0012023 1052.8818171 0.0023163 0.0001433
0.0012303 1054.2887199 0.0026352 0.0001537
0.0012589 1055.7368689 0.0029612 0.0001638
0.0012882 1057.2272178 0.0032943 0.0001738
0.0013183 1058.7614356 0.0036346 0.0001835
0.0013490 1060.3414296 0.0039824 0.0001932
0.0013804 1061.9683919 0.0043377 0.0002027
0.0014125 1063.6443490 0.0047008 0.0002122
0.0014454 1065.3713275 0.0050717 0.0002217
0.0014791 1067.1508771 0.0054506 0.0002311
0.0015136 1068.9852627 0.0058377 0.0002406
0.0015488 1070.8767494 0.0062331 0.0002500
0.0015849 1072.8272445 0.0066370 0.0002595
0.0016218 1074.8394897 0.0070495 0.0002690
0.0016596 1076.9156309 0.0074709 0.0002785
0.0016982 1079.0587675 0.0079012 0.0002881
0.0017378 1081.2712836 0.0083406 0.0002977
0.0017783 1083.5562787 0.0087894 0.0003074
0.0018197 1085.9168522 0.0092476 0.0003172
0.0018621 1088.3561035 0.0097155 0.0003270
0.0019055 1090.8778473 0.0101932 0.0003369
0.0019498 1093.4853023 0.0106808 0.0003469
0.0019953 1096.1404409 0.0111786 0.0003570
0.0020417 1098.8995295 0.0116868 0.0003672
0.0020893 1101.7428988 0.0122055 0.0003775
0.0021380 1104.6732906 0.0127348 0.0003879
0.0021878 1107.6921353 0.0132751 0.0003984
0.0022387 1110.8026516 0.0138263 0.0004090
0.0022909 1114.0066276 0.0143889 0.0004197
0.0023442 1117.3062092 0.0149628 0.0004305
0.0023988 1120.7038996 0.0155484 0.0004415
0.0024547 1124.2017254 0.0161458 0.0004525
0.0025119 1127.8019517 0.0167551 0.0004637
0.0025704 1131.5062472 0.0173766 0.0004750
0.0026303 1135.3169963 0.0180105 0.0004865
0.0026915 1139.2358677 0.0186570 0.0004980
0.0027542 1143.2641729 0.0193162 0.0005097
0.0028184 1147.4038192 0.0199884 0.0005216
0.0028840 1151.6557601 0.0206737 0.0005335
0.0029512 1156.0037834 0.0213723 0.0005456
0.0030200 1160.5043941 0.0220845 0.0005578
0.0030903 1165.1209949 0.0228105 0.0005702
0.0031623 1169.8556124 0.0235503 0.0005827
0.0032359 1174.7108694 0.0243044 0.0005954
0.0033113 1179.6892690 0.0250727 0.0006081
0.0033884 1184.7939108 0.0258556 0.0006211
0.0034674 1190.0270598 0.0266532 0.0006341
0.0035481 1195.3911001 0.0274658 0.0006473
0.0036308 1200.8886542 0.0282936 0.0006607
