#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 1434.5563691 0.0000000 0.0000000
0.0010233 1439.6761386 0.0000648 0.0000107
0.0010471 1444.9398986 0.0001309 0.0000153
0.0010715 1450.3518210 0.0001983 0.0000189
0.0010965 1455.9161970 0.0002670 0.0000220
0.0011220 1461.6366024 0.0003371 0.0000248
0.0011482 1467.5179244 0.0004084 0.0000274
0.0011749 1473.5640966 0.0004812 0.0000299
0.0012023 1479.7796483 0.0005553 0.0000322
0.0012303 1486.1692283 0.0006309 0.0000345
0.0012589 1492.7366509 0.0007078 0.0000367
0.0012882 1499.4865649 0.0007862 0.0000388
0.0013183 1506.4234996 0.0008661 0.0000409
0.0013490 1513.5519847 0.0009474 0.0000429
0.0013804 1520.8759537 0.0010303 0.0000449
0.0014125 1528.3999359 0.0011146 0.0000469
0.0014454 1536.1277459 0.0012005 0.0000489
0.0014791 1544.0639130 0.0012880 0.0000508
0.0015136 1552.2116556 0.0013770 0.0000528
0.0015488 1560.5749072 0.0014676 0.0000547
0.0015849 1569.1566477 0.0015598 0.0000566
0.0016218 1577.9598572 0.0016536 0.0000585
0.0016596 1586.9872770 0.0017491 0.0000604
0.0016982 1596.2409337 0.0018463 0.0000623
0.0017378 1605.7214231 0.0019451 0.0000642
0.0017783 1615.4310101 0.0020457 0.0000661
0.0018197 1625.3682642 0.0021479 0.0000680
0.0018621 1635.5330663 0.0022519 0.0000699
0.0019055 1645.9229131 0.0023576 0.0000717
0.0019498 1656.5350633 0.0024651 0.0000736
0.0019953 1667.3649872 0.0025745 0.0000755
0.0020417 1678.4060098 0.0026856 0.0000774
0.0020893 1689.7965194 0.0027985 0.0000793
0.0021380 1701.3810825 0.0029134 0.0000812
0.0021878 1713.2012989 0.0030300 0.0000831
0.0022387 1725.2587183 0.0031486 0.0000850
0.0022909 1737.5553670 0.0032691 0.0000869
0.0023442 1750.0926754 0.0033915 0.0000888
0.0023988 1762.8713586 0.0035158 0.0000908
0.0024547 1775.8926087 0.0036421 0.0000927
0.0025119 1789.1561872 0.0037704 0.0000946
0.0025704 1802.6634053 0.0039008 0.0000966
0.0026303 1816.4134287 0.0040331 0.0000985
0.0026915 1830.4063765 0.0041675 0.0001004
0.0027542 1844.6411759 0.0043040 0.0001024
0.0028184 1859.1171119 0.0044425 0.0001044
0.0028840 1873.8333499 0.0045832 0.0001063
0.0029512 1888.7878636 0.0047261 0.0001083
0.0030200 1903.9793419 0.0048711 0.0001103
0.0030903 1919.4062352 0.0050183 0.0001123
0.0031623 1935.1265926 0.0051677 0.0001143
0.0032359 1950.9916557 0.0053193 0.0001163
0.0033113 1967.1060800 0.0054732 0.0001183
0.0033884 1983.4677198 0.0056294 0.0001204
0.0034674 2000.0721648 0.0057879 0.0001224
0.0035481 2016.9166735 0.0059487 0.0001244
0.0036308 2033.9969548 0.0061119 0.0001265
0.0037154 2051.3084792 0.0062776 0.0001286
0.0038019 2068.8479091 0.0064456 0.0001306
0.0038905 2086.6109534 0.0066161 0.0001327
0.0039811 2104.5942747 0.0067891 0.0001348
0.0040738 2122.7942970 0.0069645 0.0001369
0.0041687 2141.2091130 0.0071426 0.0001390
0.0042658 2159.8363390 0.0073232 0.0001411
0.0043652 2178.6762133 0.0075064 0.0001433
0.0044668 2197.7299277 0.0076923 0.0001454
0.0045709 2217.0003432 0.0078808 0.0001476
0.0046774 2236.4938964 0.0080721 0.0001497
0.0047863 2256.2186926 0.0082661 0.0001519
0.0048978 2276.1876052 0.0084628 0.0001541
0.0050119 2294.3144402 0.0086625 0.0001563
0.0051286 2314.6550105 0.0088651 0.0001585
0.0052481 2335.2184801 0.0090707 0.0001607
0.0053703 2355.9953131 0.0092791 0.0001630
0.0054954 2376.9771657 0.0094906 0.0001652
0.0056234 2398.1578398 0.0097050 0.0001675
0.0057544 2419.5304217 0.0099225 0.0001698
0.0058884 2441.0889517 0.0101431 0.0001721
0.0060256 2462.8310457 0.0103669 0.0001744
0.0061660 2484.7547968 0.0105938 0.0001767
0.0063096 2506.8613967 0.0108240 0.0001790
0.0064565 2529.1570438 0.0110575 0.0001814
0.0066069 2551.6507970 0.0112943 0.0001838
0.0067608 2574.3564834 0.0115345 0.0001862
0.0069183 2597.2259471 0.0117781 0.0001886
0.0070795 2620.2055492 0.0120252 0.0001910
0.0072444 2643.3954157 0.0122758 0.0001934
0.0074131 2666.7831500 0.0125300 0.0001958
0.0075858 2690.3592162 0.0127879 0.0001983
0.0077625 2714.1126483 0.0130494 0.0002008
0.0079433 2738.0358175 0.0133147 0.0002033
0.0081283 2762.1208569 0.0135838 0.0002058
0.0083176 2786.3641906 0.0138568 0.0002084
0.0085114 2810.7646265 0.0141337 0.0002109
0.0087096 2835.3250254 0.0144146 0.0002135
0.0089125 2860.0534927 0.0146996 0.0002161
0.0091201 2884.9621866 0.0149887 0.0002187
0.0093325 2910.0730393 0.0152819 0.0002214
0.0095499 2935.3526757 0.0155795 0.0002240
0.0097724 2960.7283853 0.0158813 0.0002267
0.0100000 2986.2933804 0.0161875 0.0002294
0.0102329 3012.0374101 0.0164981 0.0002322
0.0104713 3037.9499850 0.0168133 0.0002349
0.0107152 3064.0246685 0.0171331 0.0002377
0.0109648 3090.2555006 0.0174575 0.0002405
0.0112202 3116.6429582 0.0177867 0.0002433
0.0114815 3143.1894253 0.0181207 0.0002462
0.0117490 3169.9034839 0.0184596 0.0002490
0.0120226 3196.7999147 0.0188035 0.0002520
0.0123027 3223.9244894 0.0191524 0.0002549
0.0125893 3251.0774331 0.0195065 0.0002578
0.0128825 3278.4413564 0.0198658 0.0002608
0.0131826 3306.0026706 0.0202303 0.0002638
0.0134896 3333.7513632 0.0206003 0.0002669
0.0138038 3361.6774217 0.0209757 0.0002700
0.0141254 3389.7741709 0.0213567 0.0002731
0.0144544 3418.0366046 0.0217434 0.0002762
0.0147911 3446.4659148 0.0221357 0.0002794
0.0151356 3475.0661541 0.0225339 0.0002826
0.0154882 3503.8473352 0.0229381 0.0002858
0.0158489 3532.8278144 0.0233482 0.0002890
0.0162181 3562.0328617 0.0237645 0.0002923
0.0165959 3591.4488884 0.0241870 0.0002957
0.0169824 3620.9919797 0.0246157 0.0002990
0.0173780 3650.7620229 0.0250509 0.0003024
0.0177828 3680.7518662 0.0254926 0.0003058
0.0181970 3710.9567418 0.0259409 0.0003093
0.0186209 3741.3721201 0.0263959 0.0003128
0.0190546 3772.0006234 0.0268578 0.0003163
0.0194984 3802.8470197 0.0273265 0.0003199
0.0199526 3833.9253743 0.0278023 0.0003235
0.0204174 3865.2533284 0.0282852 0.0003272
0.0208930 3896.8397025 0.0287753 0.0003308
0.0213796 3928.6437313 0.0292729 0.0003346
0.0218776 3960.7183383 0.0297778 0.0003383
0.0223872 3993.0609011 0.0302904 0.0003421
0.0229087 4025.6721351 0.0308106 0.0003460
0.0234423 4058.5591920 0.0313387 0.0003499
0.0239883 4091.7332763 0.0318747 0.0003538
0.0245471 4125.2120294 0.0324187 0.0003578
0.0251189 4162.0931549 0.0329708 0.0003618
0.0257040 4211.2401761 0.0335298 0.0003658
0.0263027 4260.7595702 0.0340952 0.0003698
0.0269153 4310.6327424 0.0346670 0.0003738
0.0275423 4360.8520640 0.0352454 0.0003779
0.0281838 4411.4165815 0.0358305 0.0003819
0.0288403 4462.3391681 0.0364223 0.0003860
0.0295121 4513.5597484 0.0370210 0.0003900
0.0301995 4565.1302925 0.0376268 0.0003940
0.0309030 4617.0231465 0.0382397 0.0003981
0.0316228 4669.2182852 0.0388598 0.0004021
0.0323594 4721.7076033 0.0394873 0.0004062
0.0331131 4774.4915776 0.0401222 0.0004103
0.0338844 4827.5563810 0.0407649 0.0004143
0.0346737 4880.8815117 0.0414152 0.0004184
0.0354813 4934.4712608 0.0420735 0.0004225
0.0363078 4988.2974977 0.0427398 0.0004267
0.0371535 5042.3463954 0.0434143 0.0004308
0.0380189 5096.6103253 0.0440972 0.0004350
0.0389045 5151.1064519 0.0447885 0.0004392
0.0398107 5205.6845863 0.0454885 0.0004434
0.0407380 5260.4782298 0.0461973 0.0004476
0.0416869 5315.4411336 0.0469150 0.0004518
0.0426580 5370.5280029 0.0476420 0.0004561
0.0436516 5425.7006943 0.0483783 0.0004604
0.0446684 5480.9282165 0.0491241 0.0004647
0.0457088 5536.1891140 0.0498796 0.0004691
0.0467735 5591.4748046 0.0506450 0.0004734
0.0478630 5646.7929169 0.0514206 0.0004778
0.0489779 5702.1706279 0.0522064 0.0004823
0.0501187 5757.2841974 0.0530029 0.0004868
0.0512861 5812.4001507 0.0538101 0.0004913
0.0524807 5867.4021514 0.0546283 0.0004958
0.0537032 5922.2372755 0.0554578 0.0005004
0.0549541 5976.8587979 0.0562988 0.0005050
0.0562341 6031.2266680 0.0571516 0.0005097
0.0575440 6085.3184768 0.0580164 0.0005144
0.0588844 6139.1227813 0.0588936 0.0005192
0.0602560 6192.5246752 0.0597833 0.0005240
0.0616595 6245.4831545 0.0606861 0.0005289
0.0630957 6298.0230123 0.0616021 0.0005338
0.0645654 6350.0670087 0.0625316 0.0005388
0.0660693 6401.5412412 0.0634751 0.0005439
0.0676083 6452.3808664 0.0644329 0.0005490
0.0691831 6502.5258088 0.0654054 0.0005542
0.0707946 6551.9312501 0.0663929 0.0005594
0.0724436 6600.5657223 0.0673959 0.0005646
