#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 177.9313339 0.0000000 0.0000000
0.0010233 179.3905819 0.0011734 0.0004545
0.0010471 180.8622132 0.0023643 0.0006462
0.0010715 182.3464066 0.0035731 0.0007955
0.0010965 183.8435794 0.0047999 0.0009234
0.0011220 185.3534186 0.0060451 0.0010378
0.0011482 186.8763415 0.0073089 0.0011429
0.0011749 188.4124375 0.0085916 0.0012410
0.0012023 189.9620046 0.0098935 0.0013337
0.0012303 191.5253111 0.0112149 0.0014221
0.0012589 193.1024464 0.0125560 0.0015070
0.0012882 194.6940065 0.0139171 0.0015890
0.0013183 196.2995294 0.0152985 0.0016685
0.0013490 197.9195667 0.0167005 0.0017460
0.0013804 199.5541479 0.0181235 0.0018216
0.0014125 201.2036905 0.0195676 0.0018957
0.0014454 202.8685073 0.0210333 0.0019685
0.0014791 204.5485834 0.0225208 0.0020400
0.0015136 206.2439934 0.0240304 0.0021105
0.0015488 207.9556015 0.0255625 0.0021801
0.0015849 209.6831991 0.0271174 0.0022490
0.0016218 211.4273227 0.0286954 0.0023171
0.0016596 213.1877339 0.0302968 0.0023846
0.0016982 214.9649988 0.0319220 0.0024515
0.0017378 216.7592517 0.0335712 0.0025180
0.0017783 218.5712674 0.0352449 0.0025840
0.0018197 220.4008373 0.0369434 0.0026497
0.0018621 222.2481253 0.0386670 0.0027150
0.0019055 224.1132208 0.0404161 0.0027801
0.0019498 225.9972563 0.0421910 0.0028449
0.0019953 227.8999190 0.0439921 0.0029096
0.0020417 229.8216857 0.0458197 0.0029741
0.0020893 231.7630331 0.0476743 0.0030384
0.0021380 233.7238571 0.0495562 0.0031027
0.0021878 235.7046940 0.0514657 0.0031669
0.0022387 237.7054843 0.0534033 0.0032310
0.0022909 239.7271966 0.0553693 0.0032951
0.0023442 241.7700246 0.0573641 0.0033592
0.0023988 243.8340427 0.0593881 0.0034233
0.0024547 245.9194299 0.0614418 0.0034874
0.0025119 248.0270355 0.0635253 0.0035516
0.0025704 250.1569341 0.0656394 0.0036158
0.0026303 252.3091554 0.0677842 0.0036801
0.0026915 254.4847723 0.0699602 0.0037446
0.0027542 256.6838147 0.0721679 0.0038091
0.0028184 258.9071170 0.0744076 0.0038737
0.0028840 261.1534276 0.0766798 0.0039385
0.0029512 263.4248325 0.0789848 0.0040034
0.0030200 265.7208253 0.0813233 0.0040685
0.0030903 268.0432537 0.0836954 0.0041337
0.0031623 270.3908361 0.0861018 0.0041991
0.0032359 272.7644369 0.0885429 0.0042647
0.0033113 275.1642647 0.0910190 0.0043304
0.0033884 277.5911241 0.0935307 0.0043964
0.0034674 280.0457007 0.0960783 0.0044626
0.0035481 282.5283520 0.0986625 0.0045290
0.0036308 285.0381840 0.1012836 0.0045955
0.0037154 287.5778194 0.1039420 0.0046624
0.0038019 290.1460363 0.1066384 0.0047294
0.0038905 292.7443844 0.1093731 0.0047967
0.0039811 295.3722676 0.1121466 0.0048642
0.0040738 298.0307589 0.1149595 0.0049320
0.0041687 300.7198582 0.1178122 0.0050000
0.0042658 303.4407280 0.1207051 0.0050683
0.0043652 306.1936364 0.1236389 0.0051368
0.0044668 308.9789411 0.1266140 0.0052056
0.0045709 311.7971189 0.1296309 0.0052746
0.0046774 314.6483784 0.1326902 0.0053439
0.0047863 317.5334648 0.1357922 0.0054135
0.0048978 320.4526164 0.1389377 0.0054834
0.0050119 323.4084859 0.1421271 0.0055535
0.0051286 326.3987186 0.1453609 0.0056239
0.0052481 329.4249836 0.1486396 0.0056946
0.0053703 332.4862973 0.1519639 0.0057655
0.0054954 335.5865343 0.1553342 0.0058368
0.0056234 338.7239957 0.1587512 0.0059083
0.0057544 341.8992776 0.1622153 0.0059801
0.0058884 345.1125886 0.1657271 0.0060522
