#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 622.1088056 0.0000000 0.0000000
0.0010233 623.0488269 0.0003367 0.0000765
0.0010471 624.0187101 0.0006808 0.0001092
0.0010715 625.0192299 0.0010323 0.0001352
0.0010965 626.0515188 0.0013914 0.0001577
0.0011220 627.1164710 0.0017582 0.0001782
0.0011482 628.2150997 0.0021330 0.0001972
0.0011749 629.3486566 0.0025158 0.0002152
0.0012023 630.5180953 0.0029068 0.0002325
0.0012303 631.7244292 0.0033061 0.0002493
0.0012589 632.9690887 0.0037140 0.0002655
0.0012882 634.2529679 0.0041305 0.0002814
0.0013183 635.5773782 0.0045559 0.0002971
0.0013490 636.9433923 0.0049902 0.0003125
0.0013804 638.3523812 0.0054337 0.0003278
0.0014125 639.8054178 0.0058865 0.0003430
0.0014454 641.3039325 0.0063488 0.0003580
0.0014791 642.8490579 0.0068207 0.0003730
0.0015136 644.4420457 0.0073025 0.0003880
0.0015488 646.0842667 0.0077942 0.0004029
0.0015849 647.7768534 0.0082961 0.0004179
0.0016218 649.5211768 0.0088083 0.0004329
0.0016596 651.3182501 0.0093311 0.0004479
0.0016982 653.1695634 0.0098645 0.0004629
0.0017378 655.0763088 0.0104087 0.0004780
0.0017783 657.0393208 0.0109640 0.0004932
0.0018197 659.0599703 0.0115305 0.0005084
0.0018621 661.1390917 0.0121084 0.0005237
0.0019055 663.2777580 0.0126979 0.0005392
0.0019498 665.4769227 0.0132992 0.0005547
0.0019953 667.7370031 0.0139124 0.0005703
0.0020417 670.0651518 0.0145377 0.0005860
0.0020893 672.4586269 0.0151753 0.0006019
0.0021380 674.9168325 0.0158255 0.0006179
0.0021878 677.4411393 0.0164883 0.0006340
0.0022387 680.0330971 0.0171640 0.0006502
0.0022909 682.6940769 0.0178528 0.0006665
0.0023442 685.4255091 0.0185549 0.0006830
0.0023988 688.2288838 0.0192704 0.0006997
0.0024547 691.1053932 0.0199996 0.0007164
0.0025119 694.0562889 0.0207426 0.0007333
0.0025704 697.0829417 0.0214997 0.0007504
0.0026303 700.1862459 0.0222710 0.0007676
0.0026915 703.3673339 0.0230567 0.0007850
0.0027542 706.6269208 0.0238570 0.0008025
0.0028184 709.9659009 0.0246722 0.0008202
0.0028840 713.3845125 0.0255024 0.0008380
0.0029512 716.8833516 0.0263479 0.0008560
0.0030200 720.4568750 0.0272087 0.0008741
0.0030903 724.1327989 0.0280852 0.0008924
0.0031623 727.8915729 0.0289776 0.0009108
0.0032359 731.7349851 0.0298859 0.0009294
0.0033113 735.6642278 0.0308105 0.0009482
0.0033884 739.6808505 0.0317515 0.0009671
0.0034674 743.7862242 0.0327092 0.0009862
0.0035481 747.9819582 0.0336838 0.0010054
0.0036308 752.2692446 0.0346754 0.0010248
0.0037154 756.6493351 0.0356842 0.0010444
0.0038019 761.1237794 0.0367106 0.0010641
0.0038905 765.6937695 0.0377546 0.0010840
0.0039811 770.3605573 0.0388165 0.0011040
0.0040738 775.1253347 0.0398965 0.0011242
0.0041687 779.9891746 0.0409949 0.0011446
0.0042658 784.9532096 0.0421117 0.0011651
0.0043652 790.0185125 0.0432473 0.0011857
0.0044668 795.1856794 0.0444019 0.0012065
0.0045709 800.4561407 0.0455756 0.0012275
0.0046774 805.8302541 0.0467687 0.0012486
0.0047863 811.3089137 0.0479814 0.0012698
0.0048978 816.8925962 0.0492139 0.0012913
0.0050119 822.5817786 0.0504664 0.0013128
0.0051286 828.3771164 0.0517393 0.0013345
0.0052481 834.2921400 0.0530325 0.0013563
0.0053703 840.3098023 0.0543465 0.0013783
0.0054954 846.4406534 0.0556814 0.0014005
0.0056234 852.6854682 0.0570375 0.0014227
0.0057544 859.0449023 0.0584149 0.0014451
0.0058884 865.5200286 0.0598139 0.0014677
0.0060256 872.1114431 0.0612347 0.0014903
0.0061660 878.8200995 0.0626776 0.0015132
0.0063096 885.6470706 0.0641427 0.0015361
0.0064565 892.5931314 0.0656304 0.0015592
0.0066069 899.6595932 0.0671408 0.0015824
0.0067608 906.8480652 0.0686742 0.0016057
0.0069183 914.1600375 0.0702309 0.0016291
0.0070795 921.5972983 0.0718110 0.0016527
0.0072444 929.1626491 0.0734148 0.0016764
0.0074131 936.8600236 0.0750425 0.0017002
0.0075858 944.6701101 0.0766944 0.0017241
0.0077625 952.6137105 0.0783708 0.0017482
0.0079433 960.6910036 0.0800718 0.0017723
0.0081283 968.9022278 0.0817978 0.0017966
0.0083176 977.2472640 0.0835489 0.0018210
0.0085114 985.7265889 0.0853255 0.0018454
0.0087096 994.3403814 0.0871277 0.0018700
