#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 421.4798180 0.0000000 0.0000000
0.0010233 422.3526354 0.0003865 0.0001089
0.0010471 423.2508144 0.0007811 0.0001556
0.0010715 424.1751299 0.0011840 0.0001924
0.0010965 425.1263569 0.0015955 0.0002244
0.0011220 426.1052105 0.0020155 0.0002534
0.0011482 427.1126146 0.0024444 0.0002803
0.0011749 428.1491653 0.0028821 0.0003058
0.0012023 429.2156672 0.0033290 0.0003302
0.0012303 430.3129846 0.0037851 0.0003537
0.0012589 431.4421009 0.0042507 0.0003766
0.0012882 432.6035527 0.0047258 0.0003989
0.0013183 433.7983829 0.0052107 0.0004208
0.0013490 435.0273069 0.0057055 0.0004424
0.0013804 436.2911888 0.0062104 0.0004638
0.0014125 437.5909526 0.0067255 0.0004849
0.0014454 438.9273135 0.0072510 0.0005059
0.0014791 440.3009868 0.0077871 0.0005267
0.0015136 441.7128665 0.0083340 0.0005475
0.0015488 443.1639660 0.0088918 0.0005682
0.0015849 444.6546129 0.0094607 0.0005888
0.0016218 446.1857611 0.0100408 0.0006095
0.0016596 447.7582449 0.0106325 0.0006302
0.0016982 449.3729585 0.0112357 0.0006508
0.0017378 451.0307959 0.0118508 0.0006716
0.0017783 452.7325021 0.0124778 0.0006924
0.0018197 454.4787924 0.0131170 0.0007132
0.0018621 456.2705311 0.0137686 0.0007341
0.0019055 458.1082546 0.0144327 0.0007552
0.0019498 459.9926782 0.0151095 0.0007763
0.0019953 461.9249939 0.0157992 0.0007975
0.0020417 463.9060064 0.0165020 0.0008188
0.0020893 465.9360734 0.0172180 0.0008402
0.0021380 468.0161485 0.0179475 0.0008618
0.0021878 470.1471258 0.0186907 0.0008835
0.0022387 472.3296310 0.0194477 0.0009053
0.0022909 474.5647372 0.0202187 0.0009273
0.0023442 476.8528317 0.0210039 0.0009494
0.0023988 479.1948086 0.0218035 0.0009717
0.0024547 481.5911150 0.0226177 0.0009941
0.0025119 484.0431216 0.0234466 0.0010166
0.0025704 486.5512459 0.0242906 0.0010393
0.0026303 489.1162327 0.0251497 0.0010622
0.0026915 491.7388869 0.0260242 0.0010852
0.0027542 494.4199831 0.0269142 0.0011084
0.0028184 497.1602964 0.0278200 0.0011317
0.0028840 499.9606313 0.0287417 0.0011552
0.0029512 502.8216435 0.0296796 0.0011789
0.0030200 505.7435714 0.0306338 0.0012027
0.0030903 508.7281436 0.0316046 0.0012267
0.0031623 511.7753600 0.0325921 0.0012509
0.0032359 514.8862935 0.0335966 0.0012752
0.0033113 518.0615999 0.0346181 0.0012997
0.0033884 521.3020538 0.0356571 0.0013243
0.0034674 524.6084302 0.0367136 0.0013491
0.0035481 527.9816232 0.0377878 0.0013741
0.0036308 531.4221096 0.0388800 0.0013993
0.0037154 534.9309027 0.0399903 0.0014246
0.0038019 538.5083600 0.0411190 0.0014500
0.0038905 542.1553757 0.0422662 0.0014757
0.0039811 545.8726054 0.0434323 0.0015015
0.0040738 549.6611816 0.0446173 0.0015274
0.0041687 553.5217004 0.0458215 0.0015535
0.0042658 557.4549961 0.0470452 0.0015798
0.0043652 561.4616649 0.0482884 0.0016062
0.0044668 565.5423624 0.0495515 0.0016328
0.0045709 569.6979230 0.0508346 0.0016595
0.0046774 573.9293004 0.0521380 0.0016864
0.0047863 578.2370908 0.0534618 0.0017134
0.0048978 582.6225456 0.0548064 0.0017406
0.0050119 587.0852478 0.0561718 0.0017679
0.0051286 591.6271643 0.0575584 0.0017954
0.0052481 596.2488315 0.0589663 0.0018230
0.0053703 600.9506667 0.0603958 0.0018507
0.0054954 605.7335638 0.0618471 0.0018786
0.0056234 610.5982382 0.0633205 0.0019066
0.0057544 615.5455244 0.0648161 0.0019348
0.0058884 620.5781641 0.0663341 0.0019631
0.0060256 625.6930578 0.0678749 0.0019915
0.0061660 630.8935436 0.0694387 0.0020201
0.0063096 636.1800981 0.0710256 0.0020488
0.0064565 641.5533770 0.0726359 0.0020776
0.0066069 647.0145725 0.0742699 0.0021065
0.0067608 652.5648766 0.0759277 0.0021355
0.0069183 658.2041700 0.0776098 0.0021647
0.0070795 663.9331086 0.0793161 0.0021940
0.0072444 669.7535995 0.0810472 0.0022234
0.0074131 675.6658812 0.0828030 0.0022529
0.0075858 681.6709670 0.0845840 0.0022825
0.0077625 687.7693933 0.0863904 0.0023122
0.0079433 693.9628291 0.0882224 0.0023421
0.0081283 700.2523472 0.0900803 0.0023720
0.0083176 706.6369344 0.0919644 0.0024020
0.0085114 713.1193920 0.0938749 0.0024322
0.0087096 719.7001373 0.0958120 0.0024624
0.0089125 726.3800048 0.0977761 0.0024927
0.0091201 733.1600076 0.0997674 0.0025232
0.0093325 740.0412188 0.1017862 0.0025537
0.0095499 747.0238767 0.1038328 0.0025843
0.0097724 754.1099483 0.1059074 0.0026150
0.0100000 761.2999700 0.1080103 0.0026457
0.0102329 768.5948955 0.1101418 0.0026766
0.0104713 775.9962745 0.1123023 0.0027075
0.0107152 783.5041665 0.1144919 0.0027386
0.0109648 791.1202406 0.1167110 0.0027697
0.0112202 798.8450928 0.1189598 0.0028008
0.0114815 806.6800939 0.1212388 0.0028321
0.0117490 814.6263765 0.1235481 0.0028634
0.0120226 822.6846558 0.1258882 0.0028948
0.0123027 830.8570180 0.1282592 0.0029262
0.0125893 839.1426285 0.1306616 0.0029577
0.0128825 847.7666730 0.1330955 0.0029893
0.0131826 855.6823785 0.1355619 0.0030210
0.0134896 864.2394872 0.1380614 0.0030527
0.0138038 873.0695246 0.1405935 0.0030845
0.0141254 881.9397353 0.1431585 0.0031164
0.0144544 890.9085317 0.1457567 0.0031483
0.0147911 900.0826058 0.1483886 0.0031802
0.0151356 910.0391666 0.1510536 0.0032122
0.0154882 920.5349687 0.1537499 0.0032441
0.0158489 931.2342603 0.1564774 0.0032760
0.0162181 942.1422270 0.1592363 0.0033078
0.0165959 953.2592263 0.1620266 0.0033395
0.0169824 964.5961660 0.1648485 0.0033711
0.0173780 976.1557282 0.1677020 0.0034026
0.0177828 987.9436946 0.1705874 0.0034340
0.0181970 999.9615551 0.1735045 0.0034653
0.0186209 1012.2217077 0.1764536 0.0034965
0.0190546 1024.7250463 0.1794347 0.0035276
0.0194984 1037.4770545 0.1824479 0.0035586
0.0199526 1050.4854810 0.1854932 0.0035894
0.0204174 1063.7550940 0.1885708 0.0036201
0.0208930 1077.2899467 0.1916806 0.0036506
0.0213796 1091.0971916 0.1948227 0.0036810
0.0218776 1105.1832660 0.1979972 0.0037113
0.0223872 1119.5553224 0.2012040 0.0037413
0.0229087 1134.2209902 0.2044433 0.0037713
0.0234423 1149.1821767 0.2077150 0.0038010
0.0239883 1164.4304181 0.2110192 0.0038306
0.0245471 1180.0768170 0.2143558 0.0038600
0.0251189 1195.2608048 0.2177254 0.0038892
0.0257040 1205.4804596 0.2211380 0.0039185
0.0263027 1216.3266761 0.2245991 0.0039480
0.0269153 1227.3412154 0.2281092 0.0039777
0.0275423 1238.5324223 0.2316686 0.0040076
0.0281838 1249.8995814 0.2352780 0.0040376
0.0288403 1261.4450770 0.2389377 0.0040679
0.0295121 1273.1716508 0.2426483 0.0040983
0.0301995 1285.0751305 0.2464102 0.0041289
0.0309030 1297.1604036 0.2502240 0.0041596
0.0316228 1309.4360533 0.2540901 0.0041905
0.0323594 1321.8945694 0.2580092 0.0042216
0.0331131 1334.5435812 0.2619815 0.0042528
0.0338844 1347.3711679 0.2660079 0.0042842
0.0346737 1360.3878197 0.2700887 0.0043156
0.0354813 1373.6009278 0.2742245 0.0043473
0.0363078 1387.0044123 0.2784158 0.0043790
0.0371535 1400.5882599 0.2826632 0.0044109
0.0380189 1414.3702325 0.2869673 0.0044428
0.0389045 1428.3446082 0.2913287 0.0044749
0.0398107 1442.5104333 0.2957478 0.0045071
0.0407380 1456.8677078 0.3002254 0.0045395
0.0416869 1471.4245379 0.3047621 0.0045719
0.0426580 1486.1593468 0.3093586 0.0046044
0.0436516 1501.0872740 0.3140153 0.0046370
0.0446684 1516.2062930 0.3187330 0.0046696
0.0457088 1531.5156885 0.3235125 0.0047024
0.0467735 1547.0135532 0.3283543 0.0047353
0.0478630 1562.6890391 0.3332593 0.0047682
0.0489779 1578.5520405 0.3382281 0.0048012
0.0501187 1594.5977890 0.3432615 0.0048343
0.0512861 1610.8228277 0.3483603 0.0048674
0.0524807 1627.2197655 0.3535253 0.0049007
0.0537032 1643.7908674 0.3587573 0.0049340
0.0549541 1660.5307690 0.3640572 0.0049673
0.0562341 1677.4333907 0.3694259 0.0050008
0.0575440 1694.4946794 0.3748644 0.0050343
0.0588844 1711.7147542 0.3803735 0.0050678
0.0602560 1729.0861051 0.3859542 0.0051015
0.0616595 1746.5997913 0.3916076 0.0051352
0.0630957 1764.2492564 0.3973348 0.0051689
0.0645654 1782.0405800 0.4031367 0.0052028
0.0660693 1799.9512316 0.4090147 0.0052367
0.0676083 1817.9794232 0.4149698 0.0052706
0.0691831 1836.1156180 0.4210033 0.0053047
0.0707946 1854.3503985 0.4271166 0.0053388
0.0724436 1872.6805461 0.4333108 0.0053730
0.0741310 1891.0929478 0.4395874 0.0054073
0.0758578 1909.5784245 0.4459479 0.0054417
0.0776247 1928.1198101 0.4523937 0.0054762
0.0794328 1946.7147205 0.4589265 0.0055107
0.0812831 1965.3445591 0.4655478 0.0055454
0.0831764 1984.0015773 0.4722594 0.0055802
0.0851138 2002.6711125 0.4790629 0.0056151
0.0870964 2021.3377866 0.4859604 0.0056501
0.0891251 2039.9884868 0.4929537 0.0056853
0.0912011 2058.6062853 0.5000448 0.0057205
0.0933254 2077.1792613 0.5072357 0.0057560
0.0954993 2095.6864340 0.5145290 0.0057916
0.0977237 2114.1189820 0.5219265 0.0058273
0.1000000 2132.4535403 0.5294307 0.0058633
0.1023293 2150.6581609 0.5370442 0.0058994
0.1047129 2168.7514405 0.5447696 0.0059357
0.1071519 2186.6885566 0.5526096 0.0059723
0.1096478 2204.4492435 0.5605670 0.0060090
0.1122018 2222.0149048 0.5686446 0.0060461
0.1148154 2239.3688511 0.5768458 0.0060833
0.1174898 2256.4896250 0.5851737 0.0061209
0.1202264 2273.3669744 0.5936316 0.0061587
0.1230269 2289.9596531 0.6022229 0.0061969
0.1258925 2306.2593165 0.6109515 0.0062354
0.1288250 2322.2425996 0.6198211 0.0062742
0.1318257 2337.8718325 0.6288357 0.0063134
0.1348963 2353.1453461 0.6379995 0.0063530
0.1380384 2368.0354841 0.6473169 0.0063930
0.1412538 2382.5193584 0.6567924 0.0064334
0.1445440 2396.5583453 0.6664306 0.0064744
0.1479108 2410.1572132 0.6762366 0.0065158
0.1513561 2423.2804378 0.6862157 0.0065577
0.1548817 2435.9048925 0.6963729 0.0066002
0.1584893 2448.0193719 0.7067143 0.0066433
0.1621810 2459.5866826 0.7172453 0.0066870
0.1659587 2470.5901356 0.7279723 0.0067313
0.1698244 2481.0275850 0.7389017 0.0067763
0.1737801 2490.8573076 0.7500400 0.0068221
0.1778279 2500.0745353 0.7613943 0.0068687
0.1819701 2508.6573335 0.7729717 0.0069160
0.1862087 2516.6026028 0.7847800 0.0069642
0.1905461 2523.8664744 0.7968267 0.0070133
