#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 284.3044248 0.0000000 0.0000000
0.0010233 286.5209618 0.0009793 0.0003002
0.0010471 288.7578843 0.0019737 0.0004269
0.0010715 291.0144770 0.0029834 0.0005258
0.0010965 293.2898756 0.0040086 0.0006106
0.0011220 295.5835437 0.0050495 0.0006865
0.0011482 297.8949747 0.0061064 0.0007562
0.0011749 300.2238406 0.0071795 0.0008214
0.0012023 302.5700222 0.0082691 0.0008831
0.0012303 304.9338177 0.0093754 0.0009420
0.0012589 307.3157932 0.0104987 0.0009986
0.0012882 309.7170516 0.0116393 0.0010534
0.0013183 312.1390232 0.0127974 0.0011065
0.0013490 314.5840031 0.0139733 0.0011583
0.0013804 317.0475207 0.0151672 0.0012090
0.0014125 319.5276685 0.0163794 0.0012587
0.0014454 322.0302584 0.0176102 0.0013075
0.0014791 324.5548133 0.0188599 0.0013556
0.0015136 327.1007372 0.0201288 0.0014031
0.0015488 329.6680003 0.0214171 0.0014499
0.0015849 332.2565133 0.0227252 0.0014964
0.0016218 334.8667529 0.0240533 0.0015423
0.0016596 337.4994046 0.0254017 0.0015880
0.0016982 340.1556607 0.0267708 0.0016333
0.0017378 342.8375476 0.0281608 0.0016783
0.0017783 345.5405950 0.0295720 0.0017231
0.0018197 348.2653988 0.0310049 0.0017677
0.0018621 351.0170256 0.0324596 0.0018122
0.0019055 353.7947006 0.0339366 0.0018565
0.0019498 356.5981556 0.0354360 0.0019007
0.0019953 359.4268838 0.0369583 0.0019449
0.0020417 362.2809150 0.0385039 0.0019889
0.0020893 365.1605176 0.0400729 0.0020330
0.0021380 368.0662279 0.0416658 0.0020770
0.0021878 370.9992977 0.0432830 0.0021211
0.0022387 373.9613663 0.0449247 0.0021651
0.0022909 376.9546985 0.0465914 0.0022092
0.0023442 379.9742279 0.0482833 0.0022533
0.0023988 383.0215043 0.0500008 0.0022976
0.0024547 386.0999848 0.0517444 0.0023418
0.0025119 389.2093715 0.0535144 0.0023862
0.0025704 392.3494854 0.0553111 0.0024307
0.0026303 395.5202968 0.0571349 0.0024753
0.0026915 398.7222825 0.0589862 0.0025200
0.0027542 401.9563665 0.0608654 0.0025649
0.0028184 405.2238898 0.0627729 0.0026099
0.0028840 408.5268196 0.0647091 0.0026550
0.0029512 411.8617582 0.0666743 0.0027003
0.0030200 415.2292123 0.0686690 0.0027458
0.0030903 418.6341590 0.0706936 0.0027915
0.0031623 422.0759129 0.0727485 0.0028373
0.0032359 425.5543250 0.0748341 0.0028833
0.0033113 429.0690674 0.0769508 0.0029296
0.0033884 432.6206170 0.0790991 0.0029760
0.0034674 436.2093910 0.0812793 0.0030226
0.0035481 439.8366113 0.0834919 0.0030695
0.0036308 443.5039172 0.0857374 0.0031165
0.0037154 447.2135737 0.0880161 0.0031638
0.0038019 450.9641800 0.0903286 0.0032113
0.0038905 454.7529645 0.0926752 0.0032591
0.0039811 458.5857090 0.0950564 0.0033070
0.0040738 462.4622346 0.0974728 0.0033553
0.0041687 466.3823029 0.0999246 0.0034037
0.0042658 470.3461823 0.1024124 0.0034524
0.0043652 474.3544984 0.1049367 0.0035014
0.0044668 478.4083244 0.1074980 0.0035506
0.0045709 482.5093588 0.1100966 0.0036001
0.0046774 486.6600458 0.1127332 0.0036498
0.0047863 490.8543946 0.1154081 0.0036998
0.0048978 495.0979787 0.1181219 0.0037501
0.0050119 499.3932120 0.1208751 0.0038006
0.0051286 503.7397071 0.1236682 0.0038514
0.0052481 508.1373746 0.1265016 0.0039025
0.0053703 512.5862443 0.1293758 0.0039538
0.0054954 517.0868527 0.1322915 0.0040054
0.0056234 521.6402131 0.1352490 0.0040573
0.0057544 526.2479945 0.1382490 0.0041095
0.0058884 530.9127003 0.1412920 0.0041619
0.0060256 535.6377877 0.1443784 0.0042147
0.0061660 540.4125276 0.1475088 0.0042677
0.0063096 545.2478280 0.1506838 0.0043210
0.0064565 550.1430331 0.1539039 0.0043745
0.0066069 555.0980238 0.1571697 0.0044284
0.0067608 560.1130386 0.1604815 0.0044825
0.0069183 565.1888522 0.1638402 0.0045370
0.0070795 570.3266569 0.1672462 0.0045917
0.0072444 575.5285984 0.1707001 0.0046467
0.0074131 580.7990281 0.1742024 0.0047020
0.0075858 586.1256670 0.1777537 0.0047575
0.0077625 591.5219861 0.1813547 0.0048134
0.0079433 596.9874491 0.1850059 0.0048695
0.0081283 602.5214599 0.1887079 0.0049259
0.0083176 608.1243165 0.1924612 0.0049826
0.0085114 613.7959593 0.1962665 0.0050396
0.0087096 619.5375805 0.2001245 0.0050969
0.0089125 625.3509085 0.2040356 0.0051544
0.0091201 631.2383278 0.2080007 0.0052122
0.0093325 637.2035339 0.2120201 0.0052703
0.0095499 643.2377050 0.2160946 0.0053287
0.0097724 649.3501398 0.2202249 0.0053874
0.0100000 655.5408979 0.2244115 0.0054463
0.0102329 661.8100388 0.2286551 0.0055055
0.0104713 668.1575031 0.2329563 0.0055650
0.0107152 674.5847211 0.2373159 0.0056248
0.0109648 681.0928852 0.2417345 0.0056848
0.0112202 687.6849160 0.2462126 0.0057451
0.0114815 694.3633169 0.2507511 0.0058057
