#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 479.7770013 0.0000000 0.0000000
0.0010233 481.9754796 0.0007750 0.0001796
0.0010471 484.1832568 0.0015645 0.0002560
0.0010715 486.3989617 0.0023686 0.0003161
0.0010965 488.6218196 0.0031878 0.0003679
0.0011220 490.8510257 0.0040222 0.0004147
0.0011482 493.0856262 0.0048721 0.0004581
0.0011749 495.3249060 0.0057380 0.0004988
0.0012023 497.5685669 0.0066200 0.0005377
0.0012303 499.8161918 0.0075185 0.0005751
0.0012589 502.0678401 0.0084337 0.0006113
0.0012882 504.3238696 0.0093662 0.0006466
0.0013183 506.5850254 0.0103160 0.0006811
0.0013490 508.8523208 0.0112837 0.0007149
0.0013804 511.1273651 0.0122695 0.0007483
0.0014125 513.4123043 0.0132737 0.0007813
0.0014454 515.7100592 0.0142968 0.0008139
0.0014791 518.0242657 0.0153390 0.0008463
0.0015136 520.3266104 0.0164008 0.0008784
0.0015488 522.6448106 0.0174825 0.0009105
0.0015849 524.9750516 0.0185844 0.0009424
0.0016218 527.3167373 0.0197071 0.0009743
0.0016596 529.6696888 0.0208507 0.0010061
0.0016982 532.0339062 0.0220159 0.0010380
0.0017378 534.4094490 0.0232028 0.0010699
0.0017783 536.7968537 0.0244120 0.0011018
0.0018197 539.1968357 0.0256439 0.0011339
0.0018621 541.6106466 0.0268988 0.0011661
0.0019055 544.0397170 0.0281773 0.0011984
0.0019498 546.4863717 0.0294797 0.0012309
0.0019953 548.9495974 0.0308064 0.0012635
0.0020417 551.4215853 0.0321580 0.0012964
0.0020893 553.9137803 0.0335348 0.0013294
0.0021380 556.4255861 0.0349373 0.0013627
0.0021878 558.9569433 0.0363661 0.0013962
0.0022387 561.5079113 0.0378214 0.0014299
0.0022909 564.0783115 0.0393039 0.0014640
0.0023442 566.6688590 0.0408140 0.0014983
0.0023988 569.2799711 0.0423523 0.0015329
0.0024547 571.9125420 0.0439191 0.0015678
0.0025119 574.5679427 0.0455150 0.0016030
0.0025704 577.2479612 0.0471405 0.0016386
0.0026303 579.9546244 0.0487961 0.0016744
0.0026915 582.6905549 0.0504824 0.0017107
0.0027542 585.4458579 0.0521998 0.0017472
0.0028184 588.2304283 0.0539490 0.0017842
0.0028840 591.0444448 0.0557303 0.0018215
0.0029512 593.8881459 0.0575445 0.0018592
0.0030200 596.7620681 0.0593920 0.0018973
0.0030903 599.6666882 0.0612735 0.0019358
0.0031623 602.6029004 0.0631894 0.0019747
0.0032359 605.5718372 0.0651403 0.0020140
0.0033113 608.5749291 0.0671269 0.0020537
0.0033884 611.6142624 0.0691497 0.0020939
0.0034674 614.6925792 0.0712092 0.0021345
0.0035481 617.8001037 0.0733062 0.0021755
0.0036308 620.9482209 0.0754411 0.0022170
0.0037154 624.1371694 0.0776147 0.0022589
0.0038019 627.3673664 0.0798275 0.0023013
0.0038905 630.6389907 0.0820802 0.0023442
0.0039811 633.9526384 0.0843733 0.0023875
0.0040738 637.3090843 0.0867075 0.0024313
0.0041687 640.7092822 0.0890834 0.0024756
0.0042658 644.1543051 0.0915018 0.0025204
0.0043652 647.6457027 0.0939631 0.0025657
0.0044668 651.1855017 0.0964682 0.0026115
0.0045709 654.7759672 0.0990177 0.0026577
0.0046774 658.4199007 0.1016121 0.0027045
0.0047863 662.1080631 0.1042522 0.0027518
0.0048978 665.8508261 0.1069388 0.0027996
0.0050119 669.6482493 0.1096723 0.0028479
0.0051286 673.5008691 0.1124537 0.0028967
0.0052481 677.4092221 0.1152834 0.0029461
0.0053703 681.3744407 0.1181623 0.0029959
0.0054954 685.3974788 0.1210910 0.0030463
0.0056234 689.4799456 0.1240703 0.0030973
0.0057544 693.6233911 0.1271009 0.0031487
0.0058884 697.8299014 0.1301834 0.0032007
0.0060256 702.1012052 0.1333186 0.0032532
0.0061660 706.4315802 0.1365072 0.0033063
0.0063096 710.8298483 0.1397501 0.0033598
0.0064565 715.2964267 0.1430478 0.0034140
0.0066069 719.8319711 0.1464012 0.0034686
0.0067608 724.4368988 0.1498110 0.0035238
0.0069183 729.1122231 0.1532779 0.0035796
0.0070795 733.8587786 0.1568028 0.0036358
0.0072444 738.6778169 0.1603863 0.0036927
0.0074131 743.5710071 0.1640292 0.0037500
0.0075858 748.5401374 0.1677324 0.0038079
0.0077625 753.5876518 0.1714966 0.0038663
0.0079433 758.7161133 0.1753225 0.0039253
0.0081283 763.9202765 0.1792109 0.0039848
0.0083176 769.2054464 0.1831628 0.0040448
0.0085114 774.5741863 0.1871788 0.0041054
0.0087096 780.0269133 0.1912596 0.0041665
0.0089125 785.5644620 0.1954063 0.0042281
0.0091201 791.1879052 0.1996195 0.0042903
0.0093325 796.8981372 0.2039000 0.0043529
0.0095499 802.6972441 0.2082488 0.0044161
0.0097724 808.5866566 0.2126666 0.0044798
0.0100000 814.5694146 0.2171542 0.0045441
0.0102329 820.6451606 0.2217125 0.0046088
0.0104713 826.8108544 0.2263422 0.0046741
0.0107152 833.0744240 0.2310444 0.0047398
