#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 139.9850577 0.0000000 0.0000000
0.0010233 140.8800662 0.0011611 0.0005310
0.0010471 141.7833304 0.0023416 0.0007559
0.0010715 142.6946267 0.0035419 0.0009318
0.0010965 143.6137316 0.0047624 0.0010830
0.0011220 144.5404514 0.0060032 0.0012188
0.0011482 145.4746520 0.0072649 0.0013440
0.0011749 146.4162439 0.0085476 0.0014613
0.0012023 147.3652718 0.0098517 0.0015726
0.0012303 148.3218253 0.0111777 0.0016791
0.0012589 149.2860979 0.0125257 0.0017817
0.0012882 150.2584622 0.0138962 0.0018812
0.0013183 151.2394845 0.0152896 0.0019780
0.0013490 152.2298355 0.0167062 0.0020727
0.0013804 153.2305731 0.0181463 0.0021654
0.0014125 154.2391490 0.0196103 0.0022566
0.0014454 155.2558316 0.0210987 0.0023464
0.0014791 156.2826922 0.0226117 0.0024350
0.0015136 157.3196415 0.0241497 0.0025227
0.0015488 158.3665749 0.0257132 0.0026095
0.0015849 159.4235523 0.0273025 0.0026956
0.0016218 160.4906332 0.0289181 0.0027811
0.0016596 161.5680708 0.0305602 0.0028661
0.0016982 162.6561783 0.0322294 0.0029507
0.0017378 163.7554622 0.0339260 0.0030349
0.0017783 164.8665782 0.0356505 0.0031188
0.0018197 165.9903161 0.0374032 0.0032026
0.0018621 167.1225481 0.0391846 0.0032861
0.0019055 168.2678788 0.0409951 0.0033696
0.0019498 169.4262339 0.0428352 0.0034530
0.0019953 170.5974642 0.0447052 0.0035364
0.0020417 171.7815250 0.0466056 0.0036199
0.0020893 172.9785207 0.0485368 0.0037034
0.0021380 174.1884661 0.0504993 0.0037870
0.0021878 175.4115849 0.0524936 0.0038707
0.0022387 176.6482941 0.0545201 0.0039545
0.0022909 177.8990261 0.0565791 0.0040386
0.0023442 179.1645258 0.0586714 0.0041228
0.0023988 180.4457024 0.0607972 0.0042073
0.0024547 181.7421385 0.0629570 0.0042920
0.0025119 183.0519863 0.0651513 0.0043770
0.0025704 184.3781219 0.0673807 0.0044623
0.0026303 185.7204708 0.0696455 0.0045479
0.0026915 187.0790926 0.0719463 0.0046338
0.0027542 188.4540618 0.0742835 0.0047200
0.0028184 189.8455869 0.0766577 0.0048066
0.0028840 191.2540109 0.0790694 0.0048936
0.0029512 192.6798551 0.0815190 0.0049809
0.0030200 194.1237158 0.0840070 0.0050686
0.0030903 195.5865764 0.0865341 0.0051567
0.0031623 197.0661570 0.0891006 0.0052452
0.0032359 198.5643500 0.0917071 0.0053341
0.0033113 200.0824371 0.0943542 0.0054234
0.0033884 201.6203437 0.0970423 0.0055132
0.0034674 203.1780251 0.0997720 0.0056034
0.0035481 204.7556304 0.1025438 0.0056940
0.0036308 206.3532788 0.1053583 0.0057851
0.0037154 207.9712533 0.1082159 0.0058766
0.0038019 209.6100906 0.1111173 0.0059686
0.0038905 211.2703866 0.1140631 0.0060610
0.0039811 212.9529907 0.1170537 0.0061539
0.0040738 214.6591845 0.1200897 0.0062473
0.0041687 216.3859132 0.1231717 0.0063411
0.0042658 218.1355759 0.1263002 0.0064355
0.0043652 219.9090668 0.1294759 0.0065302
0.0044668 221.7063411 0.1326992 0.0066255
0.0045709 223.5275479 0.1359709 0.0067213
0.0046774 225.3729255 0.1392914 0.0068175
0.0047863 227.2427423 0.1426613 0.0069142
0.0048978 229.1375645 0.1460813 0.0070114
0.0050119 231.0581521 0.1495520 0.0071090
0.0051286 233.0055333 0.1530739 0.0072072
0.0052481 234.9775027 0.1566476 0.0073058
0.0053703 236.9760868 0.1602738 0.0074049
0.0054954 239.0025525 0.1639531 0.0075045
0.0056234 241.0568549 0.1676861 0.0076045
0.0057544 243.1389493 0.1714734 0.0077050
0.0058884 245.2489401 0.1753157 0.0078060
0.0060256 247.3871403 0.1792135 0.0079075
0.0061660 249.5539074 0.1831677 0.0080094
0.0063096 251.7500163 0.1871787 0.0081118
0.0064565 253.9763314 0.1912472 0.0082147
0.0066069 256.2341492 0.1953739 0.0083180
0.0067608 258.5213535 0.1995595 0.0084218
0.0069183 260.8391663 0.2038045 0.0085260
0.0070795 263.1891374 0.2081097 0.0086307
0.0072444 265.5712371 0.2124759 0.0087358
0.0074131 267.9855248 0.2169035 0.0088414
0.0075858 270.4322391 0.2213933 0.0089474
0.0077625 272.9118867 0.2259462 0.0090538
0.0079433 275.4250635 0.2305626 0.0091607
0.0081283 277.9729320 0.2352434 0.0092679
0.0083176 280.5561477 0.2399891 0.0093756
0.0085114 283.1715516 0.2448007 0.0094838
0.0087096 285.8235844 0.2496787 0.0095923
0.0089125 288.5121567 0.2546239 0.0097012
0.0091201 291.2370300 0.2596371 0.0098105
0.0093325 293.9983236 0.2647190 0.0099203
0.0095499 296.7962461 0.2698703 0.0100304
0.0097724 299.6312445 0.2750918 0.0101409
0.0100000 302.5042427 0.2803842 0.0102517
0.0102329 305.4163734 0.2857485 0.0103630
0.0104713 308.3694545 0.2911852 0.0104746
0.0107152 311.3591049 0.2966952 0.0105866
0.0109648 314.3892885 0.3022793 0.0106989
0.0112202 317.4605716 0.3079383 0.0108116
0.0114815 320.5727454 0.3136730 0.0109246
0.0117490 323.7260486 0.3194841 0.0110380
0.0120226 326.9208088 0.3253727 0.0111517
0.0123027 330.1579203 0.3313394 0.0112657
0.0125893 333.4385751 0.3373852 0.0113800
0.0128825 336.7634588 0.3435108 0.0114947
0.0131826 340.1294122 0.3497171 0.0116096
0.0134896 343.5413528 0.3560050 0.0117249
0.0138038 346.9988337 0.3623753 0.0118405
0.0141254 350.5017952 0.3688290 0.0119563
0.0144544 354.0500585 0.3753670 0.0120725
0.0147911 357.6443090 0.3819901 0.0121889
0.0151356 361.2849939 0.3886992 0.0123055
0.0154882 364.9735736 0.3954953 0.0124225
0.0158489 368.7119852 0.4023794 0.0125397
0.0162181 372.4976955 0.4093523 0.0126572
0.0165959 376.3321052 0.4164149 0.0127749
0.0169824 380.2170920 0.4235684 0.0128928
0.0173780 384.1524174 0.4308136 0.0130110
0.0177828 388.1381709 0.4381516 0.0131294
0.0181970 392.1748591 0.4455832 0.0132480
0.0186209 396.2634357 0.4531095 0.0133668
0.0190546 400.4057188 0.4607316 0.0134859
0.0194984 404.6003970 0.4684505 0.0136051
0.0199526 408.8486923 0.4762672 0.0137246
0.0204174 413.1519756 0.4841827 0.0138442
0.0208930 417.5100979 0.4921982 0.0139640
0.0213796 421.9233871 0.5003147 0.0140840
0.0218776 426.3925584 0.5085332 0.0142042
0.0223872 430.9191617 0.5168550 0.0143245
0.0229087 435.3268776 0.5252828 0.0144450
0.0234423 439.8437052 0.5338185 0.0145659
0.0239883 444.3104923 0.5424647 0.0146870
0.0245471 448.9133039 0.5512227 0.0148084
0.0251189 453.8830899 0.5600902 0.0149299
0.0257040 459.5051920 0.5690595 0.0150511
0.0263027 465.3745167 0.5781207 0.0151718
0.0269153 471.2671182 0.5872784 0.0152920
0.0275423 477.2795012 0.5965318 0.0154117
