#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 321.8951065 0.0000000 0.0000000
0.0010233 323.3668943 0.0005054 0.0001628
0.0010471 324.8580833 0.0010202 0.0002320
0.0010715 326.3685843 0.0015445 0.0002864
0.0010965 327.8984270 0.0020786 0.0003333
0.0011220 329.4475816 0.0026225 0.0003757
0.0011482 331.0161971 0.0031765 0.0004148
0.0011749 332.6043033 0.0037407 0.0004516
0.0012023 334.2121387 0.0043153 0.0004867
0.0012303 335.8398820 0.0049004 0.0005203
0.0012589 337.4879207 0.0054962 0.0005529
0.0012882 339.1566124 0.0061030 0.0005846
0.0013183 340.8466724 0.0067208 0.0006155
0.0013490 342.5586966 0.0073498 0.0006458
0.0013804 344.2936091 0.0079903 0.0006756
0.0014125 346.0525124 0.0086423 0.0007050
0.0014454 347.8368372 0.0093062 0.0007341
0.0014791 349.6481926 0.0099819 0.0007628
0.0015136 351.4883967 0.0106699 0.0007913
0.0015488 353.3506843 0.0113701 0.0008196
0.0015849 355.2381250 0.0120829 0.0008478
0.0016218 357.1541462 0.0128084 0.0008758
0.0016596 359.0991353 0.0135468 0.0009037
0.0016982 361.0733902 0.0142983 0.0009316
0.0017378 363.0771494 0.0150631 0.0009594
0.0017783 365.1108600 0.0158413 0.0009872
0.0018197 367.1750882 0.0166332 0.0010150
0.0018621 369.2702511 0.0174390 0.0010428
0.0019055 371.3973324 0.0182588 0.0010706
0.0019498 373.5570770 0.0190929 0.0010984
0.0019953 375.7505280 0.0199415 0.0011263
0.0020417 377.9790265 0.0208047 0.0011543
0.0020893 380.2466853 0.0216829 0.0011823
0.0021380 382.5401530 0.0225761 0.0012104
0.0021878 384.8716781 0.0234846 0.0012386
0.0022387 387.2414099 0.0244086 0.0012669
0.0022909 389.6497059 0.0253483 0.0012953
0.0023442 392.0967449 0.0263039 0.0013238
0.0023988 394.5828845 0.0272757 0.0013524
0.0024547 397.1082440 0.0282637 0.0013811
0.0025119 399.6735386 0.0292684 0.0014100
0.0025704 402.2791260 0.0302898 0.0014390
0.0026303 404.9256021 0.0313282 0.0014681
0.0026915 407.6137121 0.0323839 0.0014974
0.0027542 410.3443202 0.0334569 0.0015268
0.0028184 413.1187079 0.0345476 0.0015564
0.0028840 415.9380078 0.0356562 0.0015861
0.0029512 418.8039482 0.0367829 0.0016159
0.0030200 421.7182877 0.0379279 0.0016459
0.0030903 424.6737245 0.0390914 0.0016761
0.0031623 427.6765172 0.0402737 0.0017064
0.0032359 430.7282752 0.0414751 0.0017368
0.0033113 433.8291473 0.0426956 0.0017675
0.0033884 436.9794616 0.0439357 0.0017983
0.0034674 440.1796351 0.0451954 0.0018292
0.0035481 443.4301745 0.0464750 0.0018603
0.0036308 446.7317653 0.0477749 0.0018916
0.0037154 450.0851526 0.0490951 0.0019230
0.0038019 453.4914390 0.0504360 0.0019546
0.0038905 456.9517868 0.0517977 0.0019864
0.0039811 460.4678947 0.0531806 0.0020183
0.0040738 464.0392562 0.0545848 0.0020504
0.0041687 467.6616988 0.0560107 0.0020826
0.0042658 471.3427924 0.0574584 0.0021150
0.0043652 475.0824476 0.0589283 0.0021476
0.0044668 478.8809028 0.0604204 0.0021803
0.0045709 482.7383069 0.0619352 0.0022132
0.0046774 486.6548091 0.0634729 0.0022463
0.0047863 490.6309457 0.0650336 0.0022795
0.0048978 494.6673426 0.0666177 0.0023129
0.0050119 498.7646257 0.0682255 0.0023464
0.0051286 502.9241658 0.0698571 0.0023801
0.0052481 507.1474531 0.0715128 0.0024139
0.0053703 511.4363055 0.0731930 0.0024479
0.0054954 515.7931072 0.0748979 0.0024820
0.0056234 520.2104076 0.0766277 0.0025163
0.0057544 524.6941076 0.0783827 0.0025507
0.0058884 529.2463529 0.0801631 0.0025853
0.0060256 533.8672628 0.0819694 0.0026200
0.0061660 538.5568373 0.0838016 0.0026549
0.0063096 543.3157319 0.0856602 0.0026899
0.0064565 548.1440660 0.0875454 0.0027250
0.0066069 553.0431507 0.0894574 0.0027603
0.0067608 558.0141187 0.0913965 0.0027958
0.0069183 563.0589965 0.0933632 0.0028313
0.0070795 568.1820755 0.0953575 0.0028670
0.0072444 573.3694084 0.0973799 0.0029028
0.0074131 578.6353598 0.0994306 0.0029388
0.0075858 583.9795124 0.1015098 0.0029749
0.0077625 589.4016876 0.1036181 0.0030111
0.0079433 594.9015872 0.1057555 0.0030474
0.0081283 600.4794497 0.1079224 0.0030838
0.0083176 606.1356327 0.1101192 0.0031204
0.0085114 611.8713283 0.1123461 0.0031571
0.0087096 617.6874902 0.1146035 0.0031939
0.0089125 623.5867410 0.1168917 0.0032308
0.0091201 629.5718224 0.1192109 0.0032678
0.0093325 635.6403504 0.1215616 0.0033050
0.0095499 641.7896426 0.1239440 0.0033422
0.0097724 648.0269114 0.1263585 0.0033796
0.0100000 654.3519777 0.1288054 0.0034170
0.0102329 660.7646629 0.1312850 0.0034546
0.0104713 667.2650861 0.1337977 0.0034923
0.0107152 673.8540819 0.1363439 0.0035300
0.0109648 680.5327826 0.1389238 0.0035679
0.0112202 687.3036321 0.1415379 0.0036058
0.0114815 694.1699087 0.1441865 0.0036438
0.0117490 701.1252346 0.1468699 0.0036820
0.0120226 708.1759279 0.1495885 0.0037202
0.0123027 715.3228828 0.1523427 0.0037585
0.0125893 722.5662779 0.1551329 0.0037968
0.0128825 729.9060538 0.1579594 0.0038353
0.0131826 737.3435217 0.1608225 0.0038738
0.0134896 744.8802313 0.1637228 0.0039125
0.0138038 752.5191629 0.1666606 0.0039512
0.0141254 760.2487532 0.1696363 0.0039899
0.0144544 768.1523294 0.1726501 0.0040288
0.0147911 776.0482167 0.1757025 0.0040677
0.0151356 784.0249874 0.1787943 0.0041066
0.0154882 792.1942812 0.1819257 0.0041457
0.0158489 800.6946787 0.1850966 0.0041848
0.0162181 809.6961130 0.1883062 0.0042239
0.0165959 819.1826098 0.1915530 0.0042630
0.0169824 828.8568017 0.1948369 0.0043020
0.0173780 838.7178542 0.1981579 0.0043409
0.0177828 848.7701780 0.2015162 0.0043796
0.0181970 859.0183626 0.2049119 0.0044183
0.0186209 869.4689050 0.2083450 0.0044568
0.0190546 880.1201363 0.2118157 0.0044952
0.0194984 890.9815932 0.2153242 0.0045335
0.0199526 902.0584016 0.2188704 0.0045716
0.0204174 913.3531842 0.2224545 0.0046096
0.0208930 924.8724976 0.2260766 0.0046475
0.0213796 936.6220041 0.2297367 0.0046851
0.0218776 948.6056377 0.2334350 0.0047226
0.0223872 960.8285839 0.2371714 0.0047600
0.0229087 973.2968032 0.2409460 0.0047971
