#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 200.6203307 0.0000000 0.0000000
0.0010233 201.9462599 0.0011572 0.0004431
0.0010471 203.2806504 0.0023336 0.0006307
0.0010715 204.6232043 0.0035295 0.0007774
0.0010965 205.9738025 0.0047452 0.0009035
0.0011220 207.3324300 0.0059811 0.0010167
0.0011482 208.6992060 0.0072375 0.0011211
0.0011749 210.0745328 0.0085148 0.0012189
0.0012023 211.4590061 0.0098132 0.0013116
0.0012303 212.8521047 0.0111332 0.0014004
0.0012589 214.2540370 0.0124751 0.0014860
0.0012882 215.6652947 0.0138392 0.0015690
0.0013183 217.0859225 0.0152260 0.0016498
0.0013490 218.5158905 0.0166359 0.0017287
0.0013804 219.9555116 0.0180691 0.0018061
0.0014125 221.4052177 0.0195261 0.0018822
0.0014454 222.8647856 0.0210073 0.0019572
0.0014791 224.3348556 0.0225130 0.0020312
0.0015136 225.8155023 0.0240437 0.0021045
0.0015488 227.3067853 0.0255998 0.0021771
0.0015849 228.8089280 0.0271817 0.0022491
0.0016218 230.3223625 0.0287898 0.0023206
0.0016596 231.8473270 0.0304246 0.0023917
0.0016982 233.3837024 0.0320864 0.0024626
0.0017378 234.9320995 0.0337757 0.0025332
0.0017783 236.4925481 0.0354930 0.0026036
0.0018197 238.0653013 0.0372387 0.0026739
0.0018621 239.6507913 0.0390132 0.0027441
0.0019055 241.2489286 0.0408171 0.0028142
0.0019498 242.8606071 0.0426507 0.0028844
0.0019953 244.4857075 0.0445146 0.0029546
0.0020417 246.1244384 0.0464092 0.0030249
0.0020893 247.7770531 0.0483350 0.0030954
0.0021380 249.4441326 0.0502925 0.0031659
0.0021878 251.1257214 0.0522822 0.0032367
0.0022387 252.8224901 0.0543046 0.0033077
0.0022909 254.5346322 0.0563602 0.0033788
0.0023442 256.2622669 0.0584495 0.0034503
0.0023988 258.0057517 0.0605731 0.0035220
0.0024547 259.7656229 0.0627314 0.0035940
0.0025119 261.5420891 0.0649250 0.0036664
0.0025704 263.3354184 0.0671544 0.0037390
0.0026303 265.1460578 0.0694202 0.0038120
0.0026915 266.9743646 0.0717230 0.0038854
0.0027542 268.8208455 0.0740632 0.0039592
0.0028184 270.6856494 0.0764414 0.0040334
0.0028840 272.5691636 0.0788583 0.0041080
0.0029512 274.4720734 0.0813143 0.0041830
0.0030200 276.3946468 0.0838101 0.0042585
0.0030903 278.3372117 0.0863462 0.0043344
0.0031623 280.2997084 0.0889233 0.0044108
0.0032359 282.2838054 0.0915419 0.0044877
0.0033113 284.2885791 0.0942026 0.0045651
0.0033884 286.3152211 0.0969060 0.0046429
0.0034674 288.3635231 0.0996529 0.0047213
0.0035481 290.4352725 0.1024436 0.0048002
0.0036308 292.5294862 0.1052790 0.0048796
0.0037154 293.9958022 0.1081617 0.0049596
0.0038019 303.2653294 0.1110602 0.0050380
0.0038905 304.7528882 0.1139746 0.0051146
0.0039811 306.9902894 0.1169373 0.0051917
0.0040738 309.2581991 0.1199468 0.0052695
0.0041687 311.5592987 0.1230038 0.0053479
0.0042658 313.8918007 0.1261088 0.0054268
0.0043652 316.2576118 0.1292624 0.0055064
0.0044668 318.6593240 0.1324653 0.0055865
0.0045709 321.0954775 0.1357179 0.0056672
0.0046774 323.5683068 0.1390210 0.0057485
0.0047863 326.0783184 0.1423752 0.0058304
0.0048978 328.6264358 0.1457809 0.0059129
0.0050119 331.2135231 0.1492388 0.0059960
0.0051286 333.8409507 0.1527496 0.0060796
0.0052481 336.5097616 0.1563137 0.0061638
0.0053703 339.2199555 0.1599318 0.0062486
0.0054954 341.9736778 0.1636045 0.0063339
0.0056234 344.7717029 0.1673323 0.0064198
0.0057544 347.6147460 0.1711160 0.0065062
0.0058884 350.5040584 0.1749559 0.0065932
0.0060256 353.4416660 0.1788528 0.0066807
0.0061660 356.4275986 0.1828072 0.0067687
0.0063096 359.4634950 0.1868196 0.0068573
0.0064565 362.5504573 0.1908907 0.0069463
0.0066069 365.6899158 0.1950210 0.0070359
0.0067608 368.8840453 0.1992111 0.0071259
0.0069183 372.1319520 0.2034615 0.0072165
0.0070795 375.4367345 0.2077727 0.0073074
0.0072444 378.7994653 0.2121454 0.0073989
0.0074131 382.2215746 0.2165801 0.0074908
0.0075858 385.7038368 0.2210772 0.0075831
0.0077625 389.2485760 0.2256374 0.0076758
0.0079433 392.8571031 0.2302611 0.0077690
0.0081283 396.5308779 0.2349489 0.0078625
0.0083176 400.2713603 0.2397012 0.0079564
0.0085114 404.0804868 0.2445186 0.0080507
0.0087096 407.9590620 0.2494015 0.0081453
0.0089125 411.9096778 0.2543505 0.0082402
0.0091201 415.9343603 0.2593659 0.0083355
0.0093325 420.0343904 0.2644483 0.0084310
0.0095499 424.2114367 0.2695981 0.0085269
0.0097724 428.4694021 0.2748157 0.0086230
0.0100000 432.8067373 0.2801015 0.0087193
0.0102329 437.2273156 0.2854560 0.0088159
0.0104713 441.7329840 0.2908796 0.0089127
0.0107152 446.3263346 0.2963727 0.0090096
0.0109648 451.0092444 0.3019357 0.0091068
0.0112202 455.7838586 0.3075688 0.0092041
0.0114815 460.6525904 0.3132725 0.0093015
0.0117490 465.6169891 0.3190470 0.0093990
0.0120226 470.6806298 0.3248929 0.0094966
0.0123027 475.8445554 0.3308102 0.0095943
0.0125893 481.1127880 0.3367993 0.0096920
0.0128825 486.4871748 0.3428606 0.0097897
0.0131826 491.9703972 0.3489942 0.0098875
0.0134896 497.5652558 0.3552005 0.0099852
0.0138038 503.2742531 0.3614796 0.0100829
0.0141254 509.1006071 0.3678316 0.0101805
0.0144544 515.0470287 0.3742570 0.0102780
0.0147911 521.1166762 0.3807557 0.0103754
0.0151356 527.3128864 0.3873280 0.0104727
0.0154882 533.6397113 0.3939741 0.0105698
0.0158489 540.0976274 0.4006940 0.0106667
0.0162181 546.6918190 0.4074878 0.0107634
0.0165959 553.4251461 0.4143557 0.0108599
0.0169824 560.3043421 0.4212975 0.0109562
0.0173780 567.3283941 0.4283136 0.0110521
0.0177828 574.5030818 0.4354039 0.0111478
0.0181970 581.8320403 0.4425682 0.0112431
0.0186209 589.3197384 0.4498066 0.0113381
0.0190546 596.9688576 0.4571192 0.0114327
0.0194984 604.7850586 0.4645058 0.0115269
0.0199526 612.7732277 0.4719664 0.0116207
0.0204174 620.9333647 0.4795008 0.0117141
0.0208930 629.2751823 0.4871090 0.0118070
0.0213796 637.8008258 0.4947907 0.0118994
0.0218776 646.5153600 0.5025458 0.0119913
0.0223872 655.4249818 0.5103742 0.0120827
0.0229087 664.5304065 0.5182755 0.0121735
0.0234423 673.8449813 0.5262497 0.0122637
0.0239883 683.3632841 0.5342963 0.0123534
0.0245471 693.0962786 0.5424153 0.0124424
0.0251189 702.5642304 0.5506066 0.0125308
0.0257040 709.7939765 0.5588925 0.0126192
0.0263027 717.2539071 0.5672836 0.0127081
0.0269153 724.8561909 0.5757804 0.0127973
0.0275423 732.6053566 0.5843836 0.0128868
0.0281838 740.4966969 0.5930937 0.0129766
0.0288403 748.5391496 0.6019114 0.0130667
0.0295121 756.7320595 0.6108371 0.0131570
0.0301995 765.0776311 0.6198714 0.0132476
0.0309030 773.5779501 0.6290150 0.0133384
0.0316228 782.2356383 0.6382684 0.0134294
0.0323594 791.0551647 0.6476321 0.0135205
0.0331131 800.0325965 0.6571068 0.0136118
0.0338844 809.1732966 0.6666930 0.0137032
0.0346737 818.4784568 0.6763914 0.0137947
0.0354813 827.9555253 0.6862023 0.0138863
0.0363078 837.5937766 0.6961266 0.0139779
0.0371535 847.4025062 0.7061649 0.0140696
0.0380189 857.3820120 0.7163177 0.0141613
0.0389045 867.5329496 0.7265859 0.0142530
0.0398107 877.8593111 0.7369700 0.0143447
0.0407380 888.3595475 0.7474705 0.0144364
0.0416869 899.0337182 0.7580883 0.0145280
0.0426580 909.8827766 0.7688244 0.0146196
0.0436516 920.9066632 0.7796791 0.0147110
0.0446684 932.1093702 0.7906534 0.0148024
0.0457088 943.4880972 0.8017481 0.0148937
0.0467735 955.0424866 0.8129640 0.0149849
0.0478630 966.7737896 0.8243023 0.0150761
0.0489779 978.6864754 0.8357637 0.0151671
0.0501187 990.7722017 0.8473490 0.0152580
0.0512861 1003.0346629 0.8590595 0.0153487
0.0524807 1015.4730845 0.8708961 0.0154392
0.0537032 1028.0853808 0.8828599 0.0155296
0.0549541 1040.8720286 0.8949521 0.0156198
0.0562341 1053.8307636 0.9071739 0.0157099
0.0575440 1066.9593214 0.9195264 0.0157997
0.0588844 1080.2577020 0.9320112 0.0158894
0.0602560 1093.7250713 0.9446295 0.0159789
0.0616595 1107.3576157 0.9573828 0.0160682
0.0630957 1121.1510448 0.9702723 0.0161574
0.0645654 1135.1066697 0.9833000 0.0162463
0.0660693 1149.2173399 0.9964674 0.0163351
0.0676083 1163.4815061 1.0097761 0.0164237
0.0691831 1177.8961889 1.0232279 0.0165121
0.0707946 1192.4568599 1.0368248 0.0166004
0.0724436 1207.1581561 1.0505689 0.0166884
0.0741310 1221.9976940 1.0644621 0.0167764
0.0758578 1236.9715409 1.0785065 0.0168642
0.0776247 1252.0779093 1.0927041 0.0169519
0.0794328 1267.3016640 1.1070577 0.0170394
0.0812831 1282.6401832 1.1215696 0.0171268
0.0831764 1298.0858397 1.1362423 0.0172141
0.0851138 1313.6423280 1.1510786 0.0173014
0.0870964 1329.2860517 1.1660812 0.0173885
0.0891251 1345.0253528 1.1812532 0.0174756
0.0912011 1360.7054244 1.1965973 0.0175627
0.0933254 1376.6014393 1.2121188 0.0176498
0.0954993 1392.5624039 1.2278190 0.0177368
0.0977237 1408.5762818 1.2437016 0.0178239
0.1000000 1424.6334197 1.2597699 0.0179110
0.1023293 1440.7296468 1.2760281 0.0179981
0.1047129 1456.8524496 1.2924800 0.0180854
0.1071519 1472.9884807 1.3091296 0.0181727
0.1096478 1489.1284446 1.3259815 0.0182602
0.1122018 1505.2684085 1.3430400 0.0183478
0.1148154 1521.3888278 1.3603097 0.0184356
0.1174898 1537.4800496 1.3777958 0.0185236
0.1202264 1553.5350424 1.3955028 0.0186119
0.1230269 1569.5191268 1.4134365 0.0187004
0.1258925 1585.4471994 1.4316022 0.0187893
0.1288250 1601.2972131 1.4500058 0.0188784
0.1318257 1617.0552245 1.4686531 0.0189680
0.1348963 1632.7016892 1.4875503 0.0190580
0.1380384 1648.2324359 1.5067038 0.0191485
0.1412538 1663.6264901 1.5261204 0.0192394
0.1445440 1678.8803958 1.5458075 0.0193309
0.1479108 1693.9659088 1.5657716 0.0194229
0.1513561 1708.8756401 1.5860207 0.0195156
0.1548817 1723.5977917 1.6065623 0.0196090
0.1584893 1738.1141300 1.6274053 0.0197031
0.1621810 1752.4127374 1.6485574 0.0197980
0.1659587 1766.4808625 1.6700278 0.0198937
0.1698244 1780.3007483 1.6918255 0.0199903
0.1737801 1793.8614308 1.7139601 0.0200878
0.1778279 1807.1500392 1.7364415 0.0201864
0.1819701 1820.1495316 1.7592795 0.0202860
0.1862087 1832.8460839 1.7824854 0.0203868
0.1905461 1845.2329031 1.8060696 0.0204887
0.1949845 1857.2918749 1.8300442 0.0205919
0.1995262 1869.0086983 1.8544202 0.0206965
0.2041738 1880.3868294 1.8792105 0.0208025
0.2089296 1891.3994541 1.9044279 0.0209100
0.2137962 1902.0434737 1.9300853 0.0210190
0.2187762 1912.2992248 1.9561964 0.0211297
0.2238721 1922.1688522 1.9827753 0.0212422
0.2290868 1931.6376978 2.0098370 0.0213565
0.2344229 1940.7000410 2.0373964 0.0214728
0.2398833 1949.3462289 2.0654697 0.0215910
0.2454709 1957.5687535 2.0940726 0.0217114
0.2511886 1965.3530755 2.1232217 0.0218341
0.2570396 1972.7294652 2.1529357 0.0219591
0.2630268 1979.6508488 2.1832322 0.0220866
0.2691535 1986.1321230 2.2141288 0.0222166
0.2754229 1992.1552927 2.2456463 0.0223493
0.2818383 1997.7557524 2.2778039 0.0224849
0.2884032 2002.8997760 2.3106219 0.0226235
0.2951209 2007.5902236 2.3441216 0.0227651
0.3019952 2011.8392509 2.3783259 0.0229099
0.3090295 2015.6325572 2.4132575 0.0230582
0.3162278 2018.9892101 2.4489392 0.0232100
0.3235937 2021.8925254 2.4853955 0.0233655
0.3311311 2024.3589491 2.5226511 0.0235248
0.3388442 2026.5350651 2.5607317 0.0236881
0.3467369 2031.0250621 2.5996377 0.0238553
0.3548134 2035.2862452 2.6393610 0.0240260
0.3630781 2039.0202028 2.6799293 0.0242005
0.3715352 2042.1964265 2.7213725 0.0243789
0.3801894 2044.8580570 2.7637207 0.0245615
0.3890451 2047.0003276 2.8070044 0.0247483
0.3981072 2048.6287202 2.8512556 0.0249397
0.4073803 2049.7487168 2.8965072 0.0251359
0.4168694 2050.3781935 2.9427936 0.0253370
0.4265795 2050.5304978 2.9901483 0.0255433
0.4365158 2050.2061064 3.0386082 0.0257551
0.4466836 2049.4207502 3.0882109 0.0259725
0.4570882 2048.1825330 3.1389940 0.0261957
0.4677351 2046.5191033 3.1909965 0.0264251
0.4786301 2044.4204504 3.2442598 0.0266610
0.4897788 2041.9146993 3.2988250 0.0269034
0.5011872 2038.9973215 3.3547349 0.0271528
0.5128614 2035.6973953 3.4120351 0.0274095
0.5248075 2032.0292217 3.4707706 0.0276736
0.5370318 2027.9866036 3.5309876 0.0279454
0.5495409 2023.5895622 3.5927365 0.0282254
0.5623413 2018.7136800 3.6560670 0.0285137
0.5754399 2012.7490247 3.7210473 0.0288110
0.5888437 2006.5619909 3.7877436 0.0291177
0.6025596 2000.0791674 3.8562095 0.0294342
0.6165950 1993.3470320 3.9265024 0.0297607
0.6309573 1986.3676107 3.9986797 0.0300976
0.6456542 1979.1499607 4.0728026 0.0304454
0.6606934 1971.7031393 4.1489344 0.0308042
0.6760830 1964.0407322 4.2271378 0.0311747
0.6918310 1956.1654805 4.3074806 0.0315570
0.7079458 1948.0804826 4.3900309 0.0319516
