#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 93.8168506 0.0000000 0.0000000
0.0010233 94.6680497 0.0002472 0.0002574
0.0010471 95.5294188 0.0004978 0.0003655
0.0010715 96.4006376 0.0007520 0.0004496
0.0010965 97.2814006 0.0010097 0.0005213
0.0011220 98.1714470 0.0012710 0.0005853
0.0011482 99.0704787 0.0015360 0.0006439
0.0011749 99.9783395 0.0018048 0.0006984
0.0012023 100.8948429 0.0020772 0.0007497
0.0012303 101.8199666 0.0023535 0.0007986
0.0012589 102.7537479 0.0026337 0.0008453
0.0012882 103.6963433 0.0029178 0.0008903
0.0013183 104.6481475 0.0032058 0.0009339
0.0013490 105.6096897 0.0034979 0.0009761
0.0013804 106.5817595 0.0037941 0.0010173
0.0014125 107.5654746 0.0040943 0.0010574
0.0014454 108.5622432 0.0043988 0.0010967
0.0014791 109.5595407 0.0047075 0.0011353
0.0015136 110.5711209 0.0050206 0.0011731
0.0015488 111.5936536 0.0053379 0.0012104
0.0015849 112.6269150 0.0056597 0.0012471
0.0016218 113.6707489 0.0059860 0.0012833
0.0016596 114.7250359 0.0063168 0.0013191
0.0016982 115.7897835 0.0066522 0.0013545
0.0017378 116.8651929 0.0069922 0.0013895
0.0017783 117.9515546 0.0073370 0.0014242
0.0018197 119.0493754 0.0076866 0.0014586
0.0018621 120.1594896 0.0080409 0.0014927
0.0019055 121.2828435 0.0084002 0.0015265
0.0019498 122.4124335 0.0087645 0.0015601
0.0019953 123.5554569 0.0091338 0.0015935
0.0020417 124.7115859 0.0095082 0.0016267
0.0020893 125.8804852 0.0098877 0.0016598
0.0021380 127.0618344 0.0102725 0.0016927
0.0021878 128.2554324 0.0106626 0.0017254
0.0022387 129.4611599 0.0110581 0.0017580
0.0022909 130.6789722 0.0114590 0.0017905
0.0023442 131.9090035 0.0118654 0.0018229
0.0023988 133.1516114 0.0122775 0.0018552
0.0024547 134.4072876 0.0126951 0.0018873
0.0025119 135.6768964 0.0131185 0.0019195
0.0025704 136.9615554 0.0135477 0.0019515
0.0026303 138.2603258 0.0139828 0.0019835
0.0026915 139.5694077 0.0144239 0.0020154
0.0027542 140.8935399 0.0148709 0.0020473
0.0028184 142.2323944 0.0153241 0.0020791
0.0028840 143.5857179 0.0157835 0.0021109
0.0029512 144.9533763 0.0162491 0.0021427
0.0030200 146.3352802 0.0167211 0.0021745
