#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 4082.7853612 0.0000000 0.0000000
0.0010233 4083.8958047 0.0000570 0.0000073
0.0010471 4085.1931499 0.0001154 0.0000105
0.0010715 4086.6835950 0.0001751 0.0000130
0.0010965 4088.3790597 0.0002362 0.0000151
0.0011220 4090.2852656 0.0002986 0.0000171
0.0011482 4092.4146090 0.0003625 0.0000190
0.0011749 4094.7747188 0.0004278 0.0000207
0.0012023 4097.3760842 0.0004946 0.0000224
0.0012303 4100.2272876 0.0005630 0.0000240
0.0012589 4103.3407253 0.0006328 0.0000256
0.0012882 4106.7230725 0.0007043 0.0000272
0.0013183 4110.3867257 0.0007773 0.0000288
0.0013490 4114.3402672 0.0008520 0.0000303
0.0013804 4118.5960934 0.0009283 0.0000318
0.0014125 4123.1613563 0.0010063 0.0000333
0.0014454 4128.0470219 0.0010861 0.0000348
0.0014791 4133.2635797 0.0011676 0.0000363
0.0015136 4138.8196118 0.0012509 0.0000378
0.0015488 4144.7246542 0.0013360 0.0000393
0.0015849 4150.9863353 0.0014230 0.0000408
0.0016218 4157.6141910 0.0015118 0.0000423
0.0016596 4164.6144196 0.0016026 0.0000438
0.0016982 4171.9941730 0.0016954 0.0000454
0.0017378 4179.7601261 0.0017901 0.0000469
0.0017783 4187.9146630 0.0018868 0.0000485
0.0018197 4196.4620747 0.0019857 0.0000500
0.0018621 4205.4056987 0.0020866 0.0000516
0.0019055 4214.7421976 0.0021896 0.0000532
0.0019498 4224.4715713 0.0022948 0.0000548
0.0019953 4234.5871449 0.0024021 0.0000564
0.0020417 4245.0831967 0.0025118 0.0000580
0.0020893 4255.9478071 0.0026236 0.0000596
0.0021380 4267.4994716 0.0027378 0.0000613
0.0021878 4279.4664201 0.0028544 0.0000629
0.0022387 4291.8672474 0.0029733 0.0000646
0.0022909 4304.7143500 0.0030946 0.0000663
0.0023442 4318.0191708 0.0032184 0.0000680
0.0023988 4331.7926761 0.0033446 0.0000698
0.0024547 4346.0458319 0.0034734 0.0000715
0.0025119 4360.7910349 0.0036047 0.0000733
0.0025704 4376.0349601 0.0037387 0.0000751
0.0026303 4391.7904808 0.0038753 0.0000769
0.0026915 4408.0642720 0.0040145 0.0000787
0.0027542 4424.8630089 0.0041565 0.0000806
0.0028184 4442.1933665 0.0043012 0.0000825
