#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 282.6184118 0.0000000 0.0000000
0.0010233 283.9543227 0.0000822 0.0000494
0.0010471 285.3026324 0.0001660 0.0000704
0.0010715 286.6628044 0.0002513 0.0000869
0.0010965 288.0342724 0.0003381 0.0001011
0.0011220 289.4166192 0.0004266 0.0001139
0.0011482 290.8093380 0.0005167 0.0001257
0.0011749 292.2118924 0.0006084 0.0001368
0.0012023 293.6237757 0.0007018 0.0001474
0.0012303 295.0446601 0.0007970 0.0001575
0.0012589 296.4740687 0.0008939 0.0001673
0.0012882 297.9118226 0.0009925 0.0001768
0.0013183 299.3575343 0.0010930 0.0001861
0.0013490 300.8111444 0.0011953 0.0001952
0.0013804 302.2726229 0.0012995 0.0002042
0.0014125 303.7421487 0.0014057 0.0002130
0.0014454 305.2199603 0.0015137 0.0002217
0.0014791 306.7066835 0.0016238 0.0002303
0.0015136 308.2030038 0.0017358 0.0002389
0.0015488 309.7100539 0.0018499 0.0002474
0.0015849 311.2291451 0.0019661 0.0002558
0.0016218 312.7620359 0.0020844 0.0002643
0.0016596 314.3112001 0.0022049 0.0002726
0.0016982 315.8600961 0.0023276 0.0002810
0.0017378 317.4158472 0.0024525 0.0002894
0.0017783 318.9838779 0.0025798 0.0002977
0.0018197 320.5636815 0.0027093 0.0003061
0.0018621 322.1549003 0.0028412 0.0003145
0.0019055 323.7570873 0.0029755 0.0003228
0.0019498 325.3699743 0.0031122 0.0003313
0.0019953 326.9932630 0.0032515 0.0003397
0.0020417 328.6268941 0.0033932 0.0003481
0.0020893 330.2707780 0.0035376 0.0003566
0.0021380 331.9251532 0.0036846 0.0003651
0.0021878 333.5903774 0.0038342 0.0003737
0.0022387 335.2669273 0.0039866 0.0003823
0.0022909 336.9556973 0.0041418 0.0003909
0.0023442 338.6579092 0.0042997 0.0003996
0.0023988 340.3809547 0.0044606 0.0004084
0.0024547 342.0950885 0.0046243 0.0004172
0.0025119 343.8243930 0.0047910 0.0004261
0.0025704 345.5683316 0.0049608 0.0004350
0.0026303 347.3262785 0.0051336 0.0004440
0.0026915 349.0976972 0.0053095 0.0004530
0.0027542 350.8820809 0.0054887 0.0004621
0.0028184 352.6788635 0.0056710 0.0004713
0.0028840 354.4876276 0.0058567 0.0004806
0.0029512 356.3080751 0.0060457 0.0004899
0.0030200 358.1399976 0.0062381 0.0004993
0.0030903 359.9832458 0.0064341 0.0005088
0.0031623 361.8378795 0.0066335 0.0005183
0.0032359 363.7042264 0.0068365 0.0005279
0.0033113 365.5827039 0.0070432 0.0005377
0.0033884 367.4741466 0.0072537 0.0005475
0.0034674 369.3796868 0.0074679 0.0005574
0.0035481 371.3007852 0.0076860 0.0005673
0.0036308 373.2393194 0.0079080 0.0005774
0.0037154 375.1861095 0.0081340 0.0005876
0.0038019 377.1419305 0.0083641 0.0005978
0.0038905 379.1129818 0.0085983 0.0006082
0.0039811 381.0985479 0.0088367 0.0006186
0.0040738 383.0982714 0.0090793 0.0006291
0.0041687 385.1116752 0.0093264 0.0006398
0.0042658 387.1384615 0.0095779 0.0006505
0.0043652 389.1783618 0.0098339 0.0006614
0.0044668 391.2314656 0.0100944 0.0006723
0.0045709 393.2978326 0.0103597 0.0006834
0.0046774 395.3780291 0.0106297 0.0006945
0.0047863 397.4725616 0.0109045 0.0007058
