#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 218.7418470 -0.0000000 0.0000000
0.0010233 220.4949861 0.0010606 0.0003807
0.0010471 222.2650387 0.0021373 0.0005413
0.0010715 224.0512297 0.0032303 0.0006665
0.0010965 225.8530974 0.0043398 0.0007737
0.0011220 227.6700157 0.0054661 0.0008697
0.0011482 229.5017613 0.0066094 0.0009579
0.0011749 231.3480061 0.0077700 0.0010403
0.0012023 233.2087057 0.0089482 0.0011182
0.0012303 235.0840535 0.0101442 0.0011926
0.0012589 236.9745713 0.0113583 0.0012640
0.0012882 238.8810041 0.0125908 0.0013330
0.0013183 240.8047229 0.0138419 0.0014000
0.0013490 242.7473668 0.0151120 0.0014652
0.0013804 244.7054787 0.0164012 0.0015290
0.0014125 246.6774938 0.0177098 0.0015915
0.0014454 248.6680913 0.0190383 0.0016529
0.0014791 250.6767944 0.0203868 0.0017133
0.0015136 252.7032753 0.0217556 0.0017729
0.0015488 254.7473401 0.0231451 0.0018317
0.0015849 256.8091081 0.0245556 0.0018899
0.0016218 258.8888475 0.0259873 0.0019476
0.0016596 260.9872141 0.0274406 0.0020047
0.0016982 263.1051913 0.0289158 0.0020614
0.0017378 265.2442097 0.0304132 0.0021178
0.0017783 267.4006332 0.0319331 0.0021738
0.0018197 269.5753561 0.0334758 0.0022295
0.0018621 271.7721036 0.0350418 0.0022850
0.0019055 273.9903989 0.0366313 0.0023403
0.0019498 276.2298249 0.0382446 0.0023955
0.0019953 278.4902027 0.0398821 0.0024505
0.0020417 280.7714130 0.0415441 0.0025054
0.0020893 283.0737837 0.0432310 0.0025603
0.0021380 285.3976426 0.0449432 0.0026150
0.0021878 287.7441521 0.0466809 0.0026698
0.0022387 290.1144447 0.0484447 0.0027245
0.0022909 292.5105172 0.0502347 0.0027793
0.0023442 294.9277502 0.0520514 0.0028341
0.0023988 297.3681701 0.0538953 0.0028889
0.0024547 299.8342508 0.0557665 0.0029438
0.0025119 302.3256643 0.0576656 0.0029988
0.0025704 304.8422617 0.0595929 0.0030539
0.0026303 307.3840430 0.0615487 0.0031091
0.0026915 309.9514551 0.0635336 0.0031644
0.0027542 312.5451241 0.0655479 0.0032198
0.0028184 315.1662121 0.0675920 0.0032754
0.0028840 317.8162691 0.0696662 0.0033311
0.0029512 320.4920165 0.0717710 0.0033870
0.0030200 323.1949744 0.0739069 0.0034430
0.0030903 325.9284808 0.0760743 0.0034993
0.0031623 328.6920886 0.0782735 0.0035557
0.0032359 331.4855296 0.0805050 0.0036123
0.0033113 334.3086846 0.0827692 0.0036692
0.0033884 337.1617324 0.0850665 0.0037262
0.0034674 340.0452094 0.0873974 0.0037835
0.0035481 342.9598905 0.0897624 0.0038410
0.0036308 345.9072063 0.0921619 0.0038987
0.0037154 348.8890941 0.0945964 0.0039566
0.0038019 351.9044809 0.0970662 0.0040149
0.0038905 354.9505651 0.0995718 0.0040733
0.0039811 358.0324432 0.1021138 0.0041320
0.0040738 361.1498768 0.1046926 0.0041910
0.0041687 364.3026273 0.1073087 0.0042502
0.0042658 367.4908439 0.1099625 0.0043097
0.0043652 370.7150629 0.1126545 0.0043694
0.0044668 373.9762083 0.1153852 0.0044295
0.0045709 377.2755021 0.1181551 0.0044898
0.0046774 380.6150006 0.1209647 0.0045504
0.0047863 383.9901142 0.1238146 0.0046112
0.0048978 387.4050152 0.1267051 0.0046724
0.0050119 390.8615814 0.1296369 0.0047339
0.0051286 394.3595147 0.1326103 0.0047956
0.0052481 397.8986363 0.1356260 0.0048576
0.0053703 401.4790653 0.1386845 0.0049199
0.0054954 405.1012787 0.1417862 0.0049826
0.0056234 408.7660215 0.1449318 0.0050455
0.0057544 412.4747541 0.1481218 0.0051087
0.0058884 416.2295925 0.1513566 0.0051722
0.0060256 420.0332787 0.1546369 0.0052361
0.0061660 423.8753814 0.1579632 0.0053002
0.0063096 427.7671365 0.1613360 0.0053646
0.0064565 431.7071136 0.1647560 0.0054293
0.0066069 435.6950442 0.1682236 0.0054944
0.0067608 439.7312265 0.1717395 0.0055597
0.0069183 443.8161374 0.1753043 0.0056254
0.0070795 447.9509987 0.1789184 0.0056913
0.0072444 452.1373603 0.1825825 0.0057576
0.0074131 456.3779342 0.1862972 0.0058242
0.0075858 460.6645543 0.1900631 0.0058911
0.0077625 465.0069664 0.1938807 0.0059582
0.0079433 469.4046339 0.1977508 0.0060257
0.0081283 473.8573781 0.2016738 0.0060935
0.0083176 478.3648412 0.2056504 0.0061616
0.0085114 482.9275301 0.2096813 0.0062300
0.0087096 487.5461002 0.2137671 0.0062987
0.0089125 492.2220419 0.2179083 0.0063677
0.0091201 496.9573817 0.2221057 0.0064370
0.0093325 501.7551596 0.2263599 0.0065066
0.0095499 506.6081036 0.2306715 0.0065765
0.0097724 511.5230386 0.2350412 0.0066467
0.0100000 516.5007991 0.2394696 0.0067172
0.0102329 521.5410871 0.2439575 0.0067880
0.0104713 526.6442006 0.2485055 0.0068591
0.0107152 531.8109145 0.2531142 0.0069305
0.0109648 537.0424806 0.2577844 0.0070021
0.0112202 542.3409255 0.2625168 0.0070741
0.0114815 547.7064876 0.2673120 0.0071463
0.0117490 553.1351732 0.2721708 0.0072188
0.0120226 558.6354466 0.2770939 0.0072916
0.0123027 564.2063540 0.2820821 0.0073647
0.0125893 569.8474781 0.2871359 0.0074380
0.0128825 575.5589978 0.2922562 0.0075116
0.0131826 581.3413900 0.2974437 0.0075855
0.0134896 587.1960255 0.3026992 0.0076597
0.0138038 593.1249311 0.3080234 0.0077341
0.0141254 599.1312659 0.3134171 0.0078088
0.0144544 605.2105593 0.3188810 0.0078838
0.0147911 611.3661494 0.3244160 0.0079590
0.0151356 617.6010164 0.3300228 0.0080345
0.0154882 623.9146837 0.3357022 0.0081102
0.0158489 630.3070914 0.3414550 0.0081862
0.0162181 636.7792530 0.3472821 0.0082624
0.0165959 643.3325394 0.3531842 0.0083389
0.0169824 649.9693944 0.3591621 0.0084156
0.0173780 656.6888644 0.3652169 0.0084926
0.0177828 663.4929165 0.3713491 0.0085698
0.0181970 670.3832791 0.3775598 0.0086473
0.0186209 677.3598927 0.3838498 0.0087249
0.0190546 684.4232341 0.3902199 0.0088028
0.0194984 691.5749127 0.3966710 0.0088810
0.0199526 698.8173129 0.4032041 0.0089593
0.0204174 706.1934706 0.4098201 0.0090379
0.0208930 713.5926961 0.4165193 0.0091167
0.0213796 721.0781130 0.4233038 0.0091957
0.0218776 728.9781545 0.4301728 0.0092750
0.0223872 737.6995175 0.4371226 0.0093542
0.0229087 747.3017493 0.4441447 0.0094331
0.0234423 756.8246444 0.4512401 0.0095117
0.0239883 766.5538386 0.4584090 0.0095900
0.0245471 776.4943387 0.4656514 0.0096680
0.0251189 786.6202754 0.4729673 0.0097457
0.0257040 796.8138062 0.4803575 0.0098230
0.0263027 807.1979595 0.4878228 0.0099001
0.0269153 817.7755962 0.4953636 0.0099768
0.0275423 828.5460013 0.5029798 0.0100531
0.0281838 839.5144200 0.5106720 0.0101291
0.0288403 850.6822232 0.5184402 0.0102048
0.0295121 862.0503649 0.5262848 0.0102801
0.0301995 873.6204542 0.5342060 0.0103550
0.0309030 885.3955311 0.5422042 0.0104295
0.0316228 897.3780396 0.5502795 0.0105037
0.0323594 909.5680392 0.5584325 0.0105774
0.0331131 921.9677951 0.5666633 0.0106507
0.0338844 934.5768898 0.5749724 0.0107237
0.0346737 947.3955023 0.5833601 0.0107962
0.0354813 960.4260765 0.5918269 0.0108683
0.0363078 973.6704004 0.6003733 0.0109400
0.0371535 987.1247786 0.6089996 0.0110113
0.0380189 1000.7942777 0.6177065 0.0110821
0.0389045 1014.6758575 0.6264943 0.0111526
0.0398107 1028.7670147 0.6353637 0.0112226
0.0407380 1043.0656035 0.6443155 0.0112922
0.0416869 1057.5723390 0.6533500 0.0113614
0.0426580 1072.2885327 0.6624681 0.0114302
0.0436516 1087.2090584 0.6716705 0.0114986
0.0446684 1102.3264056 0.6809582 0.0115665
0.0457088 1117.6459389 0.6903318 0.0116341
0.0467735 1133.1605056 0.6997925 0.0117013
0.0478630 1148.8641449 0.7093410 0.0117681
0.0489779 1164.7518498 0.7189785 0.0118346
0.0501187 1180.8209978 0.7287061 0.0119007
0.0512861 1197.0737345 0.7385250 0.0119665
0.0524807 1213.4814488 0.7484365 0.0120319
0.0537032 1230.0579695 0.7584420 0.0120969
0.0549541 1246.7910176 0.7685429 0.0121617
0.0562341 1263.6687908 0.7787405 0.0122261
0.0575440 1280.6807985 0.7890367 0.0122902
0.0588844 1297.8186956 0.7994332 0.0123541
0.0602560 1315.0767600 0.8099318 0.0124177
0.0616595 1332.4459313 0.8205344 0.0124810
0.0630957 1349.9014133 0.8312431 0.0125441
0.0645654 1367.4454709 0.8420601 0.0126070
0.0660693 1385.0601029 0.8529877 0.0126697
0.0676083 1402.7286194 0.8640283 0.0127323
0.0691831 1420.4368340 0.8751845 0.0127947
0.0707946 1438.1729446 0.8864588 0.0128569
0.0724436 1455.9278909 0.8978546 0.0129191
