#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 1478.7419342 0.0000000 0.0000000
0.0010233 1479.3293954 0.0002520 0.0000356
0.0010471 1479.9354532 0.0005097 0.0000509
0.0010715 1480.5604651 0.0007734 0.0000630
0.0010965 1481.2053850 0.0010430 0.0000736
0.0011220 1481.8715240 0.0013189 0.0000832
0.0011482 1482.5600742 0.0016010 0.0000922
0.0011749 1483.2728239 0.0018895 0.0001007
0.0012023 1484.0102498 0.0021847 0.0001090
0.0012303 1484.7742593 0.0024865 0.0001169
0.0012589 1485.5666404 0.0027952 0.0001247
0.0012882 1486.3889430 0.0031110 0.0001324
0.0013183 1487.2433128 0.0034339 0.0001399
0.0013490 1488.1315379 0.0037641 0.0001474
0.0013804 1489.0558832 0.0041019 0.0001548
0.0014125 1490.0186138 0.0044472 0.0001622
0.0014454 1491.0227099 0.0048004 0.0001696
0.0014791 1492.0705556 0.0051616 0.0001769
0.0015136 1493.1651312 0.0055309 0.0001843
0.0015488 1494.3098937 0.0059086 0.0001917
0.0015849 1495.5085386 0.0062947 0.0001991
0.0016218 1496.7645230 0.0066895 0.0002066
0.0016596 1498.0816615 0.0070931 0.0002141
0.0016982 1499.4653185 0.0075058 0.0002217
0.0017378 1500.9195472 0.0079277 0.0002294
0.0017783 1502.4497119 0.0083590 0.0002371
0.0018197 1504.0618923 0.0087999 0.0002448
0.0018621 1505.7618103 0.0092505 0.0002527
0.0019055 1507.5026171 0.0097111 0.0002606
0.0019498 1509.3416519 0.0101819 0.0002687
0.0019953 1511.2648481 0.0106630 0.0002768
0.0020417 1513.2760205 0.0111548 0.0002850
0.0020893 1515.3779108 0.0116573 0.0002934
0.0021380 1517.5734992 0.0121707 0.0003018
0.0021878 1519.8660045 0.0126954 0.0003103
0.0022387 1522.2578107 0.0132314 0.0003190
0.0022909 1524.7526133 0.0137791 0.0003277
0.0023442 1527.3535118 0.0143385 0.0003366
0.0023988 1530.0630096 0.0149100 0.0003456
0.0024547 1532.8845637 0.0154938 0.0003547
0.0025119 1535.8207967 0.0160900 0.0003640
0.0025704 1538.8746888 0.0166990 0.0003734
0.0026303 1542.0483858 0.0173209 0.0003829
0.0026915 1545.3451063 0.0179559 0.0003925
0.0027542 1548.7667577 0.0186043 0.0004023
0.0028184 1552.3005846 0.0192663 0.0004122
0.0028840 1555.9988005 0.0199421 0.0004223
0.0029512 1559.8263580 0.0206321 0.0004324
0.0030200 1563.7871910 0.0213363 0.0004428
0.0030903 1567.8851141 0.0220551 0.0004533
0.0031623 1572.1238229 0.0227887 0.0004639
0.0032359 1576.5070128 0.0235373 0.0004747
0.0033113 1581.0383793 0.0243011 0.0004856
0.0033884 1585.7213795 0.0250805 0.0004967
0.0034674 1590.5597087 0.0258757 0.0005079
0.0035481 1595.5561089 0.0266869 0.0005193
0.0036308 1600.7142755 0.0275143 0.0005308
0.0037154 1606.0364735 0.0283583 0.0005425
0.0038019 1611.5256830 0.0292190 0.0005543
0.0038905 1617.1840499 0.0300967 0.0005663
0.0039811 1623.0134815 0.0309916 0.0005785
0.0040738 1629.0154083 0.0319041 0.0005908
0.0041687 1635.1900686 0.0328343 0.0006032
0.0042658 1641.5380587 0.0337826 0.0006159
0.0043652 1648.0587823 0.0347492 0.0006287
0.0044668 1654.7858565 0.0357343 0.0006416
0.0045709 1661.6950818 0.0367382 0.0006547
0.0046774 1668.7908689 0.0377612 0.0006680
0.0047863 1676.0764364 0.0388035 0.0006814
0.0048978 1683.5554800 0.0398654 0.0006950
0.0050119 1691.2318141 0.0409472 0.0007088
0.0051286 1699.1079423 0.0420491 0.0007227
0.0052481 1707.1869640 0.0431713 0.0007367
0.0053703 1715.4723361 0.0443142 0.0007510
0.0054954 1723.9650124 0.0454781 0.0007653
0.0056234 1732.6679731 0.0466631 0.0007799
0.0057544 1741.5818143 0.0478696 0.0007946
0.0058884 1750.7076088 0.0490977 0.0008094
0.0060256 1760.0311707 0.0503479 0.0008245
0.0061660 1769.6110317 0.0516204 0.0008396
0.0063096 1779.4072567 0.0529154 0.0008549
0.0064565 1789.4238988 0.0542332 0.0008704
0.0066069 1799.6645344 0.0555741 0.0008861
0.0067608 1810.1323820 0.0569383 0.0009018
0.0069183 1820.8308987 0.0583262 0.0009178
0.0070795 1831.7635416 0.0597380 0.0009339
0.0072444 1842.9337677 0.0611740 0.0009501
0.0074131 1854.3438420 0.0626345 0.0009665
0.0075858 1865.9976984 0.0641197 0.0009830
0.0077625 1877.8973634 0.0656300 0.0009997
0.0079433 1890.0458173 0.0671656 0.0010165
0.0081283 1902.4448482 0.0687267 0.0010334
0.0083176 1915.0977938 0.0703138 0.0010505
0.0085114 1928.0053696 0.0719270 0.0010678
0.0087096 1941.1697212 0.0735667 0.0010852
0.0089125 1954.5925176 0.0752331 0.0011027
0.0091201 1968.2738780 0.0769266 0.0011203
0.0093325 1982.2153521 0.0786473 0.0011381
0.0095499 1996.4357748 0.0803958 0.0011560
0.0097724 2010.9186954 0.0821721 0.0011741
0.0100000 2025.6762732 0.0839766 0.0011923
0.0102329 2040.7101771 0.0858096 0.0012106
0.0104713 2056.0227913 0.0876714 0.0012290
0.0107152 2071.6162615 0.0895623 0.0012476
0.0109648 2087.4922566 0.0914827 0.0012662
0.0112202 2103.6538761 0.0934327 0.0012850
0.0114815 2120.1025506 0.0954128 0.0013040
0.0117490 2136.8413793 0.0974231 0.0013230
0.0120226 2153.8739386 0.0994642 0.0013421
0.0123027 2171.2028512 0.1015361 0.0013614
0.0125893 2188.8326468 0.1036394 0.0013808
0.0128825 2206.7678555 0.1057741 0.0014003
0.0131826 2225.8870464 0.1079399 0.0014199
0.0134896 2242.5400448 0.1101390 0.0014396
0.0138038 2260.6519209 0.1123719 0.0014594
0.0141254 2280.2388873 0.1146379 0.0014793
0.0144544 2301.3052355 0.1169360 0.0014994
0.0147911 2323.8426207 0.1192656 0.0015195
0.0151356 2347.8272013 0.1216256 0.0015397
0.0154882 2373.2134394 0.1240154 0.0015598
0.0158489 2399.9293330 0.1264341 0.0015798
0.0162181 2427.8714087 0.1288811 0.0015998
0.0165959 2456.8968543 0.1313559 0.0016197
0.0169824 2486.8158895 0.1338582 0.0016396
0.0173780 2517.2232040 0.1363878 0.0016593
0.0177828 2548.3801038 0.1389449 0.0016789
0.0181970 2580.3118610 0.1415294 0.0016985
0.0186209 2613.0334960 0.1441411 0.0017179
0.0190546 2646.5621749 0.1467801 0.0017373
0.0194984 2680.9153021 0.1494461 0.0017565
0.0199526 2716.1126664 0.1521390 0.0017756
0.0204174 2752.1752484 0.1548588 0.0017946
0.0208930 2789.1271284 0.1576052 0.0018134
0.0213796 2826.9942939 0.1603782 0.0018322
0.0218776 2865.7128489 0.1631775 0.0018508
0.0223872 2905.5197806 0.1660032 0.0018692
0.0229087 2946.3998303 0.1688547 0.0018875
0.0234423 2987.8396848 0.1717322 0.0019057
0.0239883 3029.1865564 0.1746361 0.0019237
0.0245471 3073.9072766 0.1775669 0.0019416
0.0251189 3115.0078627 0.1805224 0.0019593
0.0257040 3147.9414510 0.1835114 0.0019770
0.0263027 3178.6303369 0.1865398 0.0019948
0.0269153 3212.6878262 0.1896071 0.0020127
0.0275423 3246.6158546 0.1927131 0.0020306
0.0281838 3281.2140753 0.1958580 0.0020485
0.0288403 3316.4913094 0.1990421 0.0020665
0.0295121 3352.4711605 0.2022655 0.0020846
0.0301995 3389.1374161 0.2055285 0.0021026
0.0309030 3426.5213089 0.2088312 0.0021207
0.0316228 3464.6252231 0.2121739 0.0021389
0.0323594 3503.4572650 0.2155566 0.0021570
0.0331131 3543.0250638 0.2189796 0.0021752
0.0338844 3583.3441167 0.2224430 0.0021934
0.0346737 3624.4177616 0.2259471 0.0022116
0.0354813 3666.2514821 0.2294921 0.0022298
0.0363078 3708.8533843 0.2330781 0.0022481
0.0371535 3752.2318130 0.2367053 0.0022663
0.0380189 3796.3991657 0.2403740 0.0022845
0.0389045 3841.3642641 0.2440843 0.0023027
0.0398107 3887.1209091 0.2478365 0.0023209
0.0407380 3933.6910353 0.2516308 0.0023391
0.0416869 3981.0729737 0.2554673 0.0023573
0.0426580 4029.2717311 0.2593464 0.0023754
