#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 115.9407539 0.0000000 0.0000000
0.0010233 116.8616273 0.0002001 0.0001877
0.0010471 117.7943247 0.0004033 0.0002668
0.0010715 118.7385556 0.0006095 0.0003284
0.0010965 119.6940442 0.0008189 0.0003811
0.0011220 120.6606566 0.0010314 0.0004282
0.0011482 121.6380946 0.0012471 0.0004715
0.0011749 122.6261720 0.0014661 0.0005118
0.0012023 123.6247993 0.0016883 0.0005499
0.0012303 124.6338649 0.0019139 0.0005862
0.0012589 125.6533613 0.0021429 0.0006210
0.0012882 126.6834151 0.0023754 0.0006546
0.0013183 127.7242126 0.0026113 0.0006872
0.0013490 128.7761114 0.0028507 0.0007189
0.0013804 129.8396629 0.0030937 0.0007498
0.0014125 130.9156270 0.0033403 0.0007800
0.0014454 132.0049872 0.0035906 0.0008096
0.0014791 133.1090697 0.0038446 0.0008388
0.0015136 134.2221972 0.0041023 0.0008674
0.0015488 135.3461875 0.0043639 0.0008957
0.0015849 136.4838571 0.0046293 0.0009236
0.0016218 137.6350420 0.0048987 0.0009511
0.0016596 138.7994740 0.0051720 0.0009784
0.0016982 139.9771083 0.0054493 0.0010054
0.0017378 141.1678258 0.0057307 0.0010322
0.0017783 142.3717159 0.0060162 0.0010587
0.0018197 143.5889276 0.0063059 0.0010851
0.0018621 144.8197440 0.0065999 0.0011113
0.0019055 146.0646866 0.0068981 0.0011373
0.0019498 147.3244559 0.0072006 0.0011632
0.0019953 148.6000203 0.0075076 0.0011890
0.0020417 149.8893384 0.0078190 0.0012146
0.0020893 151.1898026 0.0081349 0.0012402
0.0021380 152.5069262 0.0084554 0.0012657
0.0021878 153.8403665 0.0087805 0.0012910
0.0022387 155.1897957 0.0091103 0.0013163
0.0022909 156.5550051 0.0094449 0.0013416
0.0023442 157.9358011 0.0097842 0.0013668
0.0023988 159.3320496 0.0101284 0.0013919
0.0024547 160.7437803 0.0104776 0.0014170
0.0025119 162.1711274 0.0108317 0.0014421
0.0025704 163.6143590 0.0111909 0.0014671
0.0026303 165.0740266 0.0115552 0.0014921
0.0026915 166.5508900 0.0119247 0.0015171
0.0027542 168.0460520 0.0122994 0.0015421
0.0028184 169.5609431 0.0126795 0.0015671
0.0028840 171.0900796 0.0130649 0.0015921
0.0029512 172.6357713 0.0134558 0.0016170
0.0030200 174.2004171 0.0138522 0.0016420
0.0030903 175.7836894 0.0142542 0.0016669
0.0031623 177.3853347 0.0146618 0.0016919
0.0032359 179.0052934 0.0150752 0.0017169
0.0033113 180.6435209 0.0154943 0.0017419
0.0033884 182.3002109 0.0159194 0.0017669
0.0034674 183.9756614 0.0163503 0.0017919
0.0035481 185.6705429 0.0167873 0.0018169
0.0036308 187.3858091 0.0172304 0.0018420
0.0037154 189.1250214 0.0176796 0.0018671
0.0038019 190.8753052 0.0181351 0.0018922
0.0038905 192.6480897 0.0185969 0.0019173
0.0039811 194.4428086 0.0190651 0.0019425
0.0040738 196.2591193 0.0195398 0.0019677
0.0041687 198.0965894 0.0200211 0.0019929
0.0042658 199.9549659 0.0205090 0.0020181
0.0043652 201.8340549 0.0210036 0.0020434
0.0044668 203.7339458 0.0215050 0.0020687
0.0045709 205.6548472 0.0220133 0.0020941
0.0046774 207.5971914 0.0225285 0.0021195
0.0047863 209.5617680 0.0230509 0.0021449
0.0048978 211.5497990 0.0235804 0.0021703
0.0050119 213.5629681 0.0241171 0.0021958
0.0051286 215.5970435 0.0246611 0.0022214
0.0052481 217.6521741 0.0252126 0.0022469
0.0053703 219.7320555 0.0257716 0.0022725
0.0054954 221.8361958 0.0263381 0.0022982
0.0056234 223.9642823 0.0269124 0.0023239
0.0057544 226.1162552 0.0274945 0.0023496
0.0058884 228.2920103 0.0280844 0.0023754
0.0060256 230.4919350 0.0286823 0.0024012
0.0061660 232.7166253 0.0292883 0.0024270
0.0063096 234.9670051 0.0299025 0.0024529
0.0064565 237.2445794 0.0305250 0.0024788
0.0066069 239.5451461 0.0311558 0.0025048
0.0067608 241.8701358 0.0317952 0.0025308
0.0069183 244.2231842 0.0324431 0.0025568
0.0070795 246.6037699 0.0330998 0.0025829
0.0072444 249.0114160 0.0337652 0.0026090
0.0074131 251.4457201 0.0344396 0.0026352
0.0075858 253.9065483 0.0351229 0.0026614
0.0077625 256.3940196 0.0358155 0.0026876
0.0079433 258.9085215 0.0365172 0.0027139
0.0081283 261.4508884 0.0372284 0.0027402
0.0083176 264.0224914 0.0379490 0.0027665
0.0085114 266.6251184 0.0386792 0.0027929
0.0087096 269.2556403 0.0394191 0.0028193
0.0089125 271.9126564 0.0401689 0.0028458
0.0091201 274.6007562 0.0409286 0.0028723
0.0093325 277.3193734 0.0416984 0.0028988
0.0095499 280.0681207 0.0424784 0.0029253
0.0097724 282.8467894 0.0432687 0.0029519
0.0100000 285.6556477 0.0440695 0.0029786
0.0102329 288.4950831 0.0448809 0.0030052
0.0104713 291.3661387 0.0457030 0.0030319
0.0107152 294.2703641 0.0465360 0.0030586
0.0109648 297.2065971 0.0473799 0.0030854
0.0112202 300.1709932 0.0482350 0.0031121
0.0114815 303.1704962 0.0491014 0.0031389
0.0117490 306.2042421 0.0499791 0.0031658
0.0120226 309.2716644 0.0508684 0.0031926
0.0123027 312.3722267 0.0517694 0.0032195
0.0125893 315.5058398 0.0526822 0.0032464
0.0128825 318.6727121 0.0536070 0.0032733
0.0131826 321.8734993 0.0545439 0.0033003
0.0134896 325.1094233 0.0554931 0.0033273
0.0138038 328.3826299 0.0564547 0.0033543
0.0141254 331.6955926 0.0574290 0.0033813
0.0144544 335.0360032 0.0584159 0.0034083
0.0147911 338.4161103 0.0594158 0.0034354
0.0151356 341.8338874 0.0604288 0.0034625
0.0154882 345.2889768 0.0614549 0.0034896
0.0158489 348.7809912 0.0624945 0.0035167
0.0162181 352.3101690 0.0635476 0.0035438
0.0165959 355.8771956 0.0646145 0.0035709
0.0169824 359.4833823 0.0656952 0.0035980
0.0173780 363.1308450 0.0667901 0.0036252
0.0177828 366.8144876 0.0678992 0.0036524
0.0181970 370.5366943 0.0690227 0.0036795
0.0186209 374.3026208 0.0701608 0.0037067
0.0190546 378.1107473 0.0713137 0.0037339
0.0194984 381.9593153 0.0724816 0.0037611
0.0199526 385.8468647 0.0736647 0.0037883
0.0204174 389.7721138 0.0748631 0.0038155
0.0208930 393.7339601 0.0760770 0.0038426
0.0213796 397.7317478 0.0773068 0.0038698
0.0218776 401.8617381 0.0785524 0.0038970
0.0223872 405.7766757 0.0798144 0.0039242
0.0229087 409.9812610 0.0810930 0.0039514
0.0234423 414.3339036 0.0823876 0.0039786
0.0239883 418.6563566 0.0836986 0.0040058
0.0245471 422.7285306 0.0850267 0.0040329
0.0251189 426.2845900 0.0863734 0.0040601
0.0257040 429.0109856 0.0877413 0.0040875
0.0263027 431.3914074 0.0891331 0.0041153
0.0269153 433.7627097 0.0905494 0.0041434
0.0275423 436.1363663 0.0919908 0.0041719
0.0281838 438.5124072 0.0934578 0.0042008
0.0288403 440.8888950 0.0949508 0.0042301
0.0295121 443.2675287 0.0964704 0.0042598
0.0301995 445.6461623 0.0980170 0.0042899
0.0309030 448.0244085 0.0995913 0.0043203
0.0316228 450.4019692 0.1011936 0.0043512
0.0323594 452.7748808 0.1028247 0.0043824
0.0331131 455.1465705 0.1044851 0.0044141
0.0338844 457.5152800 0.1061753 0.0044461
0.0346737 459.8796682 0.1078960 0.0044786
0.0354813 462.2384536 0.1096477 0.0045115
0.0363078 464.5905930 0.1114311 0.0045449
0.0371535 466.9354011 0.1132469 0.0045786
0.0380189 469.2722819 0.1150956 0.0046128
0.0389045 471.6014438 0.1169781 0.0046474
0.0398107 473.9178802 0.1188949 0.0046825
0.0407380 476.2242733 0.1208468 0.0047180
0.0416869 478.5187753 0.1228346 0.0047540
0.0426580 480.7996875 0.1248589 0.0047904
0.0436516 483.0653409 0.1269207 0.0048273
0.0446684 485.3144839 0.1290206 0.0048647
0.0457088 487.5460437 0.1311595 0.0049026
0.0467735 489.7593048 0.1333384 0.0049409
0.0478630 491.9527177 0.1355579 0.0049798
0.0489779 494.1227657 0.1378191 0.0050191
0.0501187 496.2712070 0.1401229 0.0050590
0.0512861 498.3956278 0.1424703 0.0050994
0.0524807 500.4936736 0.1448621 0.0051403
0.0537032 502.5633775 0.1472995 0.0051818
0.0549541 504.6028024 0.1497835 0.0052238
0.0562341 506.6102793 0.1523151 0.0052664
0.0575440 508.5847353 0.1548956 0.0053096
0.0588844 510.5253361 0.1575261 0.0053534
0.0602560 512.4319027 0.1602076 0.0053977
0.0616595 514.2936468 0.1629416 0.0054427
0.0630957 516.1171844 0.1657293 0.0054883
0.0645654 517.8987606 0.1685719 0.0055346
0.0660693 519.6355142 0.1714709 0.0055815
0.0676083 521.3249419 0.1744277 0.0056291
0.0691831 522.9648383 0.1774437 0.0056774
0.0707946 524.5529981 0.1805204 0.0057264
0.0724436 526.0880504 0.1836594 0.0057761
0.0741310 527.5707700 0.1868624 0.0058265
0.0758578 528.9883419 0.1901309 0.0058778
0.0776247 530.3475015 0.1934668 0.0059298
0.0794328 531.6448513 0.1968719 0.0059827
0.0812831 532.8771131 0.2003480 0.0060363
0.0831764 534.0411279 0.2038971 0.0060909
0.0851138 535.1340345 0.2075212 0.0061463
0.0870964 536.1533297 0.2112224 0.0062027
0.0891251 537.0968081 0.2150029 0.0062600
0.0912011 537.9627411 0.2188650 0.0063183
0.0933254 538.7498771 0.2228109 0.0063776
0.0954993 539.4521960 0.2268432 0.0064379
0.0977237 540.0682077 0.2309643 0.0064994
0.1000000 540.5967797 0.2351769 0.0065619
0.1023293 541.0347530 0.2394839 0.0066256
0.1047129 541.3792070 0.2438880 0.0066905
0.1071519 541.6273998 0.2483922 0.0067567
0.1096478 541.7771261 0.2529996 0.0068242
0.1122018 541.8267766 0.2577135 0.0068930
0.1148154 541.7749207 0.2625371 0.0069632
0.1174898 541.6142868 0.2674741 0.0070348
0.1202264 541.3477954 0.2725282 0.0071080
0.1230269 540.9724068 0.2777029 0.0071827
0.1258925 540.4853791 0.2830025 0.0072591
0.1288250 539.8843281 0.2884309 0.0073371
0.1318257 539.1671677 0.2939927 0.0074169
0.1348963 538.3322886 0.2996921 0.0074986
0.1380384 537.3789755 0.3055339 0.0075822
