#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 735.8578165 0.0000000 0.0000000
0.0010233 737.7810608 0.0002213 0.0000472
0.0010471 739.7404882 0.0004471 0.0000674
0.0010715 741.7364562 0.0006776 0.0000833
0.0010965 743.7696207 0.0009129 0.0000971
0.0011220 745.8402199 0.0011529 0.0001096
0.0011482 747.9489694 0.0013978 0.0001212
0.0011749 750.0958689 0.0016478 0.0001321
0.0012023 752.2821109 0.0019028 0.0001426
0.0012303 754.5075759 0.0021630 0.0001527
0.0012589 756.7729794 0.0024285 0.0001625
0.0012882 759.0787981 0.0026993 0.0001721
0.0013183 761.4255687 0.0029756 0.0001815
0.0013490 763.8136488 0.0032574 0.0001907
0.0013804 766.2436940 0.0035449 0.0001999
0.0014125 768.7163600 0.0038382 0.0002089
0.0014454 771.2318854 0.0041373 0.0002179
0.0014791 773.7912835 0.0044424 0.0002268
0.0015136 776.3947926 0.0047535 0.0002357
0.0015488 779.0431878 0.0050709 0.0002445
0.0015849 781.7375420 0.0053945 0.0002534
0.0016218 784.4781533 0.0057245 0.0002622
0.0016596 787.2661541 0.0060609 0.0002710
0.0016982 790.1022600 0.0064040 0.0002799
0.0017378 792.9877226 0.0067539 0.0002887
0.0017783 795.9233168 0.0071105 0.0002976
0.0018197 798.9104138 0.0074741 0.0003065
0.0018621 801.9505633 0.0078448 0.0003155
0.0019055 805.0449576 0.0082227 0.0003245
0.0019498 808.1954445 0.0086079 0.0003335
0.0019953 811.4036931 0.0090005 0.0003426
0.0020417 814.6463961 0.0094006 0.0003518
0.0020893 817.9494240 0.0098084 0.0003610
0.0021380 821.3083060 0.0102241 0.0003703
0.0021878 824.7234596 0.0106476 0.0003796
0.0022387 828.1953615 0.0110792 0.0003890
0.0022909 831.7241310 0.0115190 0.0003985
0.0023442 835.3103045 0.0119672 0.0004081
0.0023988 838.9542397 0.0124238 0.0004177
0.0024547 842.6564135 0.0128890 0.0004274
0.0025119 846.4171239 0.0133629 0.0004372
0.0025704 850.2370267 0.0138457 0.0004471
0.0026303 854.1165391 0.0143375 0.0004570
0.0026915 858.0562572 0.0148384 0.0004671
0.0027542 862.0570751 0.0153487 0.0004772
0.0028184 866.1194698 0.0158684 0.0004874
0.0028840 870.2446333 0.0163977 0.0004978
0.0029512 874.4335196 0.0169368 0.0005082
0.0030200 878.6873803 0.0174857 0.0005187
0.0030903 883.0061559 0.0180448 0.0005293
0.0031623 887.3775071 0.0186140 0.0005400
0.0032359 891.8163364 0.0191936 0.0005508
0.0033113 896.3228226 0.0197837 0.0005618
0.0033884 900.8967273 0.0203846 0.0005728
0.0034674 905.5381697 0.0209962 0.0005839
0.0035481 910.2469113 0.0216190 0.0005951
0.0036308 915.0230714 0.0222529 0.0006065
0.0037154 919.8666499 0.0228981 0.0006179
0.0038019 924.7775873 0.0235549 0.0006295
0.0038905 929.7560028 0.0242235 0.0006411
0.0039811 934.8024328 0.0249039 0.0006529
