#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 1693.6822541 0.0000000 0.0000000
0.0010233 1696.6962350 0.0001649 0.0000227
0.0010471 1699.7593342 0.0003333 0.0000324
0.0010715 1702.8726248 0.0005054 0.0000401
0.0010965 1706.0361065 0.0006811 0.0000468
0.0011220 1709.2514487 0.0008605 0.0000528
0.0011482 1712.5179359 0.0010439 0.0000585
0.0011749 1715.8371180 0.0012311 0.0000638
0.0012023 1719.2093526 0.0014223 0.0000689
0.0012303 1722.6357128 0.0016176 0.0000739
0.0012589 1726.1169138 0.0018170 0.0000787
0.0012882 1729.6539094 0.0020206 0.0000834
0.0013183 1733.2476533 0.0022286 0.0000881
0.0013490 1736.8992185 0.0024410 0.0000926
0.0013804 1740.6100357 0.0026578 0.0000972
0.0014125 1744.3811779 0.0028793 0.0001017
0.0014454 1748.2143140 0.0031053 0.0001061
0.0014791 1752.1108747 0.0033362 0.0001106
0.0015136 1756.0731252 0.0035719 0.0001150
0.0015488 1760.1024962 0.0038125 0.0001195
0.0015849 1764.2018488 0.0040582 0.0001239
0.0016218 1768.3736867 0.0043090 0.0001284
0.0016596 1772.6206327 0.0045651 0.0001329
0.0016982 1776.9460249 0.0048264 0.0001374
0.0017378 1781.3533207 0.0050932 0.0001419
0.0017783 1785.8469313 0.0053656 0.0001464
0.0018197 1790.4306716 0.0056435 0.0001510
0.0018621 1795.1101449 0.0059273 0.0001556
0.0019055 1799.8910737 0.0062168 0.0001602
0.0019498 1804.7790614 0.0065123 0.0001649
0.0019953 1809.6943503 0.0068139 0.0001696
0.0020417 1814.7287392 0.0071217 0.0001744
0.0020893 1819.8606494 0.0074357 0.0001792
0.0021380 1825.0915116 0.0077561 0.0001841
0.0021878 1830.4227563 0.0080831 0.0001890
0.0022387 1835.8558142 0.0084167 0.0001939
0.0022909 1841.3922352 0.0087570 0.0001989
0.0023442 1847.0338076 0.0091042 0.0002040
0.0023988 1852.7814850 0.0094584 0.0002091
0.0024547 1858.6377711 0.0098198 0.0002142
0.0025119 1864.6033813 0.0101883 0.0002195
0.0025704 1870.6806999 0.0105643 0.0002248
0.0026303 1876.8710382 0.0109477 0.0002301
0.0026915 1883.1765424 0.0113387 0.0002355
0.0027542 1889.5988813 0.0117376 0.0002410
0.0028184 1896.1399626 0.0121443 0.0002465
0.0028840 1902.8021706 0.0125590 0.0002521
0.0029512 1909.5870552 0.0129819 0.0002578
0.0030200 1916.5049885 0.0134131 0.0002635
0.0030903 1923.5265232 0.0138528 0.0002694
0.0031623 1930.6765762 0.0143010 0.0002752
0.0032359 1937.9563398 0.0147580 0.0002812
0.0033113 1945.3672444 0.0152238 0.0002872
0.0033884 1952.9106016 0.0156986 0.0002933
0.0034674 1960.5870075 0.0161827 0.0002995
0.0035481 1968.3977734 0.0166760 0.0003057
0.0036308 1976.3445684 0.0171788 0.0003121
0.0037154 1984.4275118 0.0176913 0.0003185
0.0038019 1992.6483918 0.0182135 0.0003250
0.0038905 2001.0079237 0.0187457 0.0003315
0.0039811 2009.5068229 0.0192880 0.0003382
0.0040738 2018.1468777 0.0198406 0.0003449
0.0041687 2026.9288033 0.0204036 0.0003517
0.0042658 2035.8537920 0.0209772 0.0003586
0.0043652 2044.9230359 0.0215616 0.0003656
0.0044668 2054.1382041 0.0221569 0.0003726
0.0045709 2063.5002504 0.0227633 0.0003798
0.0046774 2073.0110823 0.0233811 0.0003870
0.0047863 2082.6723688 0.0240103 0.0003944
0.0048978 2092.4862559 0.0246511 0.0004018
0.0050119 2102.4556049 0.0253038 0.0004093
0.0051286 2112.5820847 0.0259685 0.0004168
0.0052481 2122.8695106 0.0266455 0.0004245
0.0053703 2133.3216973 0.0273348 0.0004323
0.0054954 2143.8988258 0.0280367 0.0004401
0.0056234 2154.6428612 0.0287514 0.0004481
0.0057544 2165.5507038 0.0294790 0.0004561
0.0058884 2176.6218768 0.0302199 0.0004643
0.0060256 2187.8568569 0.0309741 0.0004725
0.0061660 2199.2558826 0.0317419 0.0004808
0.0063096 2210.8184772 0.0325235 0.0004893
0.0064565 2222.5463095 0.0333191 0.0004978
0.0066069 2234.4386644 0.0341290 0.0005064
0.0067608 2246.4969724 0.0349532 0.0005151
0.0069183 2258.7219488 0.0357922 0.0005239
0.0070795 2271.1162166 0.0366460 0.0005328
0.0072444 2283.6804909 0.0375148 0.0005418
0.0074131 2296.4183484 0.0383991 0.0005509
0.0075858 2309.3326503 0.0392989 0.0005601
0.0077625 2322.4281655 0.0402144 0.0005694
0.0079433 2335.6803347 0.0411460 0.0005788
0.0081283 2349.1077561 0.0420939 0.0005883
0.0083176 2362.7173445 0.0430582 0.0005979
0.0085114 2376.5081461 0.0440394 0.0006077
0.0087096 2390.4801609 0.0450375 0.0006175
0.0089125 2404.6317198 0.0460529 0.0006274
0.0091201 2418.9628229 0.0470858 0.0006374
0.0093325 2433.4739469 0.0481365 0.0006475
0.0095499 2448.1653305 0.0492053 0.0006578
0.0097724 2463.0388809 0.0502923 0.0006681
0.0100000 2478.0962674 0.0513979 0.0006786
0.0102329 2493.3410665 0.0525224 0.0006891
0.0104713 2508.7773317 0.0536660 0.0006998
0.0107152 2524.4119776 0.0548291 0.0007105
0.0109648 2540.2128151 0.0560118 0.0007214
0.0112202 2556.2113181 0.0572145 0.0007324
0.0114815 2572.4036715 0.0584376 0.0007435
0.0117490 2588.7891600 0.0596812 0.0007547
0.0120226 2605.3670684 0.0609457 0.0007660
0.0123027 2622.1373965 0.0622314 0.0007775
0.0125893 2639.1013366 0.0635386 0.0007890
0.0128825 2656.2607963 0.0648676 0.0008006
0.0131826 2673.6193520 0.0662189 0.0008124
0.0134896 2691.1827264 0.0675925 0.0008243
0.0138038 2711.2277678 0.0689887 0.0008363
0.0141254 2731.6931762 0.0704064 0.0008483
0.0144544 2752.5748981 0.0718463 0.0008605
0.0147911 2773.8824711 0.0733084 0.0008727
0.0151356 2795.6235250 0.0747931 0.0008850
0.0154882 2817.8080745 0.0763004 0.0008974
0.0158489 2840.3750792 0.0778306 0.0009098
0.0162181 2863.6106652 0.0793840 0.0009223
0.0165959 2887.2108236 0.0809605 0.0009349
0.0169824 2910.6123627 0.0825606 0.0009476
0.0173780 2934.4206778 0.0841851 0.0009603
0.0177828 2959.5029695 0.0858333 0.0009731
0.0181970 2985.1021956 0.0875056 0.0009859
0.0186209 3011.2264631 0.0892021 0.0009988
