#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 350.7247439 0.0000000 0.0000000
0.0010233 353.3765294 0.0009263 0.0002499
0.0010471 356.0517106 0.0018670 0.0003554
0.0010715 358.7492443 0.0028225 0.0004378
0.0010965 361.4682365 0.0037928 0.0005085
0.0011220 364.2077631 0.0047782 0.0005718
0.0011482 366.9674667 0.0057791 0.0006301
0.0011749 369.7466617 0.0067955 0.0006845
0.0012023 372.5454673 0.0078278 0.0007361
0.0012303 375.3639729 0.0088762 0.0007853
0.0012589 378.2029535 0.0099410 0.0008327
0.0012882 381.0635415 0.0110224 0.0008786
0.0013183 383.9475549 0.0121207 0.0009231
0.0013490 386.8576166 0.0132361 0.0009665
0.0013804 389.7899711 0.0143689 0.0010090
0.0014125 392.7395222 0.0155194 0.0010507
0.0014454 395.7147936 0.0166878 0.0010918
0.0014791 398.7148913 0.0178745 0.0011322
0.0015136 401.7393978 0.0190796 0.0011721
0.0015488 404.7880452 0.0203036 0.0012115
0.0015849 407.8608035 0.0215466 0.0012506
0.0016218 410.9580303 0.0228090 0.0012894
0.0016596 414.0805900 0.0240911 0.0013278
0.0016982 417.2299728 0.0253931 0.0013660
0.0017378 420.4080264 0.0267154 0.0014040
0.0017783 423.6118301 0.0280582 0.0014419
0.0018197 426.8384036 0.0294220 0.0014796
0.0018621 430.0957640 0.0308069 0.0015172
0.0019055 433.3831066 0.0322134 0.0015547
0.0019498 436.6998354 0.0336417 0.0015921
0.0019953 440.0455032 0.0350921 0.0016295
0.0020417 443.4200505 0.0365651 0.0016669
0.0020893 446.8236561 0.0380609 0.0017043
0.0021380 450.2569756 0.0395799 0.0017416
0.0021878 453.7212311 0.0411224 0.0017790
0.0022387 457.2182703 0.0426887 0.0018165
0.0022909 460.7506563 0.0442793 0.0018540
0.0023442 464.3158558 0.0458944 0.0018916
0.0023988 467.9101434 0.0475345 0.0019292
0.0024547 471.5404931 0.0491999 0.0019670
0.0025119 475.2065473 0.0508909 0.0020048
0.0025704 478.9078886 0.0526079 0.0020428
0.0026303 482.6445768 0.0543514 0.0020808
0.0026915 486.4170886 0.0561216 0.0021190
0.0027542 490.2262884 0.0579190 0.0021574
0.0028184 494.0736663 0.0597440 0.0021959
0.0028840 497.9612192 0.0615969 0.0022345
0.0029512 501.8882019 0.0634781 0.0022733
0.0030200 505.8496076 0.0653881 0.0023123
0.0030903 509.8547050 0.0673273 0.0023515
0.0031623 513.9027788 0.0692960 0.0023908
0.0032359 517.9932927 0.0712947 0.0024304
0.0033113 522.1261274 0.0733238 0.0024701
0.0033884 526.3014617 0.0753837 0.0025100
0.0034674 530.5197725 0.0774748 0.0025501
0.0035481 534.7822519 0.0795976 0.0025904
0.0036308 539.0906285 0.0817525 0.0026310
0.0037154 543.4473462 0.0839400 0.0026718
0.0038019 547.8557429 0.0861604 0.0027127
0.0038905 552.3048511 0.0884143 0.0027539
0.0039811 556.8048634 0.0907020 0.0027954
0.0040738 561.3560779 0.0930241 0.0028371
0.0041687 565.9581966 0.0953810 0.0028790
0.0042658 570.6115772 0.0977731 0.0029211
0.0043652 575.3165771 0.1002010 0.0029635
0.0044668 580.0744483 0.1026650 0.0030062
0.0045709 584.8867405 0.1051658 0.0030491
0.0046774 589.7559570 0.1077037 0.0030922
0.0047863 594.6814424 0.1102793 0.0031356
0.0048978 599.6587857 0.1128930 0.0031793
0.0050119 604.6972855 0.1155453 0.0032232
0.0051286 609.7963457 0.1182367 0.0032674
0.0052481 614.9555492 0.1209678 0.0033118
0.0053703 620.1749555 0.1237390 0.0033565
0.0054954 625.4551011 0.1265509 0.0034015
0.0056234 630.7968801 0.1294039 0.0034467
0.0057544 636.2018423 0.1322986 0.0034922
0.0058884 641.6724911 0.1352356 0.0035380
0.0060256 647.2122241 0.1382152 0.0035841
0.0061660 652.8172266 0.1412382 0.0036304
0.0063096 658.4881541 0.1443049 0.0036770
0.0064565 664.2300733 0.1474160 0.0037238
0.0066069 670.0427457 0.1505720 0.0037710
0.0067608 675.9262309 0.1537735 0.0038184
0.0069183 681.8813038 0.1570209 0.0038661
0.0070795 687.9087990 0.1603150 0.0039141
0.0072444 694.0111602 0.1636562 0.0039623
0.0074131 700.1908910 0.1670451 0.0040109
0.0075858 706.4476934 0.1704822 0.0040597
0.0077625 712.7781101 0.1739683 0.0041087
0.0079433 719.1907841 0.1775037 0.0041581
0.0081283 725.6853579 0.1810893 0.0042077
0.0083176 732.2614736 0.1847254 0.0042576
0.0085114 738.9192507 0.1884128 0.0043078
0.0087096 745.6595234 0.1921520 0.0043583
0.0089125 752.4837225 0.1959437 0.0044090
0.0091201 759.3942918 0.1997884 0.0044600
0.0093325 766.3946289 0.2036868 0.0045113
0.0095499 773.4871777 0.2076395 0.0045629
0.0097724 780.6624010 0.2116472 0.0046147
0.0100000 787.9318626 0.2157104 0.0046668
0.0102329 795.2950856 0.2198299 0.0047192
0.0104713 802.7520105 0.2240062 0.0047718
0.0107152 810.3032332 0.2282400 0.0048247
0.0109648 817.9500652 0.2325320 0.0048779
0.0112202 825.6943543 0.2368829 0.0049313
0.0114815 833.5402132 0.2412933 0.0049850
0.0117490 841.4859135 0.2457638 0.0050389
0.0120226 849.5299650 0.2502952 0.0050932
0.0123027 857.6804145 0.2548882 0.0051476
0.0125893 865.9366660 0.2595435 0.0052024
0.0128825 874.2981830 0.2642616 0.0052574
0.0131826 882.7655021 0.2690435 0.0053126
0.0134896 891.3399941 0.2738897 0.0053681
0.0138038 900.0236857 0.2788011 0.0054239
0.0141254 908.8200340 0.2837782 0.0054799
0.0144544 917.7344038 0.2888219 0.0055361
0.0147911 926.7576155 0.2939329 0.0055926
0.0151356 935.8967027 0.2991120 0.0056493
0.0154882 945.1548246 0.3043599 0.0057063
0.0158489 954.5319216 0.3096773 0.0057635
0.0162181 964.0284706 0.3150650 0.0058210
0.0165959 973.6457232 0.3205239 0.0058787
0.0169824 983.3868983 0.3260547 0.0059366
0.0173780 993.2558703 0.3316581 0.0059948
0.0177828 1003.2455460 0.3373351 0.0060531
0.0181970 1013.3658201 0.3430863 0.0061117
0.0186209 1023.6161562 0.3489126 0.0061706
0.0190546 1033.9970310 0.3548149 0.0062296
0.0194984 1044.5098753 0.3607940 0.0062889
0.0199526 1055.1573115 0.3668506 0.0063484
0.0204174 1065.9500691 0.3729857 0.0064081
0.0208930 1076.8126858 0.3792002 0.0064681
0.0213796 1088.0043318 0.3854949 0.0065282
0.0218776 1099.7590232 0.3918688 0.0065885
