#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 212.9497471 0.0000000 0.0000000
0.0010233 214.2968969 0.0004362 0.0001969
0.0010471 215.6768514 0.0008796 0.0002802
0.0010715 217.0902363 0.0013305 0.0003453
0.0010965 218.5379453 0.0017889 0.0004013
0.0011220 220.0207234 0.0022548 0.0004515
0.0011482 221.5394644 0.0027283 0.0004978
0.0011749 223.0949281 0.0032095 0.0005410
0.0012023 224.6880978 0.0036984 0.0005820
0.0012303 226.3197779 0.0041951 0.0006211
0.0012589 227.9909666 0.0046998 0.0006587
0.0012882 229.7026619 0.0052123 0.0006951
0.0013183 231.4557877 0.0057329 0.0007304
0.0013490 233.2514462 0.0062615 0.0007648
0.0013804 235.0907102 0.0067982 0.0007984
0.0014125 236.9747118 0.0073431 0.0008313
0.0014454 238.9046429 0.0078962 0.0008636
0.0014791 240.8818293 0.0084576 0.0008953
0.0015136 242.9075523 0.0090274 0.0009265
0.0015488 244.9833463 0.0096054 0.0009573
0.0015849 247.1106265 0.0101919 0.0009877
0.0016218 249.2910914 0.0107869 0.0010177
0.0016596 251.5266031 0.0113903 0.0010474
0.0016982 253.8088338 0.0120023 0.0010767
0.0017378 256.1479735 0.0126229 0.0011058
0.0017783 258.5427709 0.0132521 0.0011346
0.0018197 260.9941197 0.0138899 0.0011631
0.0018621 263.5029437 0.0145364 0.0011913
0.0019055 266.0701665 0.0151916 0.0012194
0.0019498 268.6966522 0.0158556 0.0012472
0.0019953 271.3832051 0.0165284 0.0012748
0.0020417 274.1308086 0.0172099 0.0013022
0.0020893 276.9402672 0.0179004 0.0013294
0.0021380 279.8123853 0.0185996 0.0013564
0.0021878 282.7481164 0.0193078 0.0013832
0.0022387 285.7483245 0.0200250 0.0014098
0.0022909 288.8139035 0.0207510 0.0014363
0.0023442 291.9458366 0.0214861 0.0014626
0.0023988 295.1462692 0.0222302 0.0014887
0.0024547 298.4095996 0.0229833 0.0015147
0.0025119 301.7426212 0.0237454 0.0015405
0.0025704 305.1459001 0.0245167 0.0015661
0.0026303 308.6197046 0.0252971 0.0015916
0.0026915 312.1644516 0.0260867 0.0016169
0.0027542 315.7805584 0.0268854 0.0016420
0.0028184 319.4683825 0.0276933 0.0016670
0.0028840 323.2284303 0.0285105 0.0016919
0.0029512 327.0610596 0.0293369 0.0017166
0.0030200 330.9669555 0.0301727 0.0017412
0.0030903 334.9470119 0.0310178 0.0017656
0.0031623 339.0020928 0.0318722 0.0017898
0.0032359 343.1336285 0.0327361 0.0018139
0.0033113 347.3431683 0.0336094 0.0018379
0.0033884 351.6330363 0.0344922 0.0018617
0.0034674 355.9939362 0.0353845 0.0018854
