#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 159.5039688 -0.0000000 0.0000000
0.0010233 160.5783218 0.0013099 0.0005475
0.0010471 161.6602274 0.0026413 0.0007792
0.0010715 162.7495069 0.0039946 0.0009604
0.0010965 163.8461008 0.0053702 0.0011160
0.0011220 164.9500089 0.0067684 0.0012557
0.0011482 166.0614250 0.0081896 0.0013844
0.0011749 167.1806768 0.0096342 0.0015050
0.0012023 168.3083452 0.0111025 0.0016193
0.0012303 169.4434620 0.0125949 0.0017287
0.0012589 170.5870252 0.0141119 0.0018340
0.0012882 171.7390200 0.0156538 0.0019361
0.0013183 172.8994613 0.0172210 0.0020355
0.0013490 174.0685129 0.0188140 0.0021325
0.0013804 175.2465025 0.0204331 0.0022276
0.0014125 176.4338771 0.0220788 0.0023211
0.0014454 177.6299215 0.0237515 0.0024131
0.0014791 178.8357234 0.0254516 0.0025039
0.0015136 180.0511634 0.0271796 0.0025938
0.0015488 181.2763459 0.0289358 0.0026827
0.0015849 182.5113751 0.0307209 0.0027709
0.0016218 183.7566831 0.0325351 0.0028584
0.0016596 185.0127317 0.0343791 0.0029455
0.0016982 186.2788951 0.0362531 0.0030321
0.0017378 187.5561864 0.0381577 0.0031183
0.0017783 188.8445460 0.0400935 0.0032043
0.0018197 190.1441079 0.0420608 0.0032901
0.0018621 191.4552148 0.0440601 0.0033757
0.0019055 192.7782689 0.0460920 0.0034612
0.0019498 194.1130021 0.0481570 0.0035467
0.0019953 195.4600995 0.0502554 0.0036322
0.0020417 196.8199187 0.0523880 0.0037177
0.0020893 198.1924151 0.0545551 0.0038034
0.0021380 199.5778121 0.0567574 0.0038891
0.0021878 200.9764522 0.0589952 0.0039750
0.0022387 202.3889017 0.0612693 0.0040611
0.0022909 203.8151306 0.0635800 0.0041474
0.0023442 205.2553922 0.0659280 0.0042339
0.0023988 206.7101484 0.0683138 0.0043207
0.0024547 208.1795481 0.0707380 0.0044078
0.0025119 209.6638594 0.0732011 0.0044952
0.0025704 211.1636484 0.0757037 0.0045830
0.0026303 212.6786917 0.0782464 0.0046711
0.0026915 214.2099725 0.0808297 0.0047596
0.0027542 215.7575949 0.0834543 0.0048485
0.0028184 217.3216634 0.0861208 0.0049378
0.0028840 218.9024609 0.0888296 0.0050275
0.0029512 220.5003897 0.0915815 0.0051177
0.0030200 222.1160902 0.0943771 0.0052084
0.0030903 223.7495477 0.0972169 0.0052995
0.0031623 225.4013580 0.1001016 0.0053911
0.0032359 227.0717147 0.1030319 0.0054831
0.0033113 228.7608562 0.1060083 0.0055757
0.0033884 230.4693188 0.1090315 0.0056688
0.0034674 232.1976834 0.1121021 0.0057625
0.0035481 233.9459054 0.1152208 0.0058566
0.0036308 235.2364697 0.1183883 0.0059514
0.0037154 237.0747872 0.1216061 0.0060466
0.0038019 244.1220483 0.1248381 0.0061398
0.0038905 245.9666075 0.1280906 0.0062307
0.0039811 247.8308453 0.1313939 0.0063222
0.0040738 249.7228953 0.1347487 0.0064144
0.0041687 251.6436811 0.1381554 0.0065073
0.0042658 253.5901192 0.1416148 0.0066008
0.0043652 255.5666486 0.1451276 0.0066950
0.0044668 257.5707966 0.1486943 0.0067898
0.0045709 259.6042316 0.1523155 0.0068852
0.0046774 261.6677282 0.1559920 0.0069813
0.0047863 263.7618228 0.1597244 0.0070780
0.0048978 265.8876176 0.1635132 0.0071753
0.0050119 268.0452020 0.1673593 0.0072733
0.0051286 270.2361253 0.1712630 0.0073719
0.0052481 272.4610133 0.1752253 0.0074711
0.0053703 274.7202829 0.1792466 0.0075709
0.0054954 277.0149173 0.1833276 0.0076713
0.0056234 279.3456615 0.1874689 0.0077723
0.0057544 281.7134092 0.1916713 0.0078739
0.0058884 284.1188754 0.1959352 0.0079761
0.0060256 286.5632221 0.2002614 0.0080788
0.0061660 289.0471047 0.2046504 0.0081821
0.0063096 291.5713874 0.2091030 0.0082860
0.0064565 294.1370234 0.2136196 0.0083904
0.0066069 296.7454428 0.2182010 0.0084953
0.0067608 299.3972117 0.2228477 0.0086007
0.0069183 302.0931644 0.2275604 0.0087067
0.0070795 304.8346713 0.2323397 0.0088131
0.0072444 307.6226858 0.2371861 0.0089200
0.0074131 310.4583997 0.2421004 0.0090274
0.0075858 313.3417832 0.2470829 0.0091352
0.0077625 316.2756667 0.2521344 0.0092435
0.0079433 319.2606161 0.2572555 0.0093522
0.0081283 322.2976148 0.2624466 0.0094613
0.0083176 325.3876459 0.2677084 0.0095708
0.0085114 328.5320798 0.2730415 0.0096807
0.0087096 331.7313934 0.2784463 0.0097909
0.0089125 334.9892810 0.2839235 0.0099015
0.0091201 338.3054148 0.2894735 0.0100124
0.0093325 341.6808972 0.2950969 0.0101236
0.0095499 345.1172477 0.3007942 0.0102351
0.0097724 348.6160156 0.3065659 0.0103469
0.0100000 352.1798524 0.3124126 0.0104589
0.0102329 355.8082815 0.3183347 0.0105711
0.0104713 359.5040141 0.3243327 0.0106836
0.0107152 363.2682121 0.3304070 0.0107963
0.0109648 367.1024546 0.3365581 0.0109091
0.0112202 371.0086483 0.3427866 0.0110220
0.0114815 374.9885213 0.3490927 0.0111351
0.0117490 379.0437421 0.3554769 0.0112483
0.0120226 383.1759194 0.3619397 0.0113616
0.0123027 387.3866621 0.3684815 0.0114750
0.0125893 391.6781750 0.3751025 0.0115884
0.0128825 396.0532288 0.3818033 0.0117017
0.0131826 400.5122704 0.3885840 0.0118151
0.0134896 405.0580408 0.3954452 0.0119285
0.0138038 409.6923873 0.4023871 0.0120418
0.0141254 414.4175443 0.4094100 0.0121550
0.0144544 419.2365507 0.4165142 0.0122681
0.0147911 424.1506282 0.4237000 0.0123811
0.0151356 429.1621900 0.4309676 0.0124940
0.0154882 434.2734407 0.4383173 0.0126066
0.0158489 439.4868235 0.4457494 0.0127191
0.0162181 444.8052581 0.4532640 0.0128313
0.0165959 450.2309195 0.4608614 0.0129433
0.0169824 455.7673530 0.4685415 0.0130550
0.0173780 461.4164655 0.4763048 0.0131664
0.0177828 467.1807298 0.4841513 0.0132775
0.0181970 473.0631253 0.4920811 0.0133882
0.0186209 479.0671377 0.5000943 0.0134985
0.0190546 485.1953890 0.5081910 0.0136085
0.0194984 491.4508287 0.5163712 0.0137180
0.0199526 497.8361679 0.5246350 0.0138271
0.0204174 504.3552203 0.5329825 0.0139357
0.0208930 511.0128124 0.5414135 0.0140438
0.0213796 517.8081695 0.5499280 0.0141513
0.0218776 524.7482634 0.5585262 0.0142583
0.0223872 531.8348817 0.5672078 0.0143648
0.0229087 539.0735063 0.5759727 0.0144706
0.0234423 546.4659844 0.5848211 0.0145759
0.0239883 554.0168447 0.5937524 0.0146805
0.0245471 561.7268618 0.6027668 0.0147844
0.0251189 569.1881628 0.6118652 0.0148877
0.0257040 574.8592927 0.6210711 0.0149911
0.0263027 580.6756956 0.6303976 0.0150950
0.0269153 586.6002489 0.6398453 0.0151994
0.0275423 592.6306285 0.6494150 0.0153043
0.0281838 598.7680264 0.6591077 0.0154095
0.0288403 605.0141705 0.6689241 0.0155152
0.0295121 611.3704313 0.6788651 0.0156213
0.0301995 617.8366301 0.6889315 0.0157278
0.0309030 624.4163420 0.6991242 0.0158345
0.0316228 631.1104609 0.7094441 0.0159416
0.0323594 637.9201189 0.7198918 0.0160490
0.0331131 644.8460907 0.7304687 0.0161567
0.0338844 651.8890317 0.7411752 0.0162645
0.0346737 659.0512062 0.7520123 0.0163727
0.0354813 666.3326738 0.7629812 0.0164810
0.0363078 673.7341496 0.7740824 0.0165894
0.0371535 681.2566465 0.7853172 0.0166981
0.0380189 688.9010583 0.7966864 0.0168068
