#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 188.6451313 -0.0000000 0.0000000
0.0010233 189.7672292 0.0004924 0.0002362
0.0010471 190.9161343 0.0009933 0.0003363
0.0010715 192.0925914 0.0015028 0.0004147
0.0010965 193.2971521 0.0020209 0.0004821
0.0011220 194.5305314 0.0025477 0.0005425
0.0011482 195.7934597 0.0030834 0.0005983
0.0011749 197.0865776 0.0036280 0.0006505
0.0012023 198.4106898 0.0041815 0.0006999
0.0012303 199.7665116 0.0047442 0.0007472
0.0012589 201.1549221 0.0053160 0.0007928
0.0012882 202.5766812 0.0058971 0.0008368
0.0013183 204.0327129 0.0064875 0.0008796
0.0013490 205.5239112 0.0070873 0.0009214
0.0013804 207.0512894 0.0076965 0.0009622
0.0014125 208.6157714 0.0083154 0.0010022
0.0014454 210.2184895 0.0089438 0.0010415
0.0014791 211.8606211 0.0095820 0.0010801
0.0015136 213.5433433 0.0102299 0.0011182
0.0015488 215.2680420 0.0108876 0.0011558
0.0015849 217.0360879 0.0115553 0.0011930
0.0016218 218.8489713 0.0122328 0.0012297
0.0016596 220.7084355 0.0129204 0.0012660
0.0016982 222.6029620 0.0136180 0.0013020
0.0017378 224.5479586 0.0143257 0.0013377
0.0017783 226.5395807 0.0150436 0.0013730
0.0018197 228.5786032 0.0157717 0.0014081
0.0018621 230.6659054 0.0165101 0.0014429
0.0019055 232.8022321 0.0172587 0.0014774
0.0019498 234.9883882 0.0180178 0.0015117
0.0019953 237.2252080 0.0187872 0.0015458
0.0020417 239.5133770 0.0195671 0.0015797
0.0020893 241.8536999 0.0203575 0.0016133
0.0021380 244.2469068 0.0211585 0.0016468
0.0021878 246.6938173 0.0219700 0.0016800
0.0022387 249.1951019 0.0227921 0.0017131
0.0022909 251.7516100 0.0236248 0.0017460
0.0023442 254.3665454 0.0244683 0.0017787
0.0023988 257.0330087 0.0253225 0.0018112
0.0024547 259.7575864 0.0261875 0.0018435
0.0025119 262.5408745 0.0270633 0.0018757
0.0025704 265.3831709 0.0279499 0.0019077
0.0026303 268.2850717 0.0288474 0.0019395
0.0026915 271.2469346 0.0297559 0.0019712
0.0027542 274.2691470 0.0306753 0.0020027
0.0028184 277.3521857 0.0316057 0.0020340
0.0028840 280.4963785 0.0325472 0.0020652
0.0029512 283.7023513 0.0334997 0.0020962
0.0030200 286.9706107 0.0344634 0.0021270
0.0030903 290.3018720 0.0354383 0.0021577
0.0031623 293.6969398 0.0364243 0.0021882
0.0032359 297.1568870 0.0374216 0.0022186
0.0033113 300.6830547 0.0384303 0.0022488
0.0033884 304.2770821 0.0394503 0.0022788
0.0034674 307.9320848 0.0404816 0.0023087
0.0035481 311.6533080 0.0415245 0.0023385
0.0036308 315.4430167 0.0425788 0.0023680
0.0037154 319.3010321 0.0436447 0.0023974
0.0038019 323.2272945 0.0447223 0.0024267
0.0038905 327.2215953 0.0458115 0.0024558
0.0039811 331.2840539 0.0469124 0.0024848
0.0040738 335.4150575 0.0480251 0.0025136
0.0041687 339.6152022 0.0491497 0.0025422
0.0042658 343.8853523 0.0502862 0.0025707
0.0043652 348.2273854 0.0514347 0.0025990
0.0044668 352.6432385 0.0525953 0.0026272
0.0045709 357.1264446 0.0537681 0.0026553
0.0046774 361.6796860 0.0549530 0.0026832
0.0047863 366.3077308 0.0561503 0.0027109
0.0048978 371.0098938 0.0573600 0.0027385
0.0050119 375.7851914 0.0585821 0.0027660
0.0051286 380.6333256 0.0598168 0.0027933
0.0052481 385.5541176 0.0610641 0.0028205
0.0053703 390.5479548 0.0623242 0.0028475
0.0054954 395.6157610 0.0635971 0.0028744
0.0056234 400.7594140 0.0648830 0.0029012
0.0057544 405.9817149 0.0661819 0.0029278
0.0058884 411.2788194 0.0674940 0.0029543
0.0060256 416.6487009 0.0688193 0.0029807
0.0061660 422.0975284 0.0701580 0.0030069
0.0063096 427.6243186 0.0715102 0.0030330
0.0064565 433.2282964 0.0728760 0.0030590
0.0066069 438.9089554 0.0742556 0.0030848
0.0067608 444.6668914 0.0756490 0.0031106
0.0069183 450.5032669 0.0770563 0.0031362
0.0070795 456.4206746 0.0784778 0.0031616
0.0072444 462.4210517 0.0799136 0.0031870
0.0074131 468.4925070 0.0813637 0.0032123
0.0075858 474.6489881 0.0828284 0.0032374
0.0077625 480.8887067 0.0843077 0.0032624
0.0079433 487.2099641 0.0858019 0.0032874
0.0081283 493.6121942 0.0873110 0.0033122
0.0083176 500.0949796 0.0888353 0.0033369
0.0085114 506.6595125 0.0903748 0.0033615
0.0087096 513.3079089 0.0919298 0.0033860
0.0089125 520.0441621 0.0935004 0.0034104
0.0091201 526.8652920 0.0950868 0.0034347
0.0093325 533.7669475 0.0966891 0.0034589
0.0095499 540.7578309 0.0983076 0.0034830
0.0097724 547.8360943 0.0999423 0.0035070
0.0100000 555.0009629 0.1015935 0.0035309
0.0102329 562.2523175 0.1032614 0.0035547
0.0104713 569.5917675 0.1049462 0.0035785
0.0107152 577.0219950 0.1066479 0.0036021
0.0109648 584.5629080 0.1083669 0.0036257
0.0112202 592.1480474 0.1101033 0.0036492
0.0114815 599.8464948 0.1118574 0.0036726
0.0117490 607.6512169 0.1136292 0.0036959
0.0120226 615.5545843 0.1154191 0.0037192
0.0123027 623.5481332 0.1172271 0.0037423
0.0125893 631.6223268 0.1190536 0.0037654
0.0128825 639.7669729 0.1208987 0.0037885
0.0131826 647.9712831 0.1227629 0.0038114
0.0134896 656.2235151 0.1246464 0.0038343
0.0138038 664.7267414 0.1265494 0.0038571
0.0141254 673.3042348 0.1284719 0.0038799
0.0144544 681.9874665 0.1304140 0.0039026
0.0147911 690.7750059 0.1323761 0.0039252
0.0151356 699.6665550 0.1343584 0.0039477
0.0154882 708.6632463 0.1363611 0.0039702
0.0158489 717.7680600 0.1383844 0.0039926
0.0162181 726.9865393 0.1404286 0.0040150
0.0165959 736.3139756 0.1424939 0.0040372
0.0169824 745.7522760 0.1445805 0.0040595
0.0173780 755.3103814 0.1466887 0.0040816
0.0177828 764.9866227 0.1488188 0.0041037
0.0181970 774.7807019 0.1509709 0.0041258
0.0186209 784.6933940 0.1531453 0.0041477
0.0190546 794.7274406 0.1553422 0.0041696
0.0194984 804.8881466 0.1575619 0.0041915
0.0199526 815.1837971 0.1598047 0.0042133
