#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 204.5169019 -0.0000000 0.0000000
0.0010233 205.7215720 0.0010220 0.0003784
0.0010471 206.9362861 0.0020617 0.0005389
0.0010715 208.1605374 0.0031194 0.0006646
0.0010965 209.3940874 0.0041953 0.0007728
0.0011220 210.6366084 0.0052898 0.0008701
0.0011482 211.8878471 0.0064032 0.0009599
0.0011749 213.1476990 0.0075358 0.0010441
0.0012023 214.4160450 0.0086879 0.0011241
0.0012303 215.6930043 0.0098598 0.0012008
0.0012589 216.9787856 0.0110520 0.0012748
0.0012882 218.2737762 0.0122647 0.0013467
0.0013183 219.5785723 0.0134983 0.0014167
0.0013490 220.8940381 0.0147531 0.0014852
0.0013804 222.2214404 0.0160295 0.0015525
0.0014125 223.5621352 0.0173278 0.0016186
0.0014454 224.9094613 0.0186483 0.0016839
0.0014791 226.2681129 0.0199916 0.0017485
0.0015136 227.6392373 0.0213578 0.0018124
0.0015488 229.0227602 0.0227474 0.0018758
0.0015849 230.4185175 0.0241608 0.0019387
0.0016218 231.8265540 0.0255984 0.0020013
0.0016596 233.2470783 0.0270605 0.0020636
0.0016982 234.6802692 0.0285475 0.0021257
0.0017378 236.1267079 0.0300599 0.0021876
0.0017783 237.5869607 0.0315979 0.0022494
0.0018197 239.0620260 0.0331622 0.0023112
0.0018621 240.5546755 0.0347529 0.0023729
0.0019055 242.0551336 0.0363706 0.0024346
0.0019498 243.5725352 0.0380157 0.0024964
0.0019953 245.1065971 0.0396886 0.0025583
0.0020417 246.6573045 0.0413898 0.0026202
0.0020893 248.2244486 0.0431196 0.0026823
0.0021380 249.8080892 0.0448785 0.0027446
0.0021878 251.4082858 0.0466669 0.0028070
0.0022387 253.0252321 0.0484853 0.0028697
0.0022909 254.6593454 0.0503342 0.0029326
0.0023442 256.3111324 0.0522139 0.0029957
0.0023988 257.9814276 0.0541250 0.0030591
0.0024547 259.6711846 0.0560680 0.0031228
0.0025119 261.3817447 0.0580432 0.0031868
0.0025704 263.1125118 0.0600512 0.0032510
0.0026303 264.8604459 0.0620923 0.0033157
0.0026915 266.6299579 0.0641673 0.0033806
0.0027542 268.4210182 0.0662764 0.0034459
0.0028184 270.2337755 0.0684202 0.0035115
0.0028840 272.0682599 0.0705992 0.0035776
0.0029512 273.9247693 0.0728139 0.0036440
0.0030200 275.8037508 0.0750647 0.0037108
0.0030903 277.7058898 0.0773523 0.0037780
0.0031623 279.6320209 0.0796770 0.0038456
0.0032359 281.5831276 0.0820395 0.0039136
0.0033113 283.5592993 0.0844402 0.0039820
0.0033884 285.5572576 0.0868797 0.0040509
0.0034674 287.5823373 0.0893585 0.0041202
0.0035481 289.6345385 0.0918771 0.0041899
0.0036308 291.7137122 0.0944360 0.0042601
0.0037154 293.8200968 0.0970358 0.0043307
0.0038019 295.9536624 0.0996771 0.0044018
0.0038905 298.1148562 0.1023603 0.0044734
0.0039811 300.3040656 0.1050861 0.0045454
0.0040738 302.5220356 0.1078550 0.0046179
0.0041687 304.7695710 0.1106676 0.0046908
0.0042658 307.0478938 0.1135243 0.0047642
0.0043652 309.3585835 0.1164259 0.0048381
0.0044668 311.6988088 0.1193728 0.0049125
0.0045709 314.0698512 0.1223656 0.0049873
0.0046774 316.4739759 0.1254050 0.0050626
0.0047863 318.9111828 0.1284914 0.0051384
0.0048978 321.3816806 0.1316256 0.0052147
0.0050119 323.8857970 0.1348080 0.0052915
0.0051286 326.4238898 0.1380393 0.0053687
0.0052481 328.9966445 0.1413200 0.0054465
0.0053703 331.6050147 0.1446509 0.0055247
0.0054954 334.2501926 0.1480325 0.0056034
0.0056234 336.9336088 0.1514654 0.0056825
0.0057544 339.6496304 0.1549501 0.0057622
0.0058884 342.4050526 0.1584875 0.0058423
0.0060256 345.1998159 0.1620780 0.0059229
0.0061660 348.0338009 0.1657224 0.0060040
0.0063096 350.9071569 0.1694211 0.0060855
0.0064565 353.8200922 0.1731750 0.0061676
0.0066069 356.7730541 0.1769846 0.0062500
0.0067608 359.7666386 0.1808505 0.0063330
0.0069183 362.8018293 0.1847735 0.0064164
0.0070795 365.8798480 0.1887542 0.0065003
0.0072444 369.0023638 0.1927933 0.0065847
0.0074131 372.1680355 0.1968913 0.0066695
0.0075858 375.3760286 0.2010491 0.0067547
0.0077625 378.6297706 0.2052673 0.0068404
0.0079433 381.9293211 0.2095465 0.0069266
0.0081283 385.2747992 0.2138875 0.0070132
0.0083176 388.6664435 0.2182908 0.0071002
0.0085114 392.1048499 0.2227574 0.0071877
0.0087096 395.5907934 0.2272879 0.0072756
0.0089125 399.1256748 0.2318829 0.0073639
0.0091201 402.7111928 0.2365431 0.0074526
0.0093325 406.3440691 0.2412694 0.0075418
0.0095499 410.0268072 0.2460625 0.0076314
0.0097724 413.7620000 0.2509230 0.0077214
0.0100000 417.5494091 0.2558517 0.0078118
0.0102329 421.3892133 0.2608493 0.0079026
0.0104713 425.2812636 0.2659167 0.0079937
0.0107152 429.2261859 0.2710546 0.0080853
0.0109648 433.2248146 0.2762637 0.0081773
0.0112202 437.2782227 0.2815448 0.0082696
0.0114815 441.3883177 0.2868987 0.0083624
0.0117490 445.5574838 0.2923263 0.0084555
0.0120226 449.7788365 0.2978282 0.0085489
0.0123027 454.0591112 0.3034052 0.0086427
0.0125893 458.3986062 0.3090583 0.0087369
0.0128825 462.7972021 0.3147882 0.0088314
0.0131826 467.2550182 0.3205957 0.0089263
0.0134896 471.7726505 0.3264817 0.0090215
0.0138038 476.3510826 0.3324470 0.0091171
0.0141254 480.9917749 0.3384925 0.0092129
0.0144544 485.6989595 0.3446190 0.0093091
0.0147911 490.4622051 0.3508273 0.0094057
0.0151356 495.2922112 0.3571184 0.0095025
0.0154882 500.1882924 0.3634932 0.0095996
0.0158489 505.1502698 0.3699526 0.0096971
0.0162181 510.1779348 0.3764973 0.0097948
0.0165959 515.2717643 0.3831283 0.0098928
0.0169824 520.4324735 0.3898467 0.0099911
0.0173780 525.6616719 0.3966532 0.0100897
0.0177828 530.9615054 0.4035489 0.0101886
0.0181970 536.3338217 0.4105347 0.0102877
0.0186209 541.7718852 0.4176115 0.0103871
0.0190546 547.2837430 0.4247803 0.0104868
0.0194984 552.8686201 0.4320421 0.0105867
0.0199526 558.5267550 0.4393979 0.0106869
0.0204174 564.2583265 0.4468487 0.0107873
0.0208930 570.0642287 0.4543954 0.0108879
0.0213796 575.9463691 0.4620393 0.0109888
0.0218776 581.9073107 0.4697811 0.0110899
0.0223872 587.9880041 0.4776220 0.0111912
0.0229087 594.2989021 0.4855613 0.0112927
0.0234423 600.8029289 0.4935984 0.0113942
0.0239883 607.4798773 0.5017329 0.0114958
0.0245471 614.3033414 0.5099650 0.0115974
0.0251189 621.2395830 0.5182949 0.0116989
0.0257040 629.6682209 0.5267128 0.0117999
0.0263027 638.0293233 0.5352140 0.0119004
0.0269153 646.5644203 0.5437990 0.0120003
0.0275423 655.2758964 0.5524676 0.0120995
0.0281838 664.1666126 0.5612197 0.0121980
0.0288403 673.2374034 0.5700553 0.0122959
0.0295121 682.4977465 0.5789746 0.0123931
0.0301995 691.9465689 0.5879774 0.0124895
0.0309030 701.5862549 0.5970637 0.0125853
0.0316228 711.4198446 0.6062335 0.0126803
0.0323594 721.4503778 0.6154867 0.0127746
0.0331131 731.6811927 0.6248235 0.0128681
0.0338844 742.1152100 0.6342439 0.0129609
0.0346737 752.7539795 0.6437477 0.0130529
0.0354813 763.6007796 0.6533351 0.0131441
0.0363078 774.6582927 0.6630063 0.0132345
0.0371535 785.9226442 0.6727610 0.0133241
0.0380189 797.4040867 0.6825995 0.0134130
0.0389045 809.1019049 0.6925219 0.0135010
0.0398107 821.0156220 0.7025286 0.0135882
0.0407380 833.1455955 0.7126193 0.0136746
0.0416869 845.4926600 0.7227947 0.0137602
0.0426580 858.0596171 0.7330547 0.0138450
0.0436516 870.8505796 0.7433997 0.0139290
0.0446684 883.8563680 0.7538299 0.0140122
0.0457088 897.0830623 0.7643460 0.0140945
0.0467735 910.5300067 0.7749483 0.0141761
0.0478630 924.1935057 0.7856371 0.0142569
0.0489779 938.0708768 0.7964131 0.0143369
0.0501187 952.1605108 0.8072771 0.0144161
0.0512861 966.4622286 0.8182295 0.0144946
0.0524807 980.9610689 0.8292714 0.0145723
0.0537032 995.7026314 0.8404032 0.0146492
0.0549541 1010.6094263 0.8516261 0.0147254
0.0562341 1025.6820496 0.8629411 0.0148009
0.0575440 1040.9253892 0.8743500 0.0148757
0.0588844 1056.3495783 0.8858538 0.0149498
0.0602560 1071.9716647 0.8974540 0.0150233
0.0616595 1087.8160876 0.9091514 0.0150961
0.0630957 1103.7980848 0.9209472 0.0151682
0.0645654 1119.9236173 0.9328436 0.0152398
0.0660693 1136.1900622 0.9448424 0.0153108
0.0676083 1152.5822792 0.9569455 0.0153812
0.0691831 1169.0863201 0.9691549 0.0154510
0.0707946 1185.6905018 0.9814730 0.0155204
0.0724436 1202.3854063 0.9939025 0.0155892
0.0741310 1219.1438525 1.0064456 0.0156576
0.0758578 1235.9607142 1.0191053 0.0157256
0.0776247 1252.8189437 1.0318846 0.0157932
0.0794328 1269.6954130 1.0447868 0.0158604
0.0812831 1286.5689020 1.0578151 0.0159273
0.0831764 1303.4199785 1.0709732 0.0159939
0.0851138 1320.2329061 1.0842650 0.0160602
0.0870964 1336.9923061 1.0976946 0.0161263
0.0891251 1353.6544264 1.1112661 0.0161922
0.0912011 1370.2143792 1.1249848 0.0162580
0.0933254 1386.6418839 1.1388546 0.0163237
0.0954993 1402.9092826 1.1528815 0.0163894
0.0977237 1418.9917783 1.1670701 0.0164550
0.1000000 1434.8692238 1.1814267 0.0165207
0.1023293 1450.5059737 1.1959574 0.0165865
0.1047129 1465.8830728 1.2106684 0.0166525
0.1071519 1480.9781085 1.2255664 0.0167187
0.1096478 1495.7577007 1.2406582 0.0167851
0.1122018 1510.1920456 1.2559516 0.0168519
0.1148154 1524.2567039 1.2714542 0.0169190
0.1174898 1537.9317667 1.2871743 0.0169866
0.1202264 1551.1901723 1.3031201 0.0170547
0.1230269 1564.0018782 1.3193008 0.0171234
0.1258925 1576.3534133 1.3357256 0.0171928
0.1288250 1588.2165235 1.3524045 0.0172629
0.1318257 1599.5684386 1.3693477 0.0173338
0.1348963 1610.3934224 1.3865654 0.0174056
0.1380384 1620.6828911 1.4040695 0.0174784
0.1412538 1630.3896358 1.4218710 0.0175523
0.1445440 1639.5343997 1.4399822 0.0176273
0.1479108 1648.0947704 1.4584150 0.0177036
0.1513561 1656.0556075 1.4771833 0.0177813
0.1548817 1663.4076124 1.4963000 0.0178604
0.1584893 1670.1507850 1.5157792 0.0179411
0.1621810 1676.2919205 1.5356358 0.0180235
0.1659587 1681.8117061 1.5558836 0.0181077
0.1698244 1686.7252821 1.5765395 0.0181938
0.1737801 1691.0353905 1.5976190 0.0182820
0.1778279 1694.7444155 1.6191379 0.0183724
0.1819701 1697.8620137 1.6411142 0.0184651
0.1862087 1700.4061865 1.6635647 0.0185602
0.1905461 1702.3901668 1.6865076 0.0186580
0.1949845 1703.8255185 1.7099614 0.0187585
0.1995262 1704.7376344 1.7339451 0.0188619
0.2041738 1705.1397474 1.7584779 0.0189683
0.2089296 1705.0517666 1.7835800 0.0190781
0.2137962 1704.4994423 1.8092716 0.0191912
0.2187762 1703.5179431 1.8355734 0.0193078
0.2238721 1702.1107262 1.8625068 0.0194282
0.2290868 1700.3222589 1.8900936 0.0195525
0.2344229 1698.1755498 1.9183556 0.0196809
0.2398833 1695.6931305 1.9473157 0.0198136
0.2454709 1692.9023014 1.9769965 0.0199507
0.2511886 1689.8369195 2.0074213 0.0200924
0.2570396 1686.5189205 2.0386132 0.0202390
0.2630268 1682.9766775 2.0705970 0.0203906
0.2691535 1679.2374910 2.1033969 0.0205474
0.2754229 1675.3227004 2.1370373 0.0207095
0.2818383 1671.2571025 2.1715433 0.0208773
0.2884032 1667.0690706 2.2069408 0.0210508
0.2951209 1662.8163047 2.2432548 0.0212302
0.3019952 1658.4067708 2.2805107 0.0214157
0.3090295 1653.8810020 2.3187381 0.0216075
0.3162278 1649.5189158 2.3579615 0.0218057
0.3235937 1645.6335714 2.3981999 0.0220106
0.3311311 1643.6023819 2.4394533 0.0222216
0.3388442 1641.8033044 2.4817113 0.0224385
0.3467369 1639.8746400 2.5250025 0.0226613
0.3548134 1637.8331979 2.5693559 0.0228903
0.3630781 1635.6845814 2.6148005 0.0231256
0.3715352 1633.4481032 2.6613660 0.0233673
0.3801894 1631.1291280 2.7090826 0.0236157
0.3890451 1628.7400543 2.7579816 0.0238708
0.3981072 1626.2835047 2.8080941 0.0241327
0.4073803 1623.7685396 2.8594515 0.0244017
0.4168694 1621.1981395 2.9120884 0.0246779
0.4265795 1618.5757615 2.9660369 0.0249614
0.4365158 1615.9053397 3.0213329 0.0252523
0.4466836 1613.1806751 3.0780115 0.0255509
0.4570882 1610.4105894 3.1361096 0.0258572
0.4677351 1607.5882874 3.1956635 0.0261715
0.4786301 1604.7125770 3.2567134 0.0264937
0.4897788 1602.1998770 3.3192948 0.0268242
0.5011872 1598.4788112 3.3834533 0.0271631
0.5128614 1594.7122052 3.4492608 0.0275109
0.5248075 1590.8986283 3.5167615 0.0278680
0.5370318 1587.0366501 3.5860007 0.0282343
0.5495409 1583.1241246 3.6570265 0.0286103
0.5623413 1579.1591444 3.7298882 0.0289959
0.5754399 1575.1387291 3.8046358 0.0293915
0.5888437 1571.0610904 3.8813208 0.0297972
0.6025596 1566.9231289 3.9599980 0.0302132
0.6165950 1562.7017167 4.0407228 0.0306398
0.6309573 1558.3994765 4.1235534 0.0310771
0.6456542 1554.0061558 4.2085490 0.0315255
0.6606934 1549.5162709 4.2957755 0.0319851
