#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 780.1285124 0.0000000 0.0000000
0.0010233 782.9022743 0.0003577 0.0000724
0.0010471 785.7011297 0.0007223 0.0001033
0.0010715 788.5245423 0.0010942 0.0001277
0.0010965 791.3720947 0.0014733 0.0001487
0.0011220 794.2435486 0.0018599 0.0001678
0.0011482 797.1387251 0.0022541 0.0001854
0.0011749 800.0573859 0.0026559 0.0002021
0.0012023 803.0000077 0.0030656 0.0002180
0.0012303 805.9665310 0.0034834 0.0002333
0.0012589 808.9575518 0.0039092 0.0002482
0.0012882 811.9737854 0.0043434 0.0002627
0.0013183 815.0164238 0.0047861 0.0002769
0.0013490 818.0869572 0.0052373 0.0002908
0.0013804 821.1869949 0.0056974 0.0003046
0.0014125 824.3190999 0.0061663 0.0003182
0.0014454 827.4859544 0.0066444 0.0003317
0.0014791 830.6912540 0.0071317 0.0003451
0.0015136 833.9392304 0.0076284 0.0003585
0.0015488 837.2347714 0.0081347 0.0003717
0.0015849 840.5462267 0.0086508 0.0003850
0.0016218 843.9025644 0.0091768 0.0003982
0.0016596 847.3034268 0.0097128 0.0004115
0.0016982 850.7492907 0.0102592 0.0004247
0.0017378 854.2408117 0.0108160 0.0004380
0.0017783 857.7788840 0.0113835 0.0004513
0.0018197 861.3644015 0.0119617 0.0004647
0.0018621 864.9984373 0.0125510 0.0004781
0.0019055 868.6825409 0.0131514 0.0004916
0.0019498 872.4183218 0.0137632 0.0005051
0.0019953 876.2080449 0.0143866 0.0005187
0.0020417 880.0539751 0.0150217 0.0005324
0.0020893 883.9593908 0.0156687 0.0005461
0.0021380 887.9381799 0.0163279 0.0005600
0.0021878 891.9488574 0.0169994 0.0005739
0.0022387 896.0262921 0.0176834 0.0005880
0.0022909 900.1709608 0.0183802 0.0006021
0.0023442 904.3835193 0.0190899 0.0006164
0.0023988 908.6646231 0.0198127 0.0006308
0.0024547 913.0153451 0.0205489 0.0006452
0.0025119 917.4362814 0.0212985 0.0006598
0.0025704 921.9286241 0.0220620 0.0006746
0.0026303 926.4934460 0.0228393 0.0006894
0.0026915 931.1321777 0.0236309 0.0007044
0.0027542 935.8463092 0.0244368 0.0007195
0.0028184 940.6375096 0.0252574 0.0007347
0.0028840 945.5078053 0.0260927 0.0007501
0.0029512 950.4596402 0.0269430 0.0007656
0.0030200 955.4958157 0.0278087 0.0007812
0.0030903 960.6193119 0.0286897 0.0007970
0.0031623 965.8337649 0.0295865 0.0008129
0.0032359 971.1437045 0.0304992 0.0008290
0.0033113 976.5245737 0.0314280 0.0008452
0.0033884 982.0039693 0.0323731 0.0008615
0.0034674 987.5787920 0.0333349 0.0008780
0.0035481 993.2502934 0.0343135 0.0008946
0.0036308 999.0190099 0.0353091 0.0009114
0.0037154 1004.8870279 0.0363219 0.0009284
0.0038019 1010.8551220 0.0373523 0.0009455
0.0038905 1016.9251401 0.0384005 0.0009627
0.0039811 1023.0989894 0.0394666 0.0009801
0.0040738 1029.3786967 0.0405509 0.0009976
0.0041687 1035.7666459 0.0416537 0.0010153
0.0042658 1042.2655790 0.0427751 0.0010332
0.0043652 1048.8788339 0.0439155 0.0010512
0.0044668 1055.6004500 0.0450751 0.0010693
0.0045709 1062.4326923 0.0462540 0.0010876
0.0046774 1069.3846207 0.0474527 0.0011061
0.0047863 1076.4570697 0.0486712 0.0011247
0.0048978 1083.6514699 0.0499099 0.0011434
0.0050119 1090.9684172 0.0511690 0.0011623
0.0051286 1098.4088653 0.0524487 0.0011814
0.0052481 1105.9741256 0.0537493 0.0012006
0.0053703 1113.6658669 0.0550711 0.0012200
0.0054954 1121.4851621 0.0564143 0.0012395
0.0056234 1129.4347532 0.0577791 0.0012592
0.0057544 1137.5159512 0.0591658 0.0012790
0.0058884 1145.7320943 0.0605747 0.0012989
0.0060256 1154.0865200 0.0620061 0.0013190
0.0061660 1162.5830433 0.0634601 0.0013393
0.0063096 1171.2263132 0.0649371 0.0013597
0.0064565 1179.9934416 0.0664372 0.0013802
0.0066069 1188.9101776 0.0679609 0.0014009
0.0067608 1197.9744948 0.0695083 0.0014218
0.0069183 1207.1872275 0.0710797 0.0014427
0.0070795 1216.5494486 0.0726754 0.0014638
0.0072444 1226.0624695 0.0742957 0.0014851
0.0074131 1235.7271247 0.0759408 0.0015065
0.0075858 1245.5455598 0.0776109 0.0015280
0.0077625 1255.5202784 0.0793065 0.0015497
0.0079433 1265.6540221 0.0810277 0.0015715
