#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 1018.5951274 0.0000000 0.0000000
0.0010233 1021.2619323 0.0000228 0.0000052
0.0010471 1023.9765353 0.0000461 0.0000075
0.0010715 1026.7394133 0.0000699 0.0000092
0.0010965 1029.5506855 0.0000942 0.0000108
0.0011220 1032.4107094 0.0001190 0.0000122
0.0011482 1035.3199619 0.0001443 0.0000134
0.0011749 1038.2788005 0.0001701 0.0000147
0.0012023 1041.2873445 0.0001964 0.0000158
0.0012303 1044.3458322 0.0002232 0.0000169
0.0012589 1047.4547404 0.0002506 0.0000180
0.0012882 1050.6138308 0.0002786 0.0000191
0.0013183 1053.8236993 0.0003071 0.0000201
0.0013490 1057.0842267 0.0003362 0.0000212
0.0013804 1060.3955322 0.0003659 0.0000222
0.0014125 1063.7577350 0.0003961 0.0000232
0.0014454 1067.1709544 0.0004270 0.0000242
0.0014791 1070.6351903 0.0004585 0.0000252
0.0015136 1074.1504427 0.0004907 0.0000262
0.0015488 1077.7169500 0.0005234 0.0000272
0.0015849 1081.3342354 0.0005568 0.0000282
0.0016218 1085.0026565 0.0005909 0.0000292
0.0016596 1088.7219749 0.0006257 0.0000302
0.0016982 1092.4923099 0.0006611 0.0000312
0.0017378 1096.3136614 0.0006973 0.0000322
0.0017783 1100.1859102 0.0007341 0.0000332
0.0018197 1104.1091755 0.0007717 0.0000342
0.0018621 1108.0836957 0.0008100 0.0000352
0.0019055 1112.1094708 0.0008491 0.0000362
0.0019498 1116.1868584 0.0008889 0.0000372
0.0019953 1120.3162161 0.0009296 0.0000383
0.0020417 1124.4977823 0.0009710 0.0000393
0.0020893 1128.7323914 0.0010132 0.0000404
0.0021380 1133.0207586 0.0010562 0.0000414
0.0021878 1137.3638373 0.0011001 0.0000425
0.0022387 1141.7630581 0.0011448 0.0000436
0.0022909 1146.2198512 0.0011904 0.0000447
0.0023442 1150.7362431 0.0012368 0.0000458
0.0023988 1155.3143793 0.0012842 0.0000469
0.0024547 1159.9572397 0.0013325 0.0000480
0.0025119 1164.6600564 0.0013817 0.0000492
0.0025704 1169.3346233 0.0014318 0.0000503
0.0026303 1174.0785631 0.0014829 0.0000515
0.0026915 1178.8905647 0.0015350 0.0000527
0.0027542 1183.7694361 0.0015880 0.0000539
0.0028184 1188.7130317 0.0016421 0.0000551
0.0028840 1193.7194443 0.0016972 0.0000563
0.0029512 1198.7865285 0.0017534 0.0000575
0.0030200 1203.9116618 0.0018106 0.0000588
0.0030903 1209.0918644 0.0018689 0.0000600
0.0031623 1214.3237986 0.0019283 0.0000613
0.0032359 1219.6038887 0.0019888 0.0000626
0.0033113 1224.9280817 0.0020505 0.0000639
0.0033884 1230.2922060 0.0021133 0.0000652
0.0034674 1235.6907783 0.0021774 0.0000666
0.0035481 1241.1189116 0.0022426 0.0000679
0.0036308 1246.5706459 0.0023090 0.0000693
0.0037154 1252.0393063 0.0023767 0.0000707
0.0038019 1257.5185753 0.0024457 0.0000721
0.0038905 1263.0004667 0.0025159 0.0000735
0.0039811 1268.4769941 0.0025875 0.0000750
0.0040738 1274.6462972 0.0026605 0.0000764
0.0041687 1280.5267849 0.0027347 0.0000779
0.0042658 1286.4678248 0.0028104 0.0000794
0.0043652 1292.4683443 0.0028874 0.0000810
0.0044668 1298.5267938 0.0029659 0.0000825
0.0045709 1304.6423388 0.0030459 0.0000841
0.0046774 1310.8137875 0.0031273 0.0000857
0.0047863 1317.0400670 0.0032102 0.0000873
0.0048978 1323.3208197 0.0032946 0.0000889
0.0050119 1329.6558073 0.0033806 0.0000906
0.0051286 1336.0449105 0.0034682 0.0000922
0.0052481 1342.4888446 0.0035574 0.0000939
0.0053703 1348.9883246 0.0036483 0.0000956
0.0054954 1355.5450195 0.0037408 0.0000974
0.0056234 1362.1614323 0.0038350 0.0000991
0.0057544 1368.8410197 0.0039309 0.0001009
0.0058884 1375.5873577 0.0040286 0.0001028
0.0060256 1382.3620648 0.0041280 0.0001046
0.0061660 1389.2032840 0.0042293 0.0001065
0.0063096 1396.1051747 0.0043325 0.0001083
0.0064565 1403.0655913 0.0044375 0.0001103
0.0066069 1410.0839380 0.0045444 0.0001122
0.0067608 1417.1591418 0.0046532 0.0001142
0.0069183 1424.2908452 0.0047641 0.0001162
0.0070795 1431.4792866 0.0048770 0.0001182
0.0072444 1438.7241084 0.0049919 0.0001202
0.0074131 1446.0272178 0.0051088 0.0001223
0.0075858 1453.3907603 0.0052280 0.0001244
0.0077625 1460.8168815 0.0053492 0.0001266
0.0079433 1468.3285864 0.0054727 0.0001287
0.0081283 1475.8350466 0.0055984 0.0001309
0.0083176 1483.4130254 0.0057263 0.0001332
0.0085114 1491.0612114 0.0058566 0.0001354
0.0087096 1498.7759096 0.0059892 0.0001377
0.0089125 1506.5555704 0.0061242 0.0001400
0.0091201 1514.3976907 0.0062617 0.0001424
0.0093325 1522.3003633 0.0064016 0.0001448
0.0095499 1530.2615619 0.0065440 0.0001472
0.0097724 1538.2798561 0.0066890 0.0001496
0.0100000 1546.3542922 0.0068366 0.0001521
0.0102329 1554.4843936 0.0069868 0.0001546
0.0104713 1562.6698026 0.0071397 0.0001572
0.0107152 1570.9123072 0.0072954 0.0001598
0.0109648 1579.2128609 0.0074539 0.0001624
0.0112202 1587.5752781 0.0076152 0.0001651
0.0114815 1596.0030156 0.0077794 0.0001678
0.0117490 1604.5027483 0.0079465 0.0001705
0.0120226 1613.0818665 0.0081166 0.0001733
0.0123027 1621.7056837 0.0082897 0.0001761
0.0125893 1630.3688362 0.0084660 0.0001790
0.0128825 1639.1027919 0.0086453 0.0001819
0.0131826 1647.9040942 0.0088279 0.0001848
0.0134896 1656.7710743 0.0090138 0.0001878
0.0138038 1665.7015866 0.0092029 0.0001908
0.0141254 1674.6932472 0.0093954 0.0001939
0.0144544 1683.7458178 0.0095913 0.0001970
