#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 140.2832181 -0.0000000 0.0000000
0.0010233 141.5937753 0.0006611 0.0003671
0.0010471 142.9251643 0.0013313 0.0005213
0.0010715 144.2775043 0.0020107 0.0006412
0.0010965 145.6509295 0.0026994 0.0007434
0.0011220 147.0456335 0.0033974 0.0008346
0.0011482 148.4619294 0.0041050 0.0009181
0.0011749 149.9002044 0.0048221 0.0009957
0.0012023 151.3610994 0.0055488 0.0010688
0.0012303 152.8453743 0.0062853 0.0011382
0.0012589 154.3540276 0.0070315 0.0012046
0.0012882 155.8883257 0.0077877 0.0012684
0.0013183 157.4499377 0.0085538 0.0013301
0.0013490 159.0408453 0.0093300 0.0013899
0.0013804 160.6582621 0.0101163 0.0014480
0.0014125 162.3027543 0.0109127 0.0015046
0.0014454 163.9775704 0.0117195 0.0015599
0.0014791 165.6830531 0.0125365 0.0016141
0.0015136 167.4195898 0.0133640 0.0016672
0.0015488 169.1876275 0.0142019 0.0017193
0.0015849 170.9877773 0.0150503 0.0017705
0.0016218 172.8208288 0.0159093 0.0018209
0.0016596 174.6876464 0.0167790 0.0018705
0.0016982 176.5894667 0.0176593 0.0019194
0.0017378 178.5278099 0.0185505 0.0019676
0.0017783 180.5006939 0.0194524 0.0020153
0.0018197 182.5090725 0.0203653 0.0020623
0.0018621 184.5560302 0.0212891 0.0021088
0.0019055 186.6418054 0.0222239 0.0021548
0.0019498 188.7666217 0.0231697 0.0022003
0.0019953 190.9307323 0.0241266 0.0022453
0.0020417 193.1346142 0.0250947 0.0022898
0.0020893 195.3786397 0.0260740 0.0023339
0.0021380 197.6635541 0.0270646 0.0023776
0.0021878 199.9901917 0.0280664 0.0024209
0.0022387 202.3596552 0.0290797 0.0024638
0.0022909 204.7734497 0.0301043 0.0025064
0.0023442 207.2334378 0.0311405 0.0025486
0.0023988 209.7328544 0.0321881 0.0025904
0.0024547 212.2789861 0.0332474 0.0026319
0.0025119 214.8714903 0.0343182 0.0026730
0.0025704 217.5104264 0.0354008 0.0027139
0.0026303 220.1959436 0.0364951 0.0027544
0.0026915 222.9284740 0.0376012 0.0027946
0.0027542 225.7083453 0.0387191 0.0028345
0.0028184 228.5364815 0.0398490 0.0028741
0.0028840 231.4138512 0.0409909 0.0029134
