#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 1325.9185241 0.0000000 0.0000000
0.0010233 1328.4277309 0.0001755 0.0000280
0.0010471 1330.9821217 0.0003548 0.0000400
0.0010715 1333.5818158 0.0005378 0.0000495
0.0010965 1336.2274094 0.0007248 0.0000578
0.0011220 1338.9200945 0.0009158 0.0000653
0.0011482 1341.6598712 0.0011107 0.0000722
0.0011749 1344.4480509 0.0013099 0.0000788
0.0012023 1347.2847529 0.0015132 0.0000851
0.0012303 1350.1711692 0.0017209 0.0000912
0.0012589 1353.1076576 0.0019329 0.0000971
0.0012882 1356.0954103 0.0021493 0.0001029
0.0013183 1359.1349041 0.0023704 0.0001086
0.0013490 1362.2276889 0.0025960 0.0001143
0.0013804 1365.3741224 0.0028264 0.0001198
0.0014125 1368.5755159 0.0030616 0.0001254
0.0014454 1371.8329424 0.0033018 0.0001309
0.0014791 1375.1475942 0.0035469 0.0001363
0.0015136 1378.5209018 0.0037971 0.0001418
0.0015488 1381.9541767 0.0040526 0.0001472
0.0015849 1385.4493263 0.0043133 0.0001527
0.0016218 1389.0077814 0.0045794 0.0001582
0.0016596 1392.6314493 0.0048510 0.0001636
0.0016982 1396.3225953 0.0051282 0.0001691
0.0017378 1400.0833654 0.0054112 0.0001747
0.0017783 1403.9165015 0.0056999 0.0001802
0.0018197 1407.8245073 0.0059945 0.0001858
0.0018621 1411.8107209 0.0062952 0.0001914
0.0019055 1415.8788380 0.0066019 0.0001971
0.0019498 1420.0325546 0.0069150 0.0002028
0.0019953 1424.2759240 0.0072343 0.0002086
0.0020417 1428.5564898 0.0075601 0.0002144
0.0020893 1432.9337424 0.0078925 0.0002202
0.0021380 1437.3943293 0.0082316 0.0002261
0.0021878 1441.9396809 0.0085775 0.0002321
0.0022387 1446.5702744 0.0089304 0.0002381
0.0022909 1451.2880170 0.0092903 0.0002442
0.0023442 1456.0936243 0.0096573 0.0002503
0.0023988 1460.9880498 0.0100317 0.0002565
0.0024547 1465.9729627 0.0104135 0.0002628
0.0025119 1471.0493168 0.0108029 0.0002691
0.0025704 1476.2180657 0.0111999 0.0002755
0.0026303 1481.4804017 0.0116048 0.0002820
0.0026915 1486.8381131 0.0120176 0.0002885
0.0027542 1492.2919152 0.0124385 0.0002951
0.0028184 1497.8434771 0.0128676 0.0003018
0.0028840 1503.4941101 0.0133050 0.0003086
0.0029512 1509.2451256 0.0137510 0.0003154
0.0030200 1515.0983121 0.0142056 0.0003224
0.0030903 1521.0672604 0.0146690 0.0003294
0.0031623 1527.1146549 0.0151413 0.0003364
0.0032359 1533.2692275 0.0156226 0.0003436
0.0033113 1539.5315743 0.0161132 0.0003509
0.0033884 1545.9025298 0.0166132 0.0003582
0.0034674 1552.3826901 0.0171227 0.0003656
0.0035481 1558.9731281 0.0176418 0.0003731
0.0036308 1565.6740824 0.0181708 0.0003807
0.0037154 1572.4866258 0.0187098 0.0003884
0.0038019 1579.4109969 0.0192590 0.0003962
0.0038905 1586.4480301 0.0198184 0.0004040
0.0039811 1593.5983216 0.0203883 0.0004120
0.0040738 1600.8627058 0.0209689 0.0004201
0.0041687 1608.2418982 0.0215603 0.0004282
0.0042658 1615.7362563 0.0221627 0.0004364
0.0043652 1623.3474493 0.0227762 0.0004448
0.0044668 1631.0751194 0.0234011 0.0004532
0.0045709 1638.9218895 0.0240374 0.0004617
0.0046774 1646.8882365 0.0246855 0.0004704
0.0047863 1654.9755909 0.0253454 0.0004791
0.0048978 1663.1860989 0.0260174 0.0004879
0.0050119 1671.5216677 0.0267016 0.0004968
0.0051286 1679.9846820 0.0273983 0.0005059
0.0052481 1688.5783604 0.0281075 0.0005150
0.0053703 1697.2937617 0.0288296 0.0005242
0.0054954 1706.1208714 0.0295647 0.0005336
0.0056234 1715.0797183 0.0303130 0.0005430
0.0057544 1724.1694679 0.0310747 0.0005525
0.0058884 1733.3905971 0.0318500 0.0005622
0.0060256 1742.7423906 0.0326392 0.0005719
0.0061660 1752.2252059 0.0334424 0.0005818
0.0063096 1761.8386855 0.0342598 0.0005918
0.0064565 1771.5837832 0.0350916 0.0006018
0.0066069 1781.4599027 0.0359382 0.0006120
0.0067608 1791.4688325 0.0367997 0.0006223
0.0069183 1801.6109301 0.0376762 0.0006327
0.0070795 1811.8885799 0.0385681 0.0006433
0.0072444 1822.3033318 0.0394756 0.0006539
0.0074131 1832.8580471 0.0403990 0.0006646
0.0075858 1843.5564216 0.0413383 0.0006755
0.0077625 1854.3871294 0.0422939 0.0006864
0.0079433 1865.3480245 0.0432661 0.0006975
0.0081283 1876.4547248 0.0442551 0.0007087
0.0083176 1887.7060379 0.0452610 0.0007200
0.0085114 1899.1008910 0.0462843 0.0007315
0.0087096 1910.6385687 0.0473251 0.0007430
0.0089125 1922.3185941 0.0483836 0.0007547
0.0091201 1934.1415634 0.0494603 0.0007664
0.0093325 1946.1068804 0.0505552 0.0007783
0.0095499 1958.2162142 0.0516688 0.0007903
0.0097724 1970.4708763 0.0528012 0.0008025
0.0100000 1982.8740855 0.0539528 0.0008147
0.0102329 1995.4291799 0.0551238 0.0008271
0.0104713 2008.1415245 0.0563145 0.0008396
0.0107152 2021.0164841 0.0575252 0.0008522
0.0109648 2033.9362701 0.0587562 0.0008649
0.0112202 2047.0854339 0.0600078 0.0008778
0.0114815 2060.4382241 0.0612804 0.0008908
0.0117490 2073.9631669 0.0625741 0.0009039
0.0120226 2087.6235427 0.0638893 0.0009171
0.0123027 2101.3757172 0.0652264 0.0009305
0.0125893 2115.1681879 0.0665856 0.0009440
0.0128825 2128.9399144 0.0679675 0.0009576
0.0131826 2142.6238956 0.0693724 0.0009713
0.0134896 2158.1383685 0.0708010 0.0009852
0.0138038 2174.5198036 0.0722514 0.0009991
0.0141254 2191.4668146 0.0737243 0.0010132
0.0144544 2208.7645686 0.0752198 0.0010273
0.0147911 2226.1512600 0.0767381 0.0010416
0.0151356 2243.3085737 0.0782798 0.0010559
0.0154882 2261.3841138 0.0798452 0.0010703
0.0158489 2280.0483584 0.0814340 0.0010847
0.0162181 2299.0876666 0.0830464 0.0010993
0.0165959 2318.5089531 0.0846826 0.0011139
0.0169824 2338.3217555 0.0863428 0.0011286
0.0173780 2358.5301273 0.0880273 0.0011434
0.0177828 2379.1452751 0.0897361 0.0011582
0.0181970 2400.1812666 0.0914694 0.0011730
0.0186209 2421.6459705 0.0932275 0.0011880
0.0190546 2443.5460629 0.0950106 0.0012030
0.0194984 2465.8906045 0.0968187 0.0012180
0.0199526 2488.6874638 0.0986520 0.0012331
0.0204174 2511.9468937 0.1005108 0.0012482
0.0208930 2535.6810544 0.1023952 0.0012633
0.0213796 2559.9021065 0.1043054 0.0012785
0.0218776 2584.9951278 0.1062414 0.0012938
0.0223872 2609.6766044 0.1082034 0.0013090
0.0229087 2635.3580918 0.1101919 0.0013243
