#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 1608.3869710 0.0000000 0.0000000
0.0010233 1609.1281589 0.0002317 0.0000313
0.0010471 1609.8981887 0.0004686 0.0000448
0.0010715 1610.6981330 0.0007110 0.0000555
0.0010965 1611.5297794 0.0009588 0.0000648
0.0011220 1612.3946774 0.0012123 0.0000733
0.0011482 1613.2941380 0.0014716 0.0000812
0.0011749 1614.2303064 0.0017368 0.0000887
0.0012023 1615.2042552 0.0020079 0.0000960
0.0012303 1616.2187256 0.0022853 0.0001030
0.0012589 1617.2750287 0.0025689 0.0001098
0.0012882 1618.3753096 0.0028589 0.0001166
0.0013183 1619.5223095 0.0031554 0.0001232
0.0013490 1620.7180545 0.0034587 0.0001298
0.0013804 1621.9651667 0.0037688 0.0001363
0.0014125 1623.2662679 0.0040858 0.0001428
0.0014454 1624.6242186 0.0044100 0.0001492
0.0014791 1626.0416407 0.0047414 0.0001557
0.0015136 1627.5219904 0.0050803 0.0001622
0.0015488 1629.0692009 0.0054267 0.0001687
0.0015849 1630.6862515 0.0057809 0.0001752
0.0016218 1632.3770753 0.0061429 0.0001817
0.0016596 1634.1457244 0.0065130 0.0001883
0.0016982 1635.9967277 0.0068912 0.0001949
0.0017378 1637.9341374 0.0072779 0.0002016
0.0017783 1639.9636741 0.0076730 0.0002084
0.0018197 1642.0898669 0.0080769 0.0002152
0.0018621 1644.3190321 0.0084896 0.0002220
0.0019055 1646.6561756 0.0089114 0.0002290
0.0019498 1649.0551741 0.0093423 0.0002360
0.0019953 1651.5797896 0.0097826 0.0002431
0.0020417 1654.2099997 0.0102325 0.0002502
0.0020893 1656.9494989 0.0106922 0.0002575
0.0021380 1659.8025778 0.0111617 0.0002648
0.0021878 1662.7715008 0.0116413 0.0002723
0.0022387 1665.8605585 0.0121312 0.0002798
0.0022909 1669.0732071 0.0126316 0.0002874
0.0023442 1672.4124262 0.0131426 0.0002951
0.0023988 1675.8819103 0.0136645 0.0003029
0.0024547 1679.4848773 0.0141973 0.0003108
0.0025119 1683.2245452 0.0147415 0.0003189
0.0025704 1687.1036551 0.0152970 0.0003270
0.0026303 1691.1257825 0.0158641 0.0003352
0.0026915 1695.2931917 0.0164431 0.0003435
0.0027542 1699.6080281 0.0170340 0.0003520
0.0028184 1704.0725561 0.0176372 0.0003606
0.0028840 1708.6890402 0.0182527 0.0003692
0.0029512 1713.4603406 0.0188809 0.0003780
0.0030200 1718.4136307 0.0195219 0.0003869
0.0030903 1723.5249551 0.0201759 0.0003960
0.0031623 1728.7984851 0.0208431 0.0004051
0.0032359 1734.2380346 0.0215237 0.0004144
0.0033113 1739.8481324 0.0222180 0.0004238
0.0033884 1745.6328306 0.0229261 0.0004333
0.0034674 1751.5963006 0.0236483 0.0004429
